# Wavelength_[A] Transmission
3934.000 0.01
3936.000 0.01
3938.000 0.01
3939.000 0.02
3941.000 0.02
3942.000 0.02
3944.000 0.02
3946.000 0.02
3947.000 0.02
3949.000 0.02
3950.000 0.02
3952.000 0.02
3954.000 0.02
3955.000 0.02
3957.000 0.02
3958.000 0.02
3960.000 0.02
3962.000 0.02
3963.000 0.02
3965.000 0.03
3966.000 0.03
3968.000 0.03
3970.000 0.03
3971.000 0.03
3973.000 0.03
3974.000 0.03
3976.000 0.04
3978.000 0.04
3979.000 0.04
3981.000 0.05
3982.000 0.05
3984.000 0.06
3985.000 0.06
3987.000 0.07
3989.000 0.08
3990.000 0.09
3992.000 0.10
3993.000 0.12
3995.000 0.13
3997.000 0.15
3998.000 0.16
4000.000 0.18
4001.000 0.21
4003.000 0.23
4005.000 0.26
4006.000 0.28
4008.000 0.31
4009.000 0.34
4011.000 0.37
4013.000 0.39
4014.000 0.42
4016.000 0.45
4017.000 0.48
4019.000 0.50
4020.000 0.52
4022.000 0.54
4024.000 0.56
4025.000 0.58
4027.000 0.59
4028.000 0.60
4030.000 0.61
4032.000 0.62
4033.000 0.63
4035.000 0.64
4036.000 0.64
4038.000 0.64
4039.000 0.65
4041.000 0.65
4043.000 0.65
4044.000 0.65
4046.000 0.65
4047.000 0.65
4049.000 0.65
4051.000 0.65
4052.000 0.65
4054.000 0.65
4055.000 0.65
4057.000 0.65
4058.000 0.65
4060.000 0.65
4062.000 0.65
4063.000 0.65
4065.000 0.65
4066.000 0.65
4068.000 0.66
4070.000 0.66
4071.000 0.66
4073.000 0.66
4074.000 0.66
4076.000 0.66
4077.000 0.66
4079.000 0.66
4081.000 0.66
4082.000 0.66
4084.000 0.66
4085.000 0.67
4087.000 0.67
4089.000 0.67
4090.000 0.67
4092.000 0.67
4093.000 0.67
4095.000 0.67
4096.000 0.67
4098.000 0.67
4100.000 0.67
4101.000 0.67
4103.000 0.68
4104.000 0.68
4106.000 0.68
4107.000 0.68
4109.000 0.68
4111.000 0.68
4112.000 0.68
4114.000 0.68
4115.000 0.68
4117.000 0.68
4118.000 0.68
4120.000 0.68
4122.000 0.68
4123.000 0.68
4125.000 0.68
4126.000 0.69
4128.000 0.69
4129.000 0.69
4131.000 0.69
4133.000 0.69
4134.000 0.69
4136.000 0.69
4137.000 0.69
4139.000 0.69
4140.000 0.69
4142.000 0.69
4144.000 0.69
4145.000 0.69
4147.000 0.69
4148.000 0.69
4150.000 0.69
4151.000 0.70
4153.000 0.70
4155.000 0.70
4156.000 0.70
4158.000 0.70
4159.000 0.70
4161.000 0.70
4162.000 0.70
4164.000 0.70
4166.000 0.70
4167.000 0.70
4169.000 0.70
4170.000 0.70
4172.000 0.70
4173.000 0.70
4175.000 0.70
4177.000 0.70
4178.000 0.70
4180.000 0.71
4181.000 0.71
4183.000 0.71
4184.000 0.71
4186.000 0.71
4187.000 0.71
4189.000 0.71
4191.000 0.71
4192.000 0.71
4194.000 0.71
4195.000 0.71
4197.000 0.71
4198.000 0.71
4200.000 0.71
4202.000 0.71
4203.000 0.71
4205.000 0.71
4206.000 0.71
4208.000 0.71
4209.000 0.71
4211.000 0.71
4213.000 0.71
4214.000 0.71
4216.000 0.72
4217.000 0.72
4219.000 0.72
4220.000 0.72
4222.000 0.72
4223.000 0.72
4225.000 0.72
4227.000 0.72
4228.000 0.72
4230.000 0.72
4231.000 0.72
4233.000 0.72
4234.000 0.72
4236.000 0.72
4237.000 0.72
4239.000 0.72
4241.000 0.72
4242.000 0.72
4244.000 0.72
4245.000 0.72
4247.000 0.73
4248.000 0.73
4250.000 0.73
4251.000 0.73
4253.000 0.73
4255.000 0.73
4256.000 0.73
4258.000 0.73
4259.000 0.73
4261.000 0.73
4262.000 0.73
4264.000 0.73
4265.000 0.73
4267.000 0.73
4269.000 0.73
4270.000 0.73
4272.000 0.74
4273.000 0.74
4275.000 0.74
4276.000 0.74
4278.000 0.74
4279.000 0.74
4281.000 0.74
4283.000 0.74
4284.000 0.74
4286.000 0.74
4287.000 0.74
4289.000 0.74
4290.000 0.74
4292.000 0.74
4293.000 0.74
4295.000 0.74
4296.000 0.74
4298.000 0.74
4300.000 0.74
4301.000 0.74
4303.000 0.74
4304.000 0.75
4306.000 0.75
4307.000 0.75
4309.000 0.75
4310.000 0.75
4312.000 0.75
4314.000 0.75
4315.000 0.75
4317.000 0.75
4318.000 0.75
4320.000 0.75
4321.000 0.75
4323.000 0.75
4324.000 0.75
4326.000 0.75
4327.000 0.75
4329.000 0.75
4331.000 0.75
4332.000 0.76
4334.000 0.76
4335.000 0.76
4337.000 0.76
4338.000 0.76
4340.000 0.76
4341.000 0.76
4343.000 0.76
4344.000 0.76
4346.000 0.76
4347.000 0.76
4349.000 0.76
4351.000 0.76
4352.000 0.76
4354.000 0.76
4355.000 0.76
4357.000 0.77
4358.000 0.77
4360.000 0.77
4361.000 0.77
4363.000 0.77
4364.000 0.77
4366.000 0.77
4368.000 0.77
4369.000 0.77
4371.000 0.77
4372.000 0.77
4374.000 0.77
4375.000 0.77
4377.000 0.77
4378.000 0.77
4380.000 0.77
4381.000 0.77
4383.000 0.77
4384.000 0.77
4386.000 0.78
4388.000 0.78
4389.000 0.78
4391.000 0.78
4392.000 0.78
4394.000 0.78
4395.000 0.78
4397.000 0.78
4398.000 0.78
4400.000 0.78
4401.000 0.78
4403.000 0.78
4404.000 0.78
4406.000 0.78
4407.000 0.78
4409.000 0.78
4411.000 0.78
4412.000 0.78
4414.000 0.78
4415.000 0.78
4417.000 0.78
4418.000 0.78
4420.000 0.78
4421.000 0.78
4423.000 0.78
4424.000 0.79
4426.000 0.79
4427.000 0.79
4429.000 0.79
4430.000 0.79
4432.000 0.79
4434.000 0.79
4435.000 0.79
4437.000 0.79
4438.000 0.79
4440.000 0.79
4441.000 0.79
4443.000 0.79
4444.000 0.79
4446.000 0.79
4447.000 0.79
4449.000 0.79
4450.000 0.79
4452.000 0.79
4453.000 0.79
4455.000 0.79
4456.000 0.79
4458.000 0.79
4459.000 0.79
4461.000 0.79
4463.000 0.79
4464.000 0.80
4466.000 0.80
4467.000 0.80
4469.000 0.80
4470.000 0.80
4472.000 0.80
4473.000 0.80
4475.000 0.80
4476.000 0.80
4478.000 0.80
4479.000 0.80
4481.000 0.80
4482.000 0.80
4484.000 0.80
4485.000 0.80
4487.000 0.80
4488.000 0.80
4490.000 0.80
4491.000 0.80
4493.000 0.80
4495.000 0.80
4496.000 0.80
4498.000 0.80
4499.000 0.80
4501.000 0.80
4502.000 0.80
4504.000 0.80
4505.000 0.81
4507.000 0.81
4508.000 0.81
4510.000 0.81
4511.000 0.81
4513.000 0.81
4514.000 0.81
4516.000 0.81
4517.000 0.81
4519.000 0.81
