# Wavelength_[A] Transmission
6685.700 0.00
6689.100 0.00
6692.400 0.00
6695.800 0.00
6699.100 0.00
6702.500 0.00
6705.900 0.00
6709.200 0.00
6712.600 0.00
6715.900 0.00
6719.300 0.00
6722.600 0.00
6726.000 0.00
6729.300 0.00
6732.700 0.00
6736.000 0.00
6739.400 0.00
6742.700 0.00
6746.100 0.00
6749.400 0.01
6752.800 0.01
6756.100 0.01
6759.400 0.01
6762.800 0.01
6766.100 0.01
6769.500 0.01
6772.800 0.01
6776.200 0.01
6779.500 0.01
6782.900 0.02
6786.200 0.02
6789.500 0.02
6792.900 0.02
6796.200 0.03
6799.600 0.03
6802.900 0.03
6806.200 0.03
6809.600 0.04
6812.900 0.04
6816.300 0.05
6819.600 0.05
6822.900 0.05
6826.300 0.06
6829.600 0.06
6833.000 0.07
6836.300 0.07
6839.600 0.08
6843.000 0.09
6846.300 0.09
6849.600 0.10
6853.000 0.11
6856.300 0.12
6859.600 0.12
6863.000 0.13
6866.300 0.14
6869.600 0.15
6873.000 0.16
6876.300 0.17
6879.600 0.18
6883.000 0.19
6886.300 0.20
6889.600 0.21
6892.900 0.22
6896.300 0.23
6899.600 0.24
6902.900 0.25
6906.200 0.26
6909.600 0.28
6912.900 0.29
6916.200 0.30
6919.600 0.31
6922.900 0.33
6926.200 0.34
6929.500 0.35
6932.900 0.36
6936.200 0.37
6939.500 0.39
6942.800 0.40
6946.100 0.41
6949.500 0.42
6952.800 0.43
6956.100 0.45
6959.400 0.46
6962.700 0.47
6966.100 0.48
6969.400 0.49
6972.700 0.50
6976.000 0.51
6979.300 0.52
6982.700 0.53
6986.000 0.54
6989.300 0.55
6992.600 0.56
6995.900 0.57
6999.200 0.58
7002.500 0.59
7005.900 0.60
7009.200 0.61
7012.500 0.62
7015.800 0.63
7019.100 0.64
7022.400 0.64
7025.700 0.65
7029.000 0.66
7032.400 0.67
7035.700 0.67
7039.000 0.68
7042.300 0.69
7045.600 0.69
7048.900 0.70
7052.200 0.71
7055.500 0.71
7058.800 0.72
7062.100 0.73
7065.400 0.73
7068.700 0.74
7072.000 0.74
7075.400 0.75
7078.700 0.75
7082.000 0.76
7085.300 0.76
7088.600 0.77
7091.900 0.77
7095.200 0.78
7098.500 0.78
7101.800 0.79
7105.100 0.79
7108.400 0.80
7111.700 0.80
7115.000 0.81
7118.300 0.81
7121.600 0.81
7124.900 0.82
7128.200 0.82
7131.500 0.82
7134.800 0.83
7138.100 0.83
7141.400 0.83
7144.700 0.84
7148.000 0.84
7151.200 0.84
7154.500 0.84
7157.800 0.85
7161.100 0.85
7164.400 0.85
7167.700 0.86
7171.000 0.86
7174.300 0.86
7177.600 0.86
7180.900 0.86
7184.200 0.87
7187.500 0.87
7190.800 0.87
7194.000 0.87
7197.300 0.87
7200.600 0.88
7203.900 0.88
7207.200 0.88
7210.500 0.88
7213.800 0.88
7217.100 0.88
7220.300 0.88
7223.600 0.89
7226.900 0.89
7230.200 0.89
7233.500 0.89
7236.800 0.89
7240.000 0.89
7243.300 0.89
