# Wavelength_[A] Transmission
6002.500 0.89
6005.900 0.89
6009.300 0.89
6012.800 0.90
6016.200 0.90
6019.700 0.90
6023.100 0.90
6026.600 0.90
6030.000 0.90
6033.400 0.90
6036.900 0.90
6040.300 0.90
6043.700 0.90
6047.200 0.90
6050.600 0.90
6054.100 0.90
6057.500 0.91
6060.900 0.91
6064.400 0.91
6067.800 0.91
6071.200 0.91
6074.700 0.91
6078.100 0.91
6081.500 0.91
6085.000 0.91
6088.400 0.91
6091.800 0.91
6095.300 0.91
6098.700 0.91
6102.100 0.91
6105.600 0.91
6109.000 0.91
6112.400 0.91
6115.800 0.91
6119.300 0.91
6122.700 0.91
6126.100 0.91
6129.600 0.91
6133.000 0.91
6136.400 0.91
6139.800 0.90
6143.300 0.90
6146.700 0.90
6150.100 0.90
6153.500 0.90
6157.000 0.90
6160.400 0.90
6163.800 0.90
6167.200 0.90
6170.600 0.90
6174.100 0.90
6177.500 0.90
6180.900 0.90
6184.300 0.90
6187.800 0.90
6191.200 0.90
6194.600 0.90
6198.000 0.90
6201.400 0.90
6204.800 0.90
6208.300 0.90
6211.700 0.90
6215.100 0.90
6218.500 0.90
6221.900 0.90
6225.300 0.90
6228.800 0.90
6232.200 0.90
6235.600 0.90
6239.000 0.90
6242.400 0.90
6245.800 0.90
6249.200 0.90
6252.600 0.90
6256.100 0.90
6259.500 0.91
6262.900 0.91
6266.300 0.91
6269.700 0.91
6273.100 0.91
6276.500 0.91
6279.900 0.91
6283.300 0.91
6286.700 0.91
6290.100 0.91
6293.500 0.91
6297.000 0.91
6300.400 0.91
6303.800 0.91
6307.200 0.91
6310.600 0.91
6314.000 0.91
6317.400 0.91
6320.800 0.91
6324.200 0.91
6327.600 0.91
6331.000 0.91
6334.400 0.91
6337.800 0.91
6341.200 0.91
6344.600 0.91
6348.000 0.91
6351.400 0.91
6354.800 0.91
6358.200 0.91
6361.600 0.91
6365.000 0.91
6368.400 0.91
6371.800 0.91
6375.200 0.91
6378.600 0.91
6382.000 0.91
6385.400 0.90
6388.700 0.91
6392.100 0.91
6395.500 0.91
6398.900 0.90
6402.300 0.90
6405.700 0.90
6409.100 0.90
