# Wavelength_[A] Transmission
3216.000 0.00
3218.000 0.00
3220.000 0.00
3222.000 0.00
3223.000 0.00
3225.000 0.00
3227.000 0.00
3228.000 0.00
3230.000 0.00
3232.000 0.00
3233.000 0.00
3235.000 0.00
3237.000 0.00
3238.000 0.00
3240.000 0.00
3242.000 0.00
3244.000 0.00
3245.000 0.00
3247.000 0.00
3249.000 0.00
3250.000 0.00
3252.000 0.00
3254.000 0.00
3255.000 0.00
3257.000 0.00
3259.000 0.00
3260.000 0.00
3262.000 0.01
3264.000 0.01
3265.000 0.01
3267.000 0.01
3269.000 0.01
3271.000 0.01
3272.000 0.01
3274.000 0.01
3276.000 0.01
3277.000 0.01
3279.000 0.01
3281.000 0.01
3282.000 0.01
3284.000 0.01
3286.000 0.01
3287.000 0.01
3289.000 0.01
3291.000 0.01
3292.000 0.01
3294.000 0.01
3296.000 0.01
3298.000 0.01
3299.000 0.01
3301.000 0.01
3303.000 0.01
3304.000 0.01
3306.000 0.01
3308.000 0.01
3309.000 0.01
3311.000 0.02
3313.000 0.01
3314.000 0.02
3316.000 0.01
3318.000 0.01
3319.000 0.02
3321.000 0.02
3323.000 0.02
3324.000 0.02
3326.000 0.02
3328.000 0.02
3329.000 0.02
3331.000 0.02
3333.000 0.02
3334.000 0.02
3336.000 0.02
3338.000 0.02
3340.000 0.02
3341.000 0.02
3343.000 0.02
3345.000 0.02
3346.000 0.02
3348.000 0.02
3350.000 0.02
3351.000 0.02
3353.000 0.03
3355.000 0.03
3356.000 0.03
3358.000 0.03
3360.000 0.03
3361.000 0.03
3363.000 0.03
3365.000 0.03
3366.000 0.03
3368.000 0.03
3370.000 0.03
3371.000 0.03
3373.000 0.03
3375.000 0.03
3376.000 0.03
3378.000 0.03
3380.000 0.03
3381.000 0.03
3383.000 0.03
3385.000 0.04
3386.000 0.03
3388.000 0.03
3390.000 0.04
3391.000 0.03
3393.000 0.04
3395.000 0.04
3396.000 0.04
3398.000 0.05
3400.000 0.05
3401.000 0.05
3403.000 0.06
3405.000 0.06
3406.000 0.07
3408.000 0.08
3410.000 0.09
3411.000 0.09
3413.000 0.10
3415.000 0.10
3417.000 0.10
3418.000 0.11
3420.000 0.11
3422.000 0.12
3423.000 0.12
3425.000 0.12
3427.000 0.12
3428.000 0.12
3430.000 0.12
3432.000 0.13
3433.000 0.14
3435.000 0.14
3437.000 0.15
3438.000 0.16
3440.000 0.16
3442.000 0.17
3443.000 0.17
3445.000 0.18
3446.000 0.19
3448.000 0.19
3450.000 0.20
3451.000 0.20
3453.000 0.19
3455.000 0.20
3456.000 0.20
3458.000 0.20
3460.000 0.20
3461.000 0.21
3463.000 0.21
3465.000 0.22
3466.000 0.22
3468.000 0.23
3470.000 0.23
3471.000 0.24
3473.000 0.24
3475.000 0.24
3476.000 0.25
3478.000 0.25
3480.000 0.26
3481.000 0.26
3483.000 0.26
3485.000 0.27
3486.000 0.27
3488.000 0.28
3490.000 0.28
3491.000 0.29
3493.000 0.29
3495.000 0.30
3496.000 0.30
3498.000 0.31
3500.000 0.31
3501.000 0.32
3503.000 0.32
3505.000 0.33
3506.000 0.33
3508.000 0.34
3510.000 0.34
3511.000 0.35
3513.000 0.35
3515.000 0.35
3516.000 0.36
3518.000 0.36
3520.000 0.37
3521.000 0.37
3523.000 0.37
3524.000 0.38
3526.000 0.38
3528.000 0.39
