# Wavelength_[A] Transmission
8078.900 0.00
8082.100 0.00
8085.200 0.00
8088.400 0.00
8091.600 0.00
8094.800 0.00
8097.900 0.00
8101.100 0.00
8104.300 0.00
8107.400 0.00
8110.600 0.00
8113.700 0.00
8116.900 0.00
8120.100 0.00
8123.200 0.01
8126.400 0.01
8129.600 0.01
8132.700 0.01
8135.900 0.01
8139.100 0.01
8142.200 0.01
8145.400 0.01
8148.500 0.01
8151.700 0.01
8154.900 0.01
8158.000 0.01
8161.200 0.01
8164.300 0.01
8167.500 0.02
8170.600 0.02
8173.800 0.02
8177.000 0.02
8180.100 0.02
8183.300 0.02
8186.400 0.02
8189.600 0.03
8192.700 0.03
8195.900 0.03
8199.000 0.03
8202.200 0.03
8205.400 0.04
8208.500 0.04
8211.700 0.04
8214.800 0.04
8218.000 0.05
8221.100 0.05
8224.300 0.06
8227.400 0.06
8230.600 0.06
8233.700 0.07
8236.900 0.07
8240.000 0.08
8243.200 0.09
8246.300 0.09
8249.400 0.10
8252.600 0.11
8255.700 0.12
8258.900 0.12
8262.000 0.13
8265.200 0.14
8268.300 0.16
8271.500 0.17
8274.600 0.18
8277.700 0.19
8280.900 0.20
8284.000 0.22
8287.200 0.23
8290.300 0.25
8293.500 0.27
8296.600 0.28
8299.700 0.30
8302.900 0.32
8306.000 0.34
8309.100 0.36
8312.300 0.39
8315.400 0.41
8318.600 0.43
8321.700 0.45
8324.800 0.48
8328.000 0.50
8331.100 0.52
8334.200 0.54
8337.400 0.57
8340.500 0.59
8343.600 0.61
8346.800 0.63
8349.900 0.65
8353.000 0.67
8356.200 0.69
8359.300 0.71
8362.400 0.73
8365.600 0.75
8368.700 0.76
8371.800 0.78
8374.900 0.79
8378.100 0.80
8381.200 0.82
8384.300 0.83
8387.500 0.84
8390.600 0.85
8393.700 0.86
8396.800 0.87
8400.000 0.88
8403.100 0.88
8406.200 0.89
8409.300 0.90
8412.500 0.90
8415.600 0.91
8418.700 0.91
8421.800 0.92
8425.000 0.92
8428.100 0.93
8431.200 0.93
8434.300 0.93
8437.400 0.93
8440.600 0.93
8443.700 0.93
8446.800 0.94
8449.900 0.94
8453.000 0.94
8456.200 0.94
8459.300 0.94
8462.400 0.94
8465.500 0.94
8468.600 0.94
8471.700 0.94
8474.900 0.94
8478.000 0.95
8481.100 0.95
8484.200 0.95
8487.300 0.95
8490.400 0.95
8493.500 0.95
8496.600 0.95
8499.800 0.95
8502.900 0.95
8506.000 0.95
8509.100 0.95
8512.200 0.95
8515.300 0.95
8518.400 0.95
8521.500 0.95
8524.600 0.95
8527.700 0.95
8530.900 0.95
8534.000 0.95
8537.100 0.95
8540.200 0.95
8543.300 0.95
8546.400 0.94
8549.500 0.94
8552.600 0.94
8555.700 0.94
8558.800 0.95
8561.900 0.95
8565.000 0.95
8568.100 0.94
8571.200 0.94
8574.300 0.94
8577.400 0.94
8580.500 0.94
8583.600 0.94
8586.700 0.94
8589.800 0.95
8592.900 0.94
8596.000 0.94
8599.100 0.94
8602.200 0.94
8605.300 0.94
8608.400 0.94
8611.500 0.94
8614.600 0.94
8617.700 0.94
8620.800 0.95
8623.900 0.95
8627.000 0.95
8630.100 0.95
8633.200 0.95
8636.200 0.95
8639.300 0.94
8642.400 0.94
8645.500 0.95
8648.600 0.94
8651.700 0.94
8654.800 0.94
8657.900 0.94
8661.000 0.94
8664.100 0.94
8667.100 0.94
8670.200 0.94
8673.300 0.94
8676.400 0.94
8679.500 0.94
8682.600 0.94
8685.700 0.94
8688.800 0.94
8691.800 0.94
8694.900 0.94
8698.000 0.94
8701.100 0.94
8704.200 0.94
8707.300 0.94
8710.300 0.94
8713.400 0.94
8716.500 0.94
8719.600 0.94
8722.700 0.94
8725.700 0.94
8728.800 0.94
8731.900 0.94
8735.000 0.94
8738.100 0.94
8741.100 0.94
8744.200 0.94
8747.300 0.95
8750.400 0.94
8753.400 0.95
8756.500 0.94
8759.600 0.94
8762.700 0.94
8765.700 0.94
8768.800 0.94
8771.900 0.95
8775.000 0.95
8778.000 0.95
8781.100 0.95
8784.200 0.94
8787.300 0.94
8790.300 0.94
8793.400 0.94
8796.500 0.94
8799.500 0.94
8802.600 0.94
8805.700 0.94
8808.700 0.94
8811.800 0.94
8814.900 0.94
8817.900 0.94
8821.000 0.94
8824.100 0.94
8827.100 0.94
8830.200 0.94
8833.300 0.94
8836.300 0.94
8839.400 0.94
8842.500 0.94
8845.500 0.94
8848.600 0.94
8851.600 0.94
8854.700 0.94
8857.800 0.94
8860.800 0.94
8863.900 0.94
8867.000 0.94
8870.000 0.94
8873.100 0.94
8876.100 0.94
8879.200 0.94
8882.200 0.94
8885.300 0.94
8888.400 0.94
8891.400 0.94
8894.500 0.94
8897.500 0.94
8900.600 0.94
8903.600 0.94
8906.700 0.94
8909.700 0.94
8912.800 0.94
8915.900 0.94
8918.900 0.94
8922.000 0.94
8925.000 0.94
8928.100 0.94
8931.100 0.94
8934.200 0.94
8937.200 0.94
8940.300 0.94
8943.300 0.94
8946.400 0.94
8949.400 0.94
8952.500 0.94
8955.500 0.94
8958.500 0.94
8961.600 0.94
8964.600 0.94
8967.700 0.95
8970.700 0.95
8973.800 0.95
8976.800 0.95
8979.900 0.95
8982.900 0.94
8986.000 0.94
8989.000 0.94
8992.000 0.94
8995.100 0.94
8998.100 0.94
9001.200 0.94
9004.200 0.94
9007.200 0.94
9010.300 0.94
9013.300 0.94
9016.400 0.95
9019.400 0.95
9022.400 0.95
9025.500 0.94
9028.500 0.95
9031.500 0.94
9034.600 0.94
9037.600 0.94
9040.700 0.95
9043.700 0.94
9046.700 0.94
9049.800 0.94
9052.800 0.95
9055.800 0.95
9058.900 0.95
9061.900 0.95
9064.900 0.95
9067.900 0.95
9071.000 0.95
9074.000 0.95
9077.000 0.95
9080.100 0.95
9083.100 0.95
9086.100 0.95
9089.200 0.95
9092.200 0.95
9095.200 0.95
9098.200 0.95
9101.300 0.95
9104.300 0.95
9107.300 0.95
9110.300 0.94
9113.400 0.94
9116.400 0.94
9119.400 0.94
9122.400 0.94
9125.500 0.95
9128.500 0.95
9131.500 0.95
9134.500 0.95
9137.500 0.95
9140.600 0.94
9143.600 0.94
9146.600 0.94
9149.600 0.94
9152.600 0.94
9155.700 0.94
9158.700 0.95
9161.700 0.95
9164.700 0.95
9167.700 0.95
9170.800 0.95
9173.800 0.95
9176.800 0.95
9179.800 0.95
9182.800 0.95
9185.800 0.95
9188.800 0.95
9191.900 0.95
9194.900 0.95
9197.900 0.95
9200.900 0.95
9203.900 0.95
9206.900 0.95
9209.900 0.94
9212.900 0.94
9215.900 0.94
9219.000 0.94
9222.000 0.94
9225.000 0.94
9228.000 0.94
9231.000 0.94
9234.000 0.94
9237.000 0.94
9240.000 0.94
9243.000 0.94
9246.000 0.94
9249.000 0.95
9252.000 0.95
9255.000 0.95
9258.000 0.95
9261.000 0.95
9264.000 0.94
9267.100 0.94
9270.100 0.94
9273.100 0.94
9276.100 0.94
9279.100 0.95
9282.100 0.95
9285.100 0.95
9288.100 0.95
9291.100 0.95
9294.100 0.95
9297.100 0.94
9300.000 0.95
9303.000 0.95
9306.000 0.95
9309.000 0.95
9312.000 0.95
9315.000 0.95
9318.000 0.95
9321.000 0.94
9324.000 0.94
9327.000 0.94
9330.000 0.94
9333.000 0.95
9336.000 0.95
9339.000 0.95
9342.000 0.95
9345.000 0.95
9348.000 0.95
9350.900 0.95
9353.900 0.95
9356.900 0.95
9359.900 0.95
9362.900 0.95
9365.900 0.95
9368.900 0.94
9371.900 0.94
9374.900 0.94
9377.800 0.94
9380.800 0.94
9383.800 0.95
9386.800 0.94
9389.800 0.94
9392.800 0.95
9395.700 0.95
9398.700 0.95
9401.700 0.95
9404.700 0.95
9407.700 0.95
9410.700 0.95
9413.600 0.95
9416.600 0.95
9419.600 0.95
9422.600 0.94
9425.600 0.94
9428.500 0.94
9431.500 0.93
9434.500 0.93
9437.500 0.93
9440.500 0.93
9443.400 0.93
9446.400 0.93
9449.400 0.94
9452.400 0.94
9455.300 0.94
9458.300 0.94
9461.300 0.94
9464.300 0.94
9467.200 0.94
9470.200 0.95
9473.200 0.94
9476.100 0.94
9479.100 0.94
9482.100 0.94
9485.100 0.94
9488.000 0.94
9491.000 0.95
9494.000 0.95
9496.900 0.94
9499.900 0.95
9502.900 0.95
9505.800 0.94
9508.800 0.95
9511.800 0.95
9514.700 0.94
9517.700 0.94
9520.700 0.94
9523.600 0.94
9526.600 0.94
9529.600 0.95
9532.500 0.94
9535.500 0.95
9538.500 0.95
9541.400 0.94
9544.400 0.94
9547.300 0.94
9550.300 0.94
9553.300 0.94
9556.200 0.94
9559.200 0.94
9562.100 0.94
9565.100 0.94
9568.100 0.94
9571.000 0.94
9574.000 0.94
9576.900 0.95
9579.900 0.95
9582.900 0.94
9585.800 0.94
9588.800 0.95
9591.700 0.95
9594.700 0.95
9597.600 0.95
9600.600 0.95
9603.500 0.96
9606.500 0.95
9609.400 0.95
9612.400 0.95
9615.300 0.95
9618.300 0.95
9621.200 0.95
9624.200 0.95
9627.100 0.95
9630.100 0.95
9633.000 0.95
9636.000 0.95
9638.900 0.95
9641.900 0.95
9644.800 0.95
9647.800 0.95
9650.700 0.95
9653.700 0.95
9656.600 0.96
9659.600 0.95
9662.500 0.95
9665.500 0.95
9668.400 0.95
9671.300 0.95
9674.300 0.95
9677.200 0.95
9680.200 0.95
9683.100 0.95
9686.100 0.95
9689.000 0.95
9691.900 0.95
9694.900 0.95
9697.800 0.95
9700.800 0.95
