# wavel	---extinction------	atmospheric transmission
# nm	mag/AM	HET AM	AM=2	AM=1	HET AM=1.22
340	0.681	0.830	1.36	0.534	0.4654
350	0.631	0.770	1.26	0.559	0.4919
360	0.568	0.693	1.14	0.592	0.528
370	0.511	0.623	1.02	0.625	0.5632
380	0.471	0.575	0.94	0.648	0.5889
390	0.427	0.521	0.85	0.675	0.6186
400	0.374	0.456	0.75	0.709	0.6569
410	0.337	0.411	0.67	0.733	0.6847
420	0.307	0.374	0.61	0.754	0.7083
430	0.283	0.345	0.57	0.771	0.7278
440	0.259	0.316	0.52	0.788	0.7472
450	0.237	0.289	0.47	0.804	0.7662
460	0.219	0.267	0.44	0.818	0.7822
470	0.203	0.248	0.41	0.829	0.796
480	0.191	0.233	0.38	0.838	0.8065
490	0.181	0.221	0.36	0.847	0.8162
500	0.173	0.211	0.35	0.853	0.8234
510	0.167	0.203	0.33	0.858	0.8291
520	0.162	0.198	0.32	0.861	0.8333
530	0.157	0.191	0.31	0.865	0.8384
540	0.152	0.185	0.30	0.870	0.8434
550	0.148	0.181	0.30	0.873	0.8468
560	0.146	0.178	0.29	0.874	0.849
570	0.143	0.175	0.29	0.876	0.8514
580	0.141	0.172	0.28	0.878	0.8536
590	0.134	0.163	0.27	0.884	0.8605
600	0.123	0.151	0.25	0.893	0.8705
610	0.110	0.134	0.22	0.904	0.8839
620	0.099	0.121	0.20	0.913	0.8946
630	0.091	0.111	0.18	0.920	0.9028
640	0.086	0.104	0.17	0.924	0.9083
650	0.083	0.101	0.17	0.927	0.9114
660	0.076	0.092	0.15	0.933	0.9184
670	0.070	0.085	0.14	0.938	0.9244
680	0.063	0.076	0.13	0.944	0.9321
690	0.055	0.067	0.11	0.951	0.94
700	0.043	0.053	0.09	0.961	0.9527
