# lambda zeropoint
3950.0 15.580499967416916
4000.0 15.894198569532302
4050.0 16.186612672568163
4100.0 16.458758474401314
4150.0 16.711636762433553
4200.0 16.94623094919014
4250.0 17.163505260635485
4300.0 17.364403073387717
4350.0 17.549845397013424
4400.0 17.72072949758419
4450.0 17.87792765867633
4500.0 18.022286075995318
4550.0 18.154623881806362
4600.0 18.275732295352704
4650.0 18.38637389544295
4700.0 18.48728201138909
4750.0 18.579160228476553
4800.0 18.662682004147847
4850.0 18.738490391081214
4900.0 18.807197863345834
4950.0 18.869386241815018
5000.0 18.925606715018844
5050.0 18.976379951617798
5100.0 19.02219630067879
5150.0 19.063516075935116
5200.0 19.100769920211796
5250.0 19.13435924619778
5300.0 19.164656749746456
5350.0 19.19200699188605
5400.0 19.21672704572127
5450.0 19.23910720440773
5500.0 19.259411746380657
5550.0 19.2778797540193
5600.0 19.294725981928543
5650.0 19.31014177101926
5700.0 19.324296004568772
5750.0 19.33733610244296
5800.0 19.34938904966155
5850.0 19.360562455487923
5900.0 19.37094563922506
5950.0 19.38061073889901
6000.0 19.389613839011414
6050.0 19.39799611354251
6100.0 19.405784980386173
6150.0 19.41299526339837
6200.0 19.41963035824059
6250.0 19.425683398199702
6300.0 19.4311384161657
6350.0 19.435971498948838
6400.0 19.440151930117587
6450.0 19.44364331753899
6500.0 19.446404701802773
6550.0 19.44839164171079
6600.0 19.44955727301319
6650.0 19.449853336572875
6700.0 19.449231172139662
6750.0 19.447642673915635
6800.0 19.445041204093222
6850.0 19.44138246054737
6900.0 19.436625294863415
6950.0 19.430732476882017
7000.0 19.423671401942734
7050.0 19.41541473700762
7100.0 19.405941001846404
7150.0 19.395235081464698
7200.0 19.383288665956677
7250.0 19.370100613963768
7300.0 19.355677235920805
7350.0 19.340032493271096
7400.0 19.323188109831932
7450.0 19.30517359149196
7500.0 19.28602615042197
7550.0 19.2657905299805
7600.0 19.24451872649577
7650.0 19.22226960410545
7700.0 19.199108398835666
7750.0 19.175106108100817
7800.0 19.15033876180561
7850.0 19.124886571230792
7900.0 19.098832951884116
7950.0 19.072263416497965
8000.0 19.045264334355107
8050.0 19.017921553124122
8100.0 18.9903188793859
8150.0 18.962536414032744
8200.0 18.934648738721524
8250.0 18.906722949562404
8300.0 18.87881653422452
8350.0 18.850975088640244
8400.0 18.82322986948936
8450.0 18.79559517864471
8500.0 18.768065575760794
8550.0 18.740612915186727
8600.0 18.713183203385157
8650.0 18.68569327303847
8700.0 18.658027270023908
8750.0 18.630032949438952
8800.0 18.60151777685855
8850.0 18.57224483100559
8900.0 18.54192850401613
8950.0 18.510229995480895
9000.0 18.476752596444445
9050.0 18.44103675954354
9100.0 18.402554951466197
9150.0 18.360706283912883
9200.0 18.31481091924128
9250.0 18.264104246976245
9300.0 18.207730827366273
9350.0 18.144738098168034
9400.0 18.074069840840473
