# lambda zeropoint
3714.0 16.876545023074804
3718.2 16.9215581195716
3722.4 16.966569660657314
3726.6 17.011527127249494
3730.8 17.056381004114268
3735.0 17.101084667924944
3739.2 17.145594278532553
3743.4 17.189868673373848
3747.6 17.23386926494353
3751.8 17.277559941259273
3756.0 17.320906969249023
3760.2 17.3638789009917
3764.4 17.4064464827437
3768.6 17.448582566684816
3772.8 17.490262025318664
3777.0 17.53146166846372
3781.2 17.572160162772605
3785.4 17.61233795371824
3789.6 17.6519771899868
3793.8 17.69106165021873
3798.0 17.729576672039933
3802.2 17.767509083326665
3806.4 17.804847135648778
3810.6 17.84158043983681
3814.8 17.87769990361997
3819.0 17.91319767128263
3823.2 17.94806706528845
3827.4 17.98230252982195
3831.6 18.01589957619868
3835.8 18.048854730095805
3840.0 18.08116548055627
3844.2 18.11283023072044
3848.4 18.14384825024012
3852.6 18.174219629330807
3856.8 18.203945234419162
3861.0 18.233026665343054
3865.2 18.26146621406316
3869.4 18.289266824845335
3873.6 18.316432055874202
3877.8 18.342966042259164
3882.0 18.36887346039485
3886.2 18.394159493638803
3890.4 18.418829799270206
3894.6 18.442890476693915
3898.8 18.466348036855162
3903.0 18.489209372830885
3907.2 18.511481731564405
3911.4 18.53317268671097
3915.6 18.554290112562356
3919.8 18.57484215901945
3924.0 18.59483722758242
3928.2 18.614283948328826
3932.4 18.633191157850582
3936.6 18.65156787812149
3940.8 18.669423296267563
3945.0 18.686766745213134
3949.2 18.703607685176276
3953.4 18.7199556859877
3957.6 18.735820410207918
3961.8 18.751211597018095
3966.0 18.76613904686038
3970.2 18.780612606804496
3974.4 18.79464215661736
3978.6 18.80823759551367
3982.8 18.821408829565396
3987.0 18.83416575974898
3991.2 18.8465182706095
3995.4 18.85847621952139
3999.6 18.870049426526116
4003.8 18.881247664727333
4008.0 18.89208065122493
4012.2 18.90255803856943
4016.4 18.912689406719018
4020.6 18.922484255481674
4024.8 18.93195199742556
4029.0 18.941101951240952
4033.2 18.949943335537775
4037.4 18.95848526306292
4041.6 18.966736735322108
4045.8 18.974706637591446
4050.0 18.982403734304064
4054.2 18.989836664797885
4058.4 18.99701393941069
4062.6 19.003943935909103
4066.8 19.010634896238628
4071.0 19.01709492358189
4075.2 19.023331979713
4079.4 19.02935388263591
