# lambda zeropoint
4167.6 18.268414507126696
4171.8 18.275219862657877
4176.0 18.282044017161503
4180.2 18.288886095101013
4184.4 18.295745227674235
4188.6 18.302620552800995
4192.8 18.309511215110657
4197.0 18.316416365929776
4201.2 18.323335163269608
4205.4 18.33026677181376
4209.6 18.337210362905743
4213.8 18.344165114536562
4218.0 18.351130211332308
4222.2 18.358104844541746
4226.4 18.36508821202389
4230.6 18.372079518235605
4234.8 18.379077974219175
4239.0 18.386082797589907
4243.2 18.3930932125237
4247.4 18.400108449744646
4251.6 18.407127746512614
4255.8 18.414150346610832
4260.0 18.421175500333455
4264.2 18.42820246447319
4268.4 18.435230502308862
4272.6 18.442258883592988
4276.8 18.449286884539383
4281.0 18.456313787810736
4285.2 18.463338882506196
4289.4 18.470361464148972
4293.6 18.477380834673898
4297.8 18.484396302415025
4302.0 18.49140718209322
4306.2 18.49841279480374
4310.4 18.505412468003826
4314.6 18.512405535500285
4318.8 18.51939133743706
4323.0 18.526369220282852
4327.2 18.533338536818682
4331.4 18.54029864612547
4335.6 18.547248913571647
4339.8 18.55418871080072
4344.0 18.56111741571886
4348.2 18.568034412482508
4352.4 18.574939091485934
4356.6 18.58183084934884
4360.8 18.588709088903933
4365.0 18.595573219184537
4369.2 18.60242265541215
4373.4 18.609256818984043
4377.6 18.61607513746085
4381.8 18.622877044554144
4386.0 18.629661980114033
4390.2 18.636429390116746
4394.4 18.643178726652202
4398.6 18.649909447911618
4402.8 18.656621018175095
4407.0 18.663312907799174
4411.2 18.66998459320446
4415.4 18.676635556863193
4419.6 18.683265287286826
4423.8 18.689873279013614
4428.0 18.69645903259622
4432.2 18.703022054589272
4436.4 18.709561857536976
4440.6 18.716077959960664
4444.8 18.722569886346434
4449.0 18.7290371671327
4453.2 18.73547933869777
4457.4 18.741895943347462
4461.6 18.748286529302675
4465.8 18.754650650686965
4470.0 18.760987867514167
4474.2 18.767297745675926
4478.4 18.773579856929334
4482.6 18.779833778884495
4486.8 18.786059094992094
4491.0 18.792255394531022
4495.2 18.798422272595932
4499.4 18.80455933008484
4503.6 18.81066617368669
4507.8 18.81674241586898
4512.0 18.8227876748653
4533.0 18.85253626229746
4537.2 18.858387926421972
4541.4 18.864206095404214
4545.6 18.869990433159817
4549.8 18.87574060925881
4554.0 18.881456298913182
4558.2 18.8871371829645
4562.4 18.892782947871492
