# lambda zeropoint
6124.8 19.148892435511442
6129.0 19.15055243916152
6133.2 19.152189794314655
6137.4 19.15380461982935
6141.6 19.155397034238252
6145.8 19.156967155748184
6150.0 19.158515102240127
6154.2 19.160040991269234
6158.4 19.16154494006481
6162.6 19.16302706553035
6166.8 19.16448748424348
6171.0 19.165926312456012
6175.2 19.167343666093924
6179.4 19.168739660757343
6183.6 19.17011441172058
6187.8 19.171468033932094
6192.0 19.17280064201452
6196.2 19.17411235026465
6200.4 19.17540327265345
6204.6 19.17667352282604
6208.8 19.17792321410171
6213.0 19.179152459473915
6217.2 19.18036137161027
6221.4 19.18155006285257
6225.6 19.18271864521675
6229.8 19.183867230392927
6234.0 19.18499592974538
6238.2 19.186104854312553
6242.4 19.18719411480705
6246.6 19.18826382161564
6250.8 19.189314084799264
6255.0 19.190345014093023
6259.2 19.191356718906174
6263.4 19.19234930832216
6267.6 19.193322891098568
6271.8 19.194277575667154
6276.0 19.19521347013385
6280.2 19.196130682278742
6284.4 19.197029319556083
6288.6 19.197909489094293
6292.8 19.198771297695952
6297.0 19.19961485183781
6301.2 19.200440257670774
6305.4 19.20124762101993
6309.6 19.202037047384515
6313.8 19.202808641937928
6318.0 19.20356250952775
6322.2 19.204298754675715
6326.4 19.20501748157772
6330.6 19.20571879410383
6334.8 19.206402795798276
6339.0 19.20706958987945
6343.2 19.207719279239914
6347.4 19.208351966446394
6351.6 19.208967753739767
6355.8 19.209566743035097
6360.0 19.2101490359216
6364.2 19.21071473366265
6368.4 19.2112639371958
6372.6 19.211796747132766
6376.8 19.21231326375942
6381.0 19.2128135870358
6385.2 19.21329781659611
6389.4 19.21376605174873
6393.6 19.214218391476187
6397.8 19.21465493443518
6402.0 19.21507577895658
6406.2 19.21548102304541
6410.4 19.215870764380867
6414.6 19.216245100316304
6418.8 19.21660412787925
6423.0 19.21694794377139
6427.2 19.217276644368575
6431.4 19.217590325720824
6435.6 19.21788908355232
6439.8 19.218173013261403
6444.0 19.21844220992059
6448.2 19.21869676827655
6452.4 19.218936782750134
6456.6 19.219162347436335
6460.8 19.219373556104333
6465.0 19.219570502197453
6469.2 19.2197532788332
6473.4 19.21992197880324
6477.6 19.220076694573393
6481.8 19.220217518283658
6486.0 19.220344541748187
6507.0 19.220775846071906
6511.2 19.22082197791257
6515.4 19.22085494308322
6519.6 19.220874830791328
6523.8 19.220881729918535
6528.0 19.220875729020637
6532.2 19.22085691632761
6536.4 19.220825379743584
6540.6 19.220781206846862
6544.8 19.220724484889903
6549.0 19.220655300799336
6553.2 19.220573741175954
6557.4 19.220479892294712
6561.6 19.22037384010473
6565.8 19.220255670229303
6570.0 19.220125467965875
6574.2 19.21998331828606
6578.4 19.219829305835642
6582.6 19.219663514934567
6586.8 19.21948602957694
6591.0 19.21929693343104
6595.2 19.2190963098393
6599.4 19.218884241818333
6603.6 19.218660812058896
6607.8 19.218426102925932
6612.0 19.218180196458533
6616.2 19.21792317436996
6620.4 19.21765511804765
6624.6 19.217376108553182
6628.8 19.21708622662232
6633.0 19.21678555266498
6637.2 19.216474166765256
6641.4 19.216152148681388
6645.6 19.215819577845796
6649.8 19.215476533365063
6654.0 19.215123094019926
6658.2 19.2147593382653
6662.4 19.214385344230255
6666.6 19.21400118971803
6670.8 19.21360695220603
6675.0 19.213202708845824
6679.2 19.212788536463137
6683.4 19.21236451155788
6687.6 19.211930710304095
6691.8 19.211487208550025
6696.0 19.211034081818056
6700.2 19.210571405304737
6704.4 19.2100992538808
6708.6 19.20961770209112
6712.8 19.20912682415475
6717.0 19.20862669396491
6721.2 19.208117385088972
6725.4 19.20759897076848
6729.6 19.207071523919144
6733.8 19.206535117130844
6738.0 19.205989822667604
6742.2 19.205435712467633
6746.4 19.204872858143304
6750.6 19.204301330981142
6754.8 19.203721201941843
6759.0 19.20313254166027
6763.2 19.20253542044545
6767.4 19.20192990828057
6771.6 19.201316074822984
6775.8 19.20069398940422
6780.0 19.200063721029952
6784.2 19.199425338380035
6788.4 19.198778909808485
6792.6 19.198124503343475
6796.8 19.197462186687353
6801.0 19.19679202721662
6805.2 19.196114091981954
6809.4 19.195428447708192
6813.6 19.194735160794334
6817.8 19.194034297313543
6822.0 19.193325923013155
6826.2 19.192610103314667
6830.4 19.191886903313737
6834.6 19.191156387780186
6838.8 19.190418621158013
6843.0 19.189673667565366
6847.2 19.188921590794564
6851.4 19.188162454312092
6855.6 19.1873963212586
6859.8 19.186623254448897
6864.0 19.185843316371965
6868.2 19.185056569190944
6872.4 19.184263074743146
6876.6 19.183462894540032
6880.8 19.18265608976725
6885.0 19.181842721284596
6889.2 19.181022849626032
6893.4 19.1801965349997
6897.6 19.17936383728788
6918.6 19.175106675518446
6922.8 19.17423691857517
6927.0 19.173361188599085
6931.2 19.17247954286581
6935.4 19.17159203832512
6939.6 19.170698731600957
6943.8 19.16979967899143
6948.0 19.16889493646881
6952.2 19.167984559679528
6956.4 19.16706860394419
6960.6 19.16614712425756
6964.8 19.16522017528856
6969.0 19.164287811380298
6973.2 19.16335008655002
6977.4 19.16240705448916
6981.6 19.1614587685633
6985.8 19.1605052818122
6990.0 19.15954664694977
6994.2 19.158582916364097
6998.4 19.157614142117428
7002.6 19.156640375946175
7006.8 19.15566166926091
7011.0 19.15467807314638
7015.2 19.153689638361485
7019.4 19.152696415339303
