# lambda zeropoint
7561.2 18.765259406540455
7565.4 18.765162356171842
7569.6 18.765013142056006
7573.8 18.7648124493345
7578.0 18.764560960246534
7582.2 18.764259354115506
7586.4 18.763908307335463
7590.6 18.763508493357655
7594.8 18.76306058267702
7599.0 18.762565242818688
7603.2 18.762023138324505
7607.4 18.76143493073953
7611.6 18.760801278598535
7615.8 18.760122837412542
7620.0 18.759400259655287
7624.2 18.75863419474977
7628.4 18.757825289054747
7632.6 18.75697418585122
7636.8 18.756081525328963
7641.0 18.75514794457304
7645.2 18.75417407755029
7649.4 18.75316055509584
7653.6 18.75210800489963
7657.8 18.751017051492898
7662.0 18.7498883162347
7666.2 18.748722417298417
7670.4 18.747519969658253
7674.6 18.74628158507577
7678.8 18.745007872086358
7683.0 18.743699435985768
7687.2 18.742356878816615
7691.4 18.74098079935488
7695.6 18.739571793096427
7699.8 18.7381304522435
7704.0 18.736657365691233
7708.2 18.735153119014175
7712.4 18.733618294452768
7716.6 18.73205347089988
7720.8 18.730459223887305
7725.0 18.728836125572254
7729.2 18.727184744723896
7733.4 18.72550564670983
7737.6 18.72379939348263
7741.8 18.72206654356632
7746.0 18.720307652042887
7750.2 18.71852327053882
7754.4 18.716713947211574
7758.6 18.7148802267361
7762.8 18.71302265029136
7767.0 18.711141755546816
7771.2 18.709238076648962
7775.4 18.70731214420779
7779.6 18.70536448528335
7783.8 18.703395623372224
7788.0 18.70140607839404
7792.2 18.69939636667798
7796.4 18.697367000949296
7800.6 18.69531849031581
7804.8 18.69325134025441
7809.0 18.6911660525976
7813.2 18.689063125519944
7817.4 18.686943053524633
7821.6 18.68480632742996
7825.8 18.68265343435583
7830.0 18.68048485771029
7834.2 18.678301077176
7838.4 18.676102568696777
7842.6 18.673889804464075
7846.8 18.671663252903517
7851.0 18.66942337866138
7855.2 18.66717064259112
7859.4 18.664905501739863
7863.6 18.662628409334932
7867.8 18.66033981477035
7872.0 18.658040163593324
7876.2 18.65572989749079
7880.4 18.653409454275895
7884.6 18.65107926787451
7888.8 18.648739768311753
7893.0 18.646391381698468
7897.2 18.64403453021775
7901.4 18.641669632111462
7905.6 18.639297101666724
7909.8 18.636917349202434
7914.0 18.634530781055766
7918.2 18.632137799568685
7922.4 18.629738803074446
7926.6 18.627334185884116
7930.8 18.624924338273075
7935.0 18.62250964646751
7956.0 18.610376757296024
7960.2 18.607940882619282
7964.4 18.605502752820975
7968.6 18.603062721248126
7972.8 18.60062113707716
7977.0 18.598178345300383
