# lambda zeropoint
3701.4 14.565981612143787
3705.6 14.595878197784101
3709.8 14.625624802671057
3714.0 14.65522191559197
3718.2 14.684670025564872
3722.4 14.713969621825262
3726.6 14.743121193812883
3730.8 14.772125231158675
3735.0 14.800982223671644
3739.2 14.82969266132595
3743.4 14.858257034247952
3747.6 14.886675832703375
3751.8 14.914949547084538
3756.0 14.943078667897616
3760.2 14.971063685750028
3764.4 14.99890509133784
3768.6 15.026603375433258
3772.8 15.054159028872194
3777.0 15.081572542541853
3781.2 15.108844407368471
3785.4 15.135975114305047
3789.6 15.162965154319139
3793.8 15.1898150183808
3798.0 15.216525197450494
3802.2 15.243096182467134
3806.4 15.269528464336164
3810.6 15.295822533917681
3814.8 15.321978882014708
3819.0 15.347997999361418
3823.2 15.373880376611517
3827.4 15.399626504326637
3831.6 15.425236872964799
3835.8 15.450711972869012
3840.0 15.476052294255794
3844.2 15.501258327203912
3848.4 15.526330561643071
3852.6 15.551269487342747
3856.8 15.576075593901018
3861.0 15.600749370733508
3865.2 15.62529130706238
3869.4 15.649701891905377
3873.6 15.673981614064946
3877.8 15.698130962117428
3882.0 15.722150424402276
3886.2 15.746040489011392
3890.4 15.769801643778495
3894.6 15.793434376268515
3898.8 15.816939173767137
3903.0 15.840316523270346
3907.2 15.863566911474035
3911.4 15.886690824763706
3915.6 15.90968874920419
3919.8 15.932561170529485
3924.0 15.955308574132623
3928.2 15.97793144505558
3932.4 16.000430267979283
3936.6 16.022805527213677
3940.8 16.04505770668782
3945.0 16.067187289940076
3949.2 16.089194760108356
3953.4 16.1110805999204
3957.6 16.132845291684163
3961.8 16.154489317278237
3966.0 16.176013158142307
3970.2 16.19741729526771
3974.4 16.21870220918806
3978.6 16.23986837996989
3982.8 16.26091628720337
3987.0 16.281846409993104
3991.2 16.30265922694899
3995.4 16.323355216177106
3999.6 16.34393485527066
4003.8 16.36439862130105
4008.0 16.38474699080892
4012.2 16.404980439795324
4016.4 16.425099443712895
4020.6 16.445104477457146
4024.8 16.464996015357766
4029.0 16.484774531169997
4033.2 16.504440498066085
4037.4 16.52399438862676
4041.6 16.543436674832815
4045.8 16.562767828056685
4050.0 16.581988319054133
4054.2 16.601098617956
4058.4 16.620099194259954
4062.6 16.63899051682236
4066.8 16.65777305385017
4071.0 16.67644727289288
4075.2 16.695013640834574
4079.4 16.713472623885956
4083.6 16.731824687576502
4087.8 16.750070296746657
4092.0 16.768209915540062
4096.2 16.78624400739587
4100.4 16.80417303504109
4104.6 16.821997460483015
4108.8 16.839717745001686
4113.0 16.857334349142405
4117.2 16.874847732708364
4121.4 16.892258354753213
4125.6 16.909566673573824
4129.8 16.926773146703
4134.0 16.943878230902286
4138.2 16.960882382154846
4142.4 16.977786055658363
4146.6 16.994589705818036
4150.8 17.011293786239555
4155.0 17.027898749722244
4159.2 17.044405048252152
4163.4 17.060813132995275
4167.6 17.077123454290785
4171.8 17.093336461644316
4176.0 17.109452603721355
4180.2 17.125472328340617
4184.4 17.14139608246753
4188.6 17.157224312207738
4192.8 17.172957462800657
4197.0 17.188595978613137
4201.2 17.204140303133105
4205.4 17.21959087896331
4209.6 17.234948147815103
4213.8 17.25021255050227
4218.0 17.265384526934923
4222.2 17.28046451611345
4226.4 17.295452956122496
4230.6 17.31035028412503
4234.8 17.32515693635641
4239.0 17.33987334811858
4243.2 17.354499953774233
4247.4 17.3690371867411
4251.6 17.383485479486232
4255.8 17.397845263520384
4260.0 17.412116969392393
4264.2 17.42630102668368
4268.4 17.44039786400275
4272.6 17.454407908979732
4276.8 17.468331588261037
4281.0 17.482169327503996
4285.2 17.49592155137159
4289.4 17.509588683527223
4293.6 17.523171146629537
4297.8 17.536669362327267
4302.0 17.5500837512542
4306.2 17.563414733024107
4310.4 17.576662726225784
4314.6 17.589828148418125
4318.8 17.602911416125224
4323.0 17.61591294483157
4327.2 17.628833148977254
4331.4 17.641672441953226
4335.6 17.654431236096652
4339.8 17.667109942686235
4344.0 17.679708971937657
4348.2 17.69222873299906
4352.4 17.70466963394652
4356.6 17.717032081779653
4360.8 17.729316482417186
4365.0 17.74152324069266
4369.2 17.7536527603501
4373.4 17.765705444039806
4377.6 17.77768169331412
4381.8 17.789581908623305
4386.0 17.80140648931145
4390.2 17.8131558336124
4394.4 17.824830338645743
4398.6 17.836430400412898
4402.8 17.847956413793142
4407.0 17.859408772539812
4411.2 17.870787869276427
4415.4 17.882094095492967
4419.6 17.89332784154213
4423.8 17.90448949663565
4428.0 17.91557944884069
4432.2 17.926598085076222
4436.4 17.93754579110954
4440.6 17.948422951552722
4444.8 17.95922994985921
4449.0 17.969967168320412
4453.2 17.98063498806233
4457.4 17.991233789042276
4461.6 18.001763950045596
4465.8 18.012225848682448
4470.0 18.022619861384637
4474.2 18.0329463634025
4478.4 18.043205728801787
4482.6 18.053398330460674
4486.8 18.063524540066727
4491.0 18.073584728113975
4495.2 18.0835792639
4499.4 18.093508515523084
4503.6 18.103372849879385
4507.8 18.113172632660167
4512.0 18.122908228349065
4516.2 18.132580000219434
4520.4 18.142188310331658
4524.6 18.1517335195306
4528.8 18.161215987443015
4533.0 18.170636072475048
4537.2 18.179994131809792
4541.4 18.189290521404818
4545.6 18.19852559598983
4549.8 18.20769970906431
4554.0 18.216813212895232
4558.2 18.225866458514787
4562.4 18.234859795718204
4566.6 18.243793573061545
4570.8 18.252668137859605
4575.0 18.261483836183807
4579.2 18.27024101286018
4583.4 18.27894001146733
4587.6 18.287581174334502
4591.8 18.296164842539646
4596.0 18.30469135590755
4600.2 18.313161053008002
4604.4 18.32157427115397
4608.6 18.329931346399892
4612.8 18.33823261353992
4617.0 18.346478406106268
4621.2 18.354669056367573
4625.4 18.362804895327308
4629.6 18.370886252722222
4633.8 18.378913457020815
4638.0 18.386886835421905
4642.2 18.39480671385315
4646.4 18.402673416969684
4650.6 18.410487268152753
4654.8 18.418248589508405
4659.0 18.4259577018662
4663.2 18.433614924778006
4667.4 18.441220576516766
4671.6 18.448774974075373
4675.8 18.45627843316552
4680.0 18.463731268216648
4684.2 18.47113379237489
4688.4 18.47848631750206
4692.6 18.485789154174714
4696.8 18.493042611683187
4701.0 18.500246998030743
4705.2 18.50740261993269
4709.4 18.514509782815594
4713.6 18.52156879081648
4717.8 18.528579946782113
4722.0 18.535543552268283
4726.2 18.542459907539154
4730.4 18.549329311566623
4734.6 18.55615206202975
4738.8 18.56292845531418
4743.0 18.569658786511653
4747.2 18.576343349419503
4751.4 18.582982436540238
4755.6 18.589576339081106
4759.8 18.59612534695375
4764.0 18.60262974877386
4768.2 18.60908983186087
4772.4 18.61550588223771
4776.6 18.62187818463057
4780.8 18.628207022468715
4785.0 18.63449267788431
4789.2 18.640735431712333
4793.4 18.646935563490462
4797.6 18.653093351459027
4801.8 18.659209072561012
4806.0 18.66528300244205
4810.2 18.671315415450493
4814.4 18.67730658463751
4818.6 18.68325678175718
4822.8 18.68916627726667
4827.0 18.69503534032642
4831.2 18.700864238800374
4835.4 18.70665323925623
4839.6 18.712402606965746
4843.8 18.718112605905034
4848.0 18.72378349875497
4852.2 18.729415546901542
4856.4 18.735009010436304
4860.6 18.740564148156817
4864.8 18.74608121756716
4869.0 18.75156047487843
4873.2 18.757002175009326
4877.4 18.762406571586727
4881.6 18.767773916946307
4885.8 18.773104462133208
4890.0 18.77839845690271
4894.2 18.783656149720965
4898.4 18.78887778776573
4902.6 18.79406361692718
4906.8 18.79921388180868
4911.0 18.804328825727673
4915.2 18.809408690716527
4919.4 18.814453717523467
4923.6 18.819464145613495
4927.8 18.82444021316937
4932.0 18.829382157092613
4936.2 18.834290213004536
4940.4 18.839164615247302
4944.6 18.844005596885022
4948.8 18.84881338970488
4953.0 18.85358822421828
4957.2 18.858330329662053
4961.4 18.863039933999623
4965.6 18.867717263922316
4969.8 18.872362544850574
4974.0 18.8769760009353
4978.2 18.881557855059167
4982.4 18.886108328837988
4986.6 18.89062764262211
4990.8 18.895116015497827
4995.0 18.899573665288845
4999.2 18.90400080855773
5003.4 18.90839766060745
5007.6 18.912764435482885
5011.8 18.9171013459724
