# lambda zeropoint
5721.6 19.120356672602412
5725.8 19.121847130971492
5730.0 19.123328833856366
5734.2 19.12480178096462
5738.4 19.12626597205059
5742.6 19.127721406915416
5746.8 19.129168085407002
5751.0 19.130606007420035
5755.2 19.132035172895975
5759.4 19.133455581823068
5763.6 19.134867234236328
5767.8 19.136270130217554
5772.0 19.13766426989532
5776.2 19.139049653444978
5780.4 19.140426281088658
5784.6 19.141794153095272
5788.8 19.143153269780502
5793.0 19.144503631506815
5797.2 19.145845238683446
5801.4 19.14717809176642
5805.6 19.148502191258533
5809.8 19.149817537709364
5814.0 19.151124131715257
5818.2 19.15242197391935
5822.4 19.15371106501155
5826.6 19.15499140572854
5830.8 19.156262996853794
5835.0 19.157525839217545
5839.2 19.15877993369682
5843.4 19.16002528121541
5847.6 19.16126188274389
5851.8 19.162489739299623
5856.0 19.163708851946733
5860.2 19.164919221796133
5864.4 19.166120850005505
5868.6 19.16731373777932
5872.8 19.168497886368822
5877.0 19.169673297072023
5881.2 19.170839971233725
5885.4 19.171997910245505
5889.6 19.173147115545724
5893.8 19.174287588619507
5898.0 19.175419330998764
5902.2 19.17654234426218
5906.4 19.17765663003523
5910.6 19.178762189990152
5914.8 19.179859025845964
5919.0 19.18094713936847
5923.2 19.182026532370248
5927.4 19.183097206710645
5931.6 19.1841591642958
5935.8 19.185212407078627
5940.0 19.186256937058804
5944.2 19.187292756282808
5948.4 19.188319866843877
5952.6 19.189338270882033
5956.8 19.190347970584078
5961.0 19.191348968183586
5965.2 19.19234126596092
5969.4 19.193324866243206
5973.6 19.194299771404353
5977.8 19.195265983865056
5982.0 19.196223506092785
5986.2 19.197172340601774
5990.4 19.198112489953058
5994.6 19.199043956754423
5998.8 19.19996674366046
6003.0 19.20088085337252
6007.2 19.201786288638736
6011.4 19.20268305225402
6015.6 19.203571147060064
6019.8 19.20445057594533
6024.0 19.20532134184507
6028.2 19.206183447741306
6032.4 19.20703689666283
6036.6 19.207881691685238
6040.8 19.20871783593087
6045.0 19.20954533256887
6049.2 19.210364184815145
6053.4 19.21117439593239
6057.6 19.21197596923007
6061.8 19.21276890806443
6066.0 19.2135532158385
6070.2 19.214328896002073
6074.4 19.215095952051733
6078.6 19.215854387530836
6082.8 19.21660420602952
6087.0 19.217345411184695
6091.2 19.218078006680052
6095.4 19.218801996246064
