# lambda zeropoint
3541.8 16.73639166347161
3546.0 16.753216395099052
3550.2 16.769976676449666
3554.4 16.786672588955668
3558.6 16.803304214396025
3562.8 16.819871634895364
3567.0 16.83637493292284
3571.2 16.85281419129101
3575.4 16.86918949315475
3579.6 16.885500922010078
3583.8 16.90174856169309
3588.0 16.9179324963788
3592.2 16.934052810580052
3596.4 16.950109589146376
3600.6 16.966102917262887
3604.8 16.982032880449154
3609.0 16.997899564558082
3613.2 17.013703055774805
3617.4 17.02944344061556
3621.6 17.045120805926548
3625.8 17.060735238882856
3630.0 17.076286826987296
3634.2 17.09177565806931
3638.4 17.10720182028385
3642.6 17.122565402110254
3646.8 17.13786649235112
3651.0 17.153105180131192
3655.2 17.16828155489626
3659.4 17.183395706412007
3663.6 17.198447724762914
3667.8 17.213437700351122
3672.0 17.228365723895344
3676.2 17.243231886429708
3680.4 17.258036279302665
3684.6 17.27277899417586
3688.8 17.287460123023006
3693.0 17.302079758128784
3697.2 17.316637992087706
3701.4 17.331134917803002
3705.6 17.345570628485497
3709.8 17.359945217652506
3714.0 17.3742587791267
3718.2 17.388511407034983
3722.4 17.402703195807398
3726.6 17.416834240175973
3730.8 17.43090463517364
3735.0 17.44491447613307
3739.2 17.45886385868561
3743.4 17.472752878760115
3747.6 17.486581632581842
3751.8 17.500350216671357
3756.0 17.514058727843377
3760.2 17.52770726320567
3764.4 17.541295920157953
3768.6 17.554824796390736
3772.8 17.56829398988423
3777.0 17.581703598907215
3781.2 17.595053722015923
3785.4 17.608344458052933
3789.6 17.62157590614603
3793.8 17.6347481657071
3798.0 17.647861336431006
3802.2 17.660915518294463
3806.4 17.67391081155494
3810.6 17.68684731674951
3814.8 17.69972513469376
3819.0 17.712544366480653
3823.2 17.725305113479408
3827.4 17.738007477334406
3831.6 17.750651559964034
3835.8 17.763237463559598
3840.0 17.77576529058418
3844.2 17.788235143771537
3848.4 17.80064712612497
3852.6 17.81300134091621
3856.8 17.82529789168429
3861.0 17.83753688223445
3865.2 17.84971841663699
3869.4 17.861842599226158
3873.6 17.873909534599044
3877.8 17.885919327614456
3882.0 17.897872083391782
3886.2 17.909767907309895
3890.4 17.92160690500603
3894.6 17.93338918237464
3898.8 17.94511484556632
3903.0 17.956784000986648
3907.2 17.968396755295085
3911.4 17.979953215403857
3915.6 17.99145348847683
3919.8 18.002897681928392
3924.0 18.014285903422326
3928.2 18.025618260870715
3932.4 18.036894862432796
3936.6 18.04811581651386
3940.8 18.059281231764114
3945.0 18.070391217077578
3949.2 18.081445881590962
3953.4 18.092445334682548
3957.6 18.103389685971056
3999.6 18.20982688548865
4003.8 18.220172419427893
4008.0 18.230464185336537
4012.2 18.24070229585733
4016.4 18.25088686385779
4020.6 18.261018002429093
4024.8 18.271095824884974
4029.0 18.281120444760575
4033.2 18.291091975811362
4037.4 18.301010532011976
4041.6 18.31087622755512
4045.8 18.320689176850465
4050.0 18.330449494523492
4054.2 18.340157295414397
4058.4 18.349812694576965
4062.6 18.359415807277465
4066.8 18.368966748993497
4071.0 18.378465635412915
4075.2 18.387912582432673
4079.4 18.397307706157733
4083.6 18.40665112289991
4087.8 18.415942949176802
4092.0 18.42518330171063
4096.2 18.43437229742713
4100.4 18.44351005345445
4104.6 18.452596687122014
4108.8 18.461632315959395
4113.0 18.470617057695218
4117.2 18.479551030256037
4121.4 18.488434351765193
4125.6 18.497267140541727
4129.8 18.506049515099235
4134.0 18.514781594144758
4138.2 18.523463496577676
4142.4 18.532095341488564
4146.6 18.54067724815809
4150.8 18.549209336055892
4155.0 18.557691724839465
4159.2 18.566124534353015
4163.4 18.574507884626385
4167.6 18.58284189587389
4171.8 18.591126688493233
4176.0 18.599362383064364
4180.2 18.607549100348372
4184.4 18.615686961286357
4188.6 18.623776086998326
4192.8 18.631816598782056
4197.0 18.63980861811198
4201.2 18.647752266638076
4205.4 18.65564766618474
4209.6 18.663494938749682
4213.8 18.671294206502772
4218.0 18.67904559178496
4222.2 18.68674921710713
4226.4 18.694405205148996
4230.6 18.70201367875798
4234.8 18.709574760948083
4239.0 18.71708857489878
4243.2 18.72455524395389
4247.4 18.731974891620467
4251.6 18.739347641567665
4255.8 18.746673617625635
4260.0 18.753952943784398
4264.2 18.761185744192737
4268.4 18.76837214315705
4272.6 18.77551226514026
4276.8 18.78260623476069
4281.0 18.789654176790922
4285.2 18.796656216156716
4289.4 18.80361247793585
4293.6 18.81052308735704
4297.8 18.817388169798782
4302.0 18.824207850788262
4306.2 18.83098225600023
4310.4 18.83771151125587
4314.6 18.84439574252169
4318.8 18.85103507590841
4323.0 18.857629637669824
4327.2 18.864179554201698
4331.4 18.870684952040637
4335.6 18.877145957862982
4339.8 18.883562698483676
4344.0 18.889935300855157
4348.2 18.896263892066216
4352.4 18.902548599340914
4356.6 18.908789550037437
4360.8 18.914986871646974
4365.0 18.92114069179262
4369.2 18.927251138228232
4373.4 18.93331833883734
4377.6 18.939342421631984
4381.8 18.94532351475164
4386.0 18.951261746462066
4390.2 18.95715724515422
4394.4 18.963010139343094
4398.6 18.968820557666643
4402.8 18.974588628884618
4407.0 18.980314481877496
4411.2 18.985998245645316
4415.4 18.991640049306593
4419.6 18.99724002209718
4423.8 19.00279829336916
4428.0 19.008314992589717
4432.2 19.01379024934002
4436.4 19.019224193314116
4440.6 19.024616954317786
4444.8 19.029968662267446
4449.0 19.03527944718903
4453.2 19.040549439216854
4457.4 19.0457787685925
4461.6 19.05096756566372
4465.8 19.056115960883282
4470.0 19.061224084807883
4474.2 19.066292068097002
4478.4 19.071320041511804
4482.6 19.076308135914005
4486.8 19.08125648226476
4491.0 19.08616521162354
4495.2 19.091034455147025
4499.4 19.095864344087964
4503.6 19.100655009794075
4507.8 19.10540658370691
4512.0 19.110119197360753
4516.2 19.114792982381484
4520.4 19.11942807048547
4524.6 19.12402459347845
4528.8 19.128582683254397
4533.0 19.133102471794416
4537.2 19.137584091165625
4541.4 19.14202767352003
4545.6 19.1464333510934
4549.8 19.150801256204154
4554.0 19.15513152125225
4558.2 19.159424278718056
4562.4 19.163679661161233
4566.6 19.167897801219613
4570.8 19.17207883160808
4575.0 19.176222885117458
4579.2 19.180330094613396
4583.4 19.184400593035225
4587.6 19.18843451339486
4591.8 19.19243198877568
4596.0 19.1963931523314
4600.2 19.20031813728495
4604.4 19.204207076927368
4608.6 19.208060104616678
4612.8 19.211877353776757
4617.0 19.215658957896235
4621.2 19.219405050527367
4625.4 19.223115765284906
4629.6 19.226791235844995
4633.8 19.23043159594405
4638.0 19.23403697937763
4642.2 19.23760751999933
4646.4 19.24114335171964
4650.6 19.244644608504853
4654.8 19.24811142437593
4659.0 19.251543933407397
4663.2 19.254942269726193
4667.4 19.258306567510584
4671.6 19.261636960989026
4675.8 19.264933584439056
4680.0 19.268196572186163
4684.2 19.271426058602678
4688.4 19.274622178106647
4692.6 19.27778506516072
4696.8 19.280914854271025
4701.0 19.284011679986044
4705.2 19.287075676895515
4709.4 19.29010697962929
4713.6 19.293105722856225
4717.8 19.29607204128306
4722.0 19.299006069653306
4726.2 19.301907942746123
4730.4 19.30477779537518
4734.6 19.307615762387574
4738.8 19.31042197866268
4743.0 19.313196579111047
4747.2 19.315939698673272
4751.4 19.318651472318887
4755.6 19.32133203504523
4759.8 19.323981521876345
4801.8 19.34879693808244
4806.0 19.35111350816629
4810.2 19.35340062431802
4814.4 19.35565842180684
4818.6 19.35788703591298
4822.8 19.360086601926575
4827.0 19.362257255146545
4831.2 19.36439913087948
4835.4 19.36651236443852
4839.6 19.368597091142227
4843.8 19.370653446313487
4848.0 19.37268156527836
