# lambda zeropoint
3613.200 11.82
3617.400 11.94
3621.600 12.05
3625.800 12.16
3630.000 12.28
3634.200 12.38
3638.400 12.49
3642.600 12.60
3646.800 12.70
3651.000 12.80
3655.200 12.90
3659.400 12.99
3663.600 13.09
3667.800 13.18
3672.000 13.27
3676.200 13.36
3680.400 13.44
3684.600 13.53
3688.800 13.61
3693.000 13.69
3697.200 13.77
3701.400 13.85
3705.600 13.93
3709.800 14.00
3714.000 14.08
3718.200 14.15
3722.400 14.22
3726.600 14.29
3730.800 14.36
3735.000 14.43
3739.200 14.49
3743.400 14.55
3747.600 14.62
3751.800 14.68
3756.000 14.74
3760.200 14.80
3764.400 14.85
3768.600 14.91
3772.800 14.97
3777.000 15.02
3781.200 15.07
3785.400 15.13
3789.600 15.18
3793.800 15.23
3798.000 15.28
3802.200 15.32
3806.400 15.37
3810.600 15.42
3814.800 15.46
3819.000 15.51
3823.200 15.55
3827.400 15.59
3831.600 15.63
3835.800 15.68
3840.000 15.72
3844.200 15.75
3848.400 15.79
3852.600 15.83
3856.800 15.87
3861.000 15.90
3865.200 15.94
3869.400 15.98
3873.600 16.01
3877.800 16.04
3882.000 16.08
3886.200 16.11
3890.400 16.14
3894.600 16.17
3898.800 16.20
3903.000 16.23
3907.200 16.26
3911.400 16.29
3915.600 16.32
3919.800 16.35
3924.000 16.37
3928.200 16.40
3932.400 16.43
3936.600 16.45
3940.800 16.48
3945.000 16.50
3949.200 16.53
3953.400 16.55
3957.600 16.58
3961.800 16.60
3966.000 16.62
3970.200 16.64
3974.400 16.67
3978.600 16.69
3982.800 16.71
3987.000 16.73
3991.200 16.75
3995.400 16.77
3999.600 16.79
4003.800 16.81
4008.000 16.83
4012.200 16.85
4016.400 16.87
4020.600 16.89
4024.800 16.91
4029.000 16.92
4033.200 16.94
4037.400 16.96
4041.600 16.98
4045.800 16.99
4050.000 17.01
4054.200 17.03
4058.400 17.04
4062.600 17.06
4066.800 17.07
4071.000 17.09
4075.200 17.10
4079.400 17.12
4083.600 17.14
4087.800 17.15
4092.000 17.16
4096.200 17.18
4100.400 17.19
4104.600 17.21
4108.800 17.22
4113.000 17.24
4117.200 17.25
4121.400 17.26
4125.600 17.28
4129.800 17.29
4134.000 17.30
4138.200 17.31
4142.400 17.33
4146.600 17.34
4150.800 17.35
4155.000 17.36
4159.200 17.38
4163.400 17.39
4167.600 17.40
4171.800 17.41
4176.000 17.43
4180.200 17.44
4184.400 17.45
4188.600 17.46
4192.800 17.47
4197.000 17.48
4201.200 17.49
4205.400 17.50
4209.600 17.52
4213.800 17.53
4218.000 17.54
4222.200 17.55
4226.400 17.56
4230.600 17.57
4234.800 17.58
4239.000 17.59
4243.200 17.60
4247.400 17.61
4251.600 17.62
4255.800 17.63
4260.000 17.64
4264.200 17.65
4268.400 17.66
4272.600 17.67
4276.800 17.68
4281.000 17.69
4285.200 17.70
4289.400 17.71
4293.600 17.72
4297.800 17.73
4302.000 17.74
4306.200 17.75
4310.400 17.76
4314.600 17.77
4318.800 17.78
4323.000 17.79
4327.200 17.80
4331.400 17.80
4335.600 17.81
4339.800 17.82
4344.000 17.83
4348.200 17.84
4352.400 17.85
4356.600 17.86
4360.800 17.87
4365.000 17.88
4369.200 17.89
4373.400 17.89
4377.600 17.90
4381.800 17.91
4386.000 17.92
4390.200 17.93
4394.400 17.94
4398.600 17.95
4402.800 17.95
4407.000 17.96
4411.200 17.97
4415.400 17.98
4419.600 17.99
4423.800 18.00
4428.000 18.00
4432.200 18.01
4436.400 18.02
4440.600 18.03
4444.800 18.04
4449.000 18.05
4453.200 18.05
4457.400 18.06
4461.600 18.07
4465.800 18.08
4470.000 18.09
4474.200 18.09
4478.400 18.10
4482.600 18.11
4486.800 18.12
4491.000 18.12
4495.200 18.13
4499.400 18.14
4503.600 18.15
4507.800 18.15
4512.000 18.16
4516.200 18.17
4520.400 18.18
4524.600 18.18
4528.800 18.19
4533.000 18.20
4537.200 18.21
4541.400 18.21
4545.600 18.22
4549.800 18.23
4554.000 18.24
4558.200 18.24
4562.400 18.25
4566.600 18.26
4570.800 18.27
4575.000 18.27
4579.200 18.28
4583.400 18.29
4587.600 18.29
4591.800 18.30
4596.000 18.31
4600.200 18.31
4604.400 18.32
4608.600 18.33
4612.800 18.33
4617.000 18.34
4621.200 18.35
4625.400 18.35
4629.600 18.36
4633.800 18.37
4638.000 18.37
4642.200 18.38
4646.400 18.39
4650.600 18.39
4654.800 18.40
4659.000 18.41
4663.200 18.41
4667.400 18.42
4671.600 18.43
4675.800 18.43
4680.000 18.44
4684.200 18.44
4688.400 18.45
4692.600 18.46
4696.800 18.46
4701.000 18.47
4705.200 18.48
4709.400 18.48
4713.600 18.49
4717.800 18.49
4722.000 18.50
4726.200 18.51
4730.400 18.51
4734.600 18.52
4738.800 18.52
4743.000 18.53
4747.200 18.53
4751.400 18.54
4755.600 18.55
4759.800 18.55
4764.000 18.56
4768.200 18.56
4772.400 18.57
4776.600 18.57
4780.800 18.58
4785.000 18.58
4789.200 18.59
4793.400 18.59
4797.600 18.60
4801.800 18.60
4806.000 18.61
4810.200 18.62
4814.400 18.62
4818.600 18.63
4822.800 18.63
4827.000 18.64
4831.200 18.64
4835.400 18.65
4839.600 18.65
4843.800 18.66
4848.000 18.66
4852.200 18.66
4856.400 18.67
4860.600 18.67
4864.800 18.68
4869.000 18.68
4873.200 18.69
4877.400 18.69
4881.600 18.70
4885.800 18.70
4890.000 18.71
4894.200 18.71
4898.400 18.72
4902.600 18.72
4906.800 18.72
4911.000 18.73
4915.200 18.73
4919.400 18.74
4923.600 18.74
4927.800 18.75
4932.000 18.75
4936.200 18.75
4940.400 18.76
4944.600 18.76
4948.800 18.77
4953.000 18.77
4957.200 18.77
4961.400 18.78
4965.600 18.78
4969.800 18.79
4974.000 18.79
4978.200 18.79
4982.400 18.80
4986.600 18.80
4990.800 18.81
4995.000 18.81
4999.200 18.81
5003.400 18.82
5007.600 18.82
5011.800 18.82
