# lambda zeropoint
3600.6 11.538886886992525
3604.8 11.655405864621564
3609.0 11.7698458971377
3613.2 11.882240817875747
3617.4 11.992624003236305
3621.6 12.101028377671849
3625.8 12.207486418629863
3630.0 12.312030161452437
3634.2 12.41469120423351
3638.4 12.515500712633475
3642.6 12.614489424651541
3646.8 12.711687655356464
3651.0 12.807125301575336
3655.2 12.900831846541376
3659.4 12.992836364500533
3663.6 13.083167525277343
3667.8 13.171853598800421
3672.0 13.258922459587584
3676.2 13.34440159119134
3680.4 13.428318090604463
3684.6 13.510698672626372
3688.8 13.591569674190474
3693.0 13.670957058652503
3697.2 13.748886420040545
3701.4 13.825382987266641
3705.6 13.900471628300425
3709.8 13.974176854305075
3714.0 14.04652282373573
3718.2 14.11753334640079
3722.4 14.18723188748616
3726.6 14.255641571542878
3730.8 14.322785186438342
3735.0 14.38868518727131
3739.2 14.45336370025104
3743.4 14.516842526540792
3747.6 14.579143146065846
3751.8 14.640286721286499
3756.0 14.70029410093603
3760.2 14.75918582372419
3764.4 14.81698212200611
3768.6 14.873702925417206
3772.8 14.929367864474132
3777.0 14.983996274142045
3781.2 15.03760719736852
3785.4 15.09021938858422
3789.6 15.141851317170733
3793.8 15.192521170895596
3798.0 15.242246859314964
3802.2 15.29104601714404
3806.4 15.338936007595493
3810.6 15.385933925686128
3814.8 15.432056601512107
3819.0 15.477320603492803
3823.2 15.521742241583674
3827.4 15.565337570458267
3831.6 15.608122392659624
3835.8 15.650112261721382
3840.0 15.691322485258642
3844.2 15.731768128028955
3848.4 15.771464014963696
3852.6 15.810424734169768
3856.8 15.848664639902294
3861.0 15.88619785550803
3865.2 15.923038276340176
3869.4 15.959199572644417
3873.6 15.994695192416703
3877.8 16.029538364232774
3882.0 16.06374210004977
3886.2 16.097319197980077
3890.4 16.130282245037648
3894.6 16.162643619856986
3898.8 16.194415495385023
3903.0 16.225609841546053
3907.2 16.256238427880042
3911.4 16.28631282615433
3915.6 16.31584441294909
3919.8 16.344844372216727
3924.0 16.37332369781531
3928.2 16.401293196016354
3932.4 16.42876348798712
3936.6 16.45574501224757
3940.8 16.48224802710227
3945.0 16.50828261304736
3949.2 16.5338586751528
3953.4 16.55898594542019
3957.6 16.583673985116086
3961.8 16.6079321870814
3966.0 16.63176977801666
3970.2 16.65519582074367
3974.4 16.678219216443487
3978.6 16.70084870687106
3982.8 16.723092876546716
3987.0 16.74496015492455
3991.2 16.76645881853806
3995.4 16.787596993123096
3999.6 16.80838265571834
4003.8 16.82882363674355
4008.0 16.848927622055626
4012.2 16.868702154982806
4016.4 16.8881546383371
4020.6 16.907292336405092
4024.8 16.926122376917455
4029.0 16.944651752997117
4033.2 16.962887325086452
4037.4 16.980835822853575
4041.6 16.99850384707787
4045.8 17.015897871515083
4050.0 17.033024244741924
4054.2 17.049889191980533
4058.4 17.066498816902904
4062.6 17.082859103415394
4066.8 17.09897591742358
4071.0 17.114855008577507
4075.2 17.13050201199759
4079.4 17.145922449981306
4083.6 17.161121733690774
4087.8 17.17610516482148
4092.0 17.19087793725224
4096.2 17.20544513867657
4100.4 17.219811752215655
4104.6 17.233982658012977
4108.8 17.24796263481092
4113.0 17.26175636150933
4117.2 17.275368418706293
4121.4 17.28880329022125
4125.6 17.302065364600608
4129.8 17.31515893660597
4134.0 17.32808820868518
4138.2 17.34085729242628
4142.4 17.353470209994562
4146.6 17.365930895552864
4150.8 17.37824319666521
4155.0 17.390410875683983
4159.2 17.402437611120778
4163.4 17.414326999001034
4167.6 17.426082554202644
4171.8 17.4377077117786
4176.0 17.449205828263917
4180.2 17.460580182966908
4184.4 17.471833979244956
4188.6 17.48297034576493
4192.8 17.493992337748367
4197.0 17.5049029382016
4201.2 17.5157050591309
4205.4 17.526401542742835
4209.6 17.53699516262986
4213.8 17.547488624941487
4218.0 17.557884569540896
4222.2 17.56818557114736
4226.4 17.578394140464418
4230.6 17.588512725294105
4234.8 17.598543711637156
4239.0 17.60848942477956
4243.2 17.61835213036536
4247.4 17.628134035455965
4251.6 17.637837289576066
4255.8 17.64746398574622
4260.0 17.657016161502344
4264.2 17.666495799902123
4268.4 17.675904830518487
4272.6 17.685245130420377
4276.8 17.694518525140708
4281.0 17.703726789631897
4285.2 17.71287164920885
4289.4 17.721954780479713
4293.6 17.73097781226432
4297.8 17.739942326500646
4302.0 17.748849859139217
4306.2 17.757701901025676
4310.4 17.76649989877161
4314.6 17.77524525561372
4318.8 17.783939332261447
4323.0 17.792583447733268
4327.2 17.80117888018157
4331.4 17.809726867706416
4335.6 17.81822860915816
4339.8 17.82668526492914
4344.0 17.83509795773446
4348.2 17.843467773382
4352.4 17.8517957615318
4356.6 17.86008293644485
4360.8 17.868330277721448
4365.0 17.8765387310292
4369.2 17.884709208820794
4373.4 17.89284259104158
4377.6 17.900939725827165
4381.8 17.90900143019102
4386.0 17.917028490702272
4390.2 17.925021664153743
4394.4 17.932981678220322
4398.6 17.940909232107824
4402.8 17.94880499719236
4407.0 17.956669617650398
4411.2 17.964503711079505
4415.4 17.972307869109976
4419.6 17.980082658007372
4423.8 17.987828619266065
4428.0 17.995546270193923
4432.2 18.003236104488177
4436.4 18.010898592802636
4440.6 18.01853418330622
4444.8 18.026143302233017
4449.0 18.03372635442391
4453.2 18.04128372385987
4457.4 18.048815774186934
4461.6 18.0563228492331
4465.8 18.063805273517083
4470.0 18.0712633527491
4474.2 18.078697374323752
4478.4 18.086107607805072
4482.6 18.09349430540383
4486.8 18.1008577024472
4491.0 18.108198017840834
4495.2 18.115515454523468
4499.4 18.12281019991411
4503.6 18.130082426351887
4507.8 18.13733229152867
4512.0 18.144559938914522
4516.2 18.151765498176054
4520.4 18.158949085587775
4524.6 18.166110804436528
4528.8 18.17325074541903
4533.0 18.180368987032697
4537.2 18.187465595959715
4541.4 18.194540627444532
4545.6 18.201594125664748
4549.8 18.20862612409558
4554.0 18.21563664586792
4558.2 18.22262570412002
4562.4 18.229593302342987
4566.6 18.236539434720058
4570.8 18.243464086459763
4575.0 18.250367234123075
4579.2 18.25724884594456
4583.4 18.264108882147646
4587.6 18.270947295254082
4591.8 18.27776403038758
4596.0 18.284559025571824
4600.2 18.291332212022823
4604.4 18.29808351443571
4608.6 18.30481285126607
4612.8 18.311520135005814
4617.0 18.318205272453717
4621.2 18.32486816498064
4625.4 18.331508708789556
4629.6 18.338126795170393
4633.8 18.344722310749752
4638.0 18.351295137735622
4642.2 18.357845154157122
4646.4 18.364372234099278
4650.6 18.370876247933
4654.8 18.377357062540263
4659.0 18.383814541534505
4663.2 18.39024854547642
4667.4 18.396658932085092
4671.6 18.4030455564446
4675.8 18.409408271206097
4680.0 18.41574692678552
4684.2 18.422061371556822
4688.4 18.428351452040964
4692.6 18.43461701309059
4696.8 18.44085789807053
4701.0 18.447073949034113
4705.2 18.45326500689539
4709.4 18.45943091159733
4713.6 18.46557150227601
4717.8 18.471686617420836
4722.0 18.477776095030954
4726.2 18.48383977276774
4730.4 18.489877488103595
4734.6 18.49588907846693
4738.8 18.501874381383537
4743.0 18.507833234614292
4747.2 18.513765476289322
4751.4 18.519670945038598
4755.6 18.525549480119086
4759.8 18.53140092153845
4764.0 18.53722511017539
4768.2 18.543021887896668
4772.4 18.548791097670758
4776.6 18.5545325836784
4780.8 18.560246191419843
4785.0 18.56593176781901
4789.2 18.57158916132454
4793.4 18.5772182220078
4797.6 18.582818801657872
4801.8 18.58839075387355
4806.0 18.593933934152513
4810.2 18.599448199977505
4814.4 18.60493341089977
4818.6 18.610389428619673
4822.8 18.61581611706457
4827.0 18.621213342463964
4831.2 18.62658097342206
4835.4 18.63191888098761
4839.6 18.637226938721255
4843.8 18.642505022760297
4848.0 18.647753011880976
4852.2 18.652970787558292
4856.4 18.65815823402342
4860.6 18.66331523831872
4864.8 18.668441690350427
4869.0 18.673537482939054
4873.2 18.678602511867485
4877.4 18.683636675926877
4881.6 18.688639876960384
4885.8 18.693612019904688
4890.0 18.698553012829443
4894.2 18.70346276697463
4898.4 18.70834119678589
4902.6 18.713188219947803
4906.8 18.718003757415236
4911.0 18.722787733442733
4915.2 18.72754007561201
4919.4 18.73226071485756
4923.6 18.73694958549046
4927.8 18.741606625220324
4932.0 18.746231775175524
4936.2 18.75082497992166
4940.4 18.755386187478322
4944.6 18.759915349334193
4948.8 18.764412420460477
4953.0 18.768877359322747
4957.2 18.773310127891214
4961.4 18.777710691649414
4965.6 18.782079019601415
4969.8 18.786415084277504
4974.0 18.790718861738444
4978.2 18.794990331578255
4982.4 18.799229476925646
4986.6 18.803436284444054
4990.8 18.807610744330308
4995.0 18.811752850312036
4999.2 18.815862599643722
5003.4 18.81993999310155
5007.6 18.82398503497698
5011.8 18.827997733069147
5016.0 18.831978098676043
5020.2 18.835926146584583
5024.4 18.839841895059504
5028.6 18.843725365831197
5032.8 18.847576584082436
5037.0 18.851395578434055
5041.2 18.855182380929616
5045.4 18.858937027019056
5049.6 18.862659555541356
5053.8 18.86635000870626
5058.0 18.870008432075057
5062.2 18.873634874540457
5066.4 18.877229388305583
5070.6 18.880792028862096
5074.8 18.884322854967472
5079.0 18.887821928621477
5083.2 18.891289315041856
5087.4 18.894725082639184
5091.6 18.898129302991048
5095.8 18.90150205081544
5100.0 18.90484340394346
5104.2 18.90815344329132
5108.4 18.911432252831684
5112.6 18.91467991956436
5116.8 18.91789653348634
5121.0 18.921082187561275
5125.2 18.924236977688295
5129.4 18.927361002670317
5133.6 18.93045436418176
5137.8 18.933517166735736
5142.0 18.93654951765074
5146.2 18.939551527016814
5150.4 18.94252330766126
5154.6 18.945464975113847
5158.8 18.94837664757163
5163.0 18.9512584458633
5167.2 18.95411049341311
5171.4 18.956932916204476
5175.6 18.959725842743104
5179.8 18.962489404019834
5184.0 18.9652237334731
5188.2 18.96792896695106
5192.4 18.970605242673425
5196.6 18.973252701192987
5200.8 18.97587148535685
5205.0 18.9784617402674
5209.2 18.981023613243025
5213.4 18.98355725377859
5217.6 18.986062813505676
5221.8 18.98854044615264
5226.0 18.99099030750443
5230.2 18.993412555362255
5234.4 18.995807349503067
5238.6 18.998174851638886
5242.8 19.000515225375995
5247.0 19.00282863617397
5251.2 19.005115251304627
5255.4 19.007375239810845
5259.6 19.009608772465306
5263.8 19.01181602172912
5268.0 19.013997161710442
5272.2 19.016152368122945
5276.4 19.018281818244347
5280.6 19.0203856908748
5284.8 19.022464166295325
5289.0 19.024517426226225
5293.2 19.02654565378545
5297.4 19.028549033447018
5301.6 19.030527750999433
5305.8 19.032481993504142
5310.0 19.03441194925401
5314.2 19.036317807731862
5318.4 19.03819975956907
5322.6 19.040057996504228
5326.8 19.041892711341866
5331.0 19.04370409791129
5335.2 19.045492351025505
5339.4 19.047257666440203
5343.6 19.049000240812934
5347.8 19.05072027166234
5352.0 19.052417957327535
5356.2 19.05409349692764
5360.4 19.05574709032143
5364.6 19.057378938067167
5368.8 19.058989241382562
5373.0 19.060578202104963
5377.2 19.062146022651607
5381.4 19.063692905980208
5385.6 19.06521905554959
5389.8 19.066724675280625
5394.0 19.068209969517294
5398.2 19.069675142988025
5402.4 19.071120400767207
5406.6 19.072545948236936
5410.8 19.073951991049007
5415.0 19.07533873508711
5419.2 19.076706386429308
5423.4 19.07805515131073
5427.6 19.07938523608652
5431.8 19.080696847195078
5436.0 19.081990191121523
5440.2 19.083265474361454
5444.4 19.084522903384958
5448.6 19.085762684600944
5452.8 19.086985024321706
5457.0 19.08819012872782
5461.2 19.089378203833313
5465.4 19.090549455451125
5469.6 19.091704089158902
5473.8 19.09284231026507
5478.0 19.093964323775225
5482.2 19.09507033435884
5486.4 19.096160546316312
5490.6 19.097235163546294
5494.8 19.098294389513377
5499.0 19.09933842721611
5503.2 19.100367479155334
5507.4 19.10138174730286
5511.6 19.102381433070484
5515.8 19.103366737279377
5520.0 19.104337860129768
5524.2 19.105295001171008
5528.4 19.106238359271984
5532.6 19.1071681325919
5536.8 19.108084518551383
5541.0 19.108987713803963
5545.2 19.109877914207935
5549.4 19.110755314798567
5553.6 19.111620109760672
5557.8 19.112472492401547
5562.0 19.113312655124304
5566.2 19.114140789401553
5570.4 19.114957085749474
5574.6 19.11576173370224
5578.8 19.116554921786854
5583.0 19.117336837498325
5587.2 19.11810766727528
5591.4 19.11886759647588
5595.6 19.11961680935421
5599.8 19.120355489036953
5604.0 19.121083817500566
5608.2 19.121801975548724
5612.4 19.122510142790233
5616.6 19.123208497617313
5620.8 19.123897217184243
5625.0 19.124576477386427
5629.2 19.125246452839825
5633.4 19.12590731686081
5637.6 19.126559241446373
5641.8 19.12720239725474
5646.0 19.12783695358641
5650.2 19.128463078365503
5654.4 19.129080938121607
5658.6 19.129690697971927
5662.8 19.130292521603874
5667.0 19.130886571258028
5671.2 19.131473007711516
5675.4 19.13205199026173
5679.6 19.132623676710494
5683.8 19.133188223348604
5688.0 19.13374578494072
5692.2 19.134296514710712
5696.4 19.13484056432734
5700.6 19.13537808389037
5704.8 19.135909221917014
5709.0 19.13643412532883
5713.2 19.136952939438974
5717.4 19.13746580793981
5721.6 19.13797287289097
5725.8 19.13847427470771
5730.0 19.13897015214976
5734.2 19.139460642310443
5738.4 19.139945880606245
5742.6 19.14042600076674
5746.8 19.140901134824915
5751.0 19.14137141310781
5755.2 19.141836964227622
5759.4 19.142297915073097
5763.6 19.142754390801368
5767.8 19.143206514830094
5772.0 19.143654408830038
5776.2 19.14409819271794
5780.4 19.144537984649823
5784.6 19.144973901014612
5788.8 19.145406056428147
5793.0 19.14583456372753
5797.2 19.146259533965864
5801.4 19.146681076407322
5805.6 19.14709929852257
5809.8 19.147514305984547
