# lambda zeropoint
3760.2 16.013319277258233
3764.4 16.06235460024824
3768.6 16.11047630621829
3772.8 16.157702220571256
3777.0 16.204049828616917
3781.2 16.249536281415644
3785.4 16.29417840154075
3789.6 16.337992688760387
3793.8 16.380995325639834
3798.0 16.42320218306491
3802.2 16.464628825687363
3806.4 16.505290517293115
3810.6 16.545202226093906
3814.8 16.584378629943522
3819.0 16.62283412147901
3823.2 16.660582813187887
3827.4 16.697638542402082
3831.6 16.734014876219305
3835.8 16.769725116352717
3840.0 16.804782303909548
3844.2 16.83919922409956
3848.4 16.87298841087395
3852.6 16.906162151495536
3856.8 16.93873249104096
3861.0 16.970711236835598
3865.2 17.002109962821976
3869.4 17.032940013862337
3873.6 17.063212509976125
3877.8 17.092938350513137
3882.0 17.122128218262926
3886.2 17.150792583501367
3890.4 17.17894170797485
3894.6 17.206585648822973
3898.8 17.233734262440354
3903.0 17.26039720827827
3907.2 17.28658395258674
3911.4 17.312303772097845
3915.6 17.33756575765085
3919.8 17.362378817759843
3924.0 17.386751682124544
3928.2 17.41069290508496
3932.4 17.434210869020493
3936.6 17.457313787694154
3940.8 17.48000970954263
3945.0 17.502306520912658
3949.2 17.524211949244496
3953.4 17.545733566203044
3957.6 17.56687879075728
3961.8 17.587654892208544
3966.0 17.608068993168416
3970.2 17.62812807248671
3974.4 17.647838968130152
3978.6 17.667208380012486
3982.8 17.686242872776443
3987.0 17.70494887852828
3991.2 17.72333269952541
3995.4 17.741400510817726
3999.6 17.759158362843223
4003.8 17.776612183978436
4008.0 17.79376778304432
4012.2 17.810630851768078
4016.4 17.82720696720157
4020.6 17.84350159409678
4024.8 17.859520087238934
4029.0 17.875267693737847
4033.2 17.890749555277946
4037.4 17.90597071032763
4041.6 17.920936096308353
4045.8 17.935650551724137
4050.0 17.95011881825188
4054.2 17.964345542793062
4058.4 17.978335279487347
4062.6 17.992092491688595
4066.8 18.005621553903794
4071.0 18.01892675369541
4075.2 18.032012293547645
4079.4 18.044882292697125
4083.6 18.057540788928467
4087.8 18.069991740335297
4092.0 18.082239027047052
4096.2 18.094286452922216
4100.4 18.106137747208333
4104.6 18.117796566169353
4108.8 18.12926649468069
4113.0 18.140551047792567
4117.2 18.151653672262007
4121.4 18.162577748053952
4125.6 18.173326589812007
4129.8 18.18390344829917
4134.0 18.194311511809076
4138.2 18.20455390754813
4142.4 18.214633702989012
4146.6 18.224553907195908
4150.8 18.234317472121997
4155.0 18.24392729387954
4159.2 18.25338621398301
4163.4 18.26269702056568
4167.6 18.27186244957008
4171.8 18.280885185912734
4176.0 18.28976786462357
4180.2 18.298513071960407
4184.4 18.3071233464989
4188.6 18.31560118019838
4192.8 18.323949019443916
4197.0 18.33216926606501
4201.2 18.340264278331343
4205.4 18.348236371925882
4209.6 18.356087820895738
4213.8 18.363820858581203
4218.0 18.37143767852324
4222.2 18.378940435349868
4226.4 18.386331245641763
4230.6 18.393612188777386
4234.8 18.40078530775811
4239.0 18.407852610013553
4243.2 18.41481606818758
4247.4 18.421677620905218
4251.6 18.428439173520893
4255.8 18.435102598848285
4260.0 18.441669737872118
4264.2 18.44814240044228
4268.4 18.454522365950496
4272.6 18.460811383989963
4276.8 18.467011174998202
4281.0 18.473123430883486
4285.2 18.4791498156351
4289.4 18.48509196591779
4293.6 18.49095149165069
4297.8 18.496729976570993
4302.0 18.502428978782685
4306.2 18.508050031290686
4310.4 18.51359464252056
4314.6 18.519064296824236
4318.8 18.524460454971862
4323.0 18.52978455463024
4327.2 18.535038010827947
4331.4 18.540222216407553
4335.6 18.54533854246514
4339.8 18.550388338777374
4344.0 18.55537293421645
4348.2 18.560293637153123
4352.4 18.565151735848097
4356.6 18.569948498832026
4360.8 18.57468517527438
4365.0 18.579362995341413
4369.2 18.583983170543505
4373.4 18.58854689407209
4377.6 18.59305534112638
4381.8 18.597509669230238
4386.0 18.601911018539283
4390.2 18.60626051213855
4394.4 18.610559256330934
4398.6 18.614808340916547
4402.8 18.619008839463362
4407.0 18.623161809569215
4411.2 18.627268293115446
4415.4 18.631329316512424
4419.6 18.63534589093708
4423.8 18.639319012562737
4428.0 18.64324966278136
4432.2 18.64713880841854
4436.4 18.650987401941236
4440.6 18.6547963816587
4444.8 18.658566671916514
4449.0 18.662299183284187
4453.2 18.665994812736283
4457.4 18.669654443827415
4461.6 18.673278946861185
4465.8 18.67686917905333
4470.0 18.68042598468917
4474.2 18.6839501952756
4478.4 18.687442629687755
4482.6 18.69090409431054
4486.8 18.69433538317513
4491.0 18.697737278090727
4495.2 18.701110548771606
4499.4 18.70445595295965
4503.6 18.707774236542562
4507.8 18.711066133667888
4512.0 18.714332366852965
4516.2 18.717573647090983
4520.4 18.720790673953296
4524.6 18.723984135688116
4528.8 18.727154709315737
4533.0 18.73030306072042
4537.2 18.73342984473907
4541.4 18.73653570524688
4545.6 18.739621275239966
4549.8 18.742687176915283
4554.0 18.74573402174778
4558.2 18.748762410565032
4562.4 18.75177293361942
4566.6 18.75476617065798
4570.8 18.757742690990067
4575.0 18.760703053552906
4579.2 18.76364780697516
4583.4 18.766577489638653
4587.6 18.76949262973829
4591.8 18.77239374534035
4596.0 18.77528134443919
4600.2 18.77815592501253
4604.4 18.781017975075347
4608.6 18.78386797273252
4612.8 18.786706386230286
4617.0 18.789533674006687
4621.2 18.792350284740934
4625.4 18.795156657401936
4629.6 18.79795322129602
4633.8 18.800740396113863
4638.0 18.80351859197686
4642.2 18.806288209482844
4646.4 18.809049639751372
4650.6 18.811803264468576
4654.8 18.814549455931672
4659.0 18.817288577093187
4663.2 18.820020981605026
4667.4 18.822747013862372
4671.6 18.82546700904753
4675.8 18.82818129317377
4680.0 18.830890183129256
4684.2 18.833593986721052
4688.4 18.83629300271933
4692.6 18.83898752090184
4696.8 18.84167782209862
4701.0 18.8443641782371
4705.2 18.847046852387578
4709.4 18.849726098809146
4713.6 18.85240216299611
4717.8 18.855075281724957
4722.0 18.8577456831019
4726.2 18.86041358661106
4730.4 18.863079203163302
4734.6 18.865742735145798
4738.8 18.868404376472323
4743.0 18.87106431263435
4747.2 18.873722720752934
4751.4 18.87637976963148
4755.6 18.879035619809382
4759.8 18.88169042361655
4764.0 18.88434432522893
4768.2 18.88699746072492
4772.4 18.889649958142865
4776.6 18.892301937539482
4780.8 18.894953511049405
4785.0 18.897604782945717
4789.2 18.90025584970162
4793.4 18.902906800053163
4797.6 18.90555771506313
4801.8 18.90820866818599
4806.0 18.910859725334056
4810.2 18.913510944944786
4814.4 18.916162378049222
4818.6 18.918814068341625
4822.8 18.92146605225031
4827.0 18.924118359009668
4831.2 18.92677101073337
4835.4 18.92942402248879
4839.6 18.932077402372652
4843.8 18.934731151587858
4848.0 18.93738526452153
4852.2 18.94003972882431
4856.4 18.94269452549079
4860.6 18.94534962894123
4864.8 18.948005007104438
4869.0 18.95066062150184
4873.2 18.953316427332794
4877.4 18.955972373561018
4881.6 18.958628403002272
4885.8 18.961284452413164
4890.0 18.96394045258111
4894.2 18.9665963284155
4898.4 18.969251999039916
4902.6 18.971907377885554
4906.8 18.974562372785705
4911.0 18.977216886071336
4915.2 18.979870814667787
4919.4 18.98252405019247
4923.6 18.985176479053667
4927.8 18.98782798255032
4932.0 18.99047843697282
4936.2 18.993127713704823
4940.4 18.995775679325988
4944.6 18.99842219571565
4948.8 19.001067120157487
4953.0 19.003710305444947
4957.2 19.006351599987685
4961.4 19.008990847918763
4965.6 19.011627889202664
4969.8 19.01426255974415
4974.0 19.016894691497843
4978.2 19.01952411257854
4982.4 19.022150647372264
4986.6 19.024774116647958
4990.8 19.027394337669847
4995.0 19.030011124310413
4999.2 19.032624287163937
5003.4 19.03523363366062
5007.6 19.037838968181205
5011.8 19.040440092172073
5016.0 19.043036804260822
5020.2 19.045628900372247
5024.4 19.048216173844686
5028.6 19.05079841554676
5032.8 19.053375413994342
5037.0 19.055946955467906
5041.2 19.058512824130023
5045.4 19.061072802143105
5049.6 19.063626669787304
5053.8 19.066174205578513
5058.0 19.068715186386505
5062.2 19.071249387553035
5066.4 19.07377658301005
5070.6 19.07629654539778
5074.8 19.07880904618281
5079.0 19.08131385577602
5083.2 19.083810743650368
5087.4 19.086299478458503
5091.6 19.088779828150113
5095.8 19.091251560089002
5100.0 19.09371444116989
5104.2 19.09616823793478
5108.4 19.098612716689004
5112.6 19.101047643616756
5116.8 19.103472784896184
5121.0 19.105887906813948
5125.2 19.108292775879175
5129.4 19.11068715893684
5133.6 19.11307082328047
5137.8 19.115443536764154
5142.0 19.1178050679138
5146.2 19.12015518603763
5150.4 19.12249366133582
5154.6 19.12482026500929
5158.8 19.12713476936756
5163.0 19.129436947935666
5167.2 19.131726575560066
5171.4 19.134003428513505
5175.6 19.136267284598787
5179.8 19.138517923251435
5184.0 19.14075512564115
5188.2 19.14297867477209
5192.4 19.14518835558187
5196.6 19.147383955039253
5200.8 19.14956526224054
5205.0 19.151732068504522
5209.2 19.15388416746606
5213.4 19.15602135516815
5217.6 19.158143430152517
5221.8 19.16025019354864
5226.0 19.162341449161204
5230.2 19.16441700355588
5234.4 19.16647666614349
5238.6 19.168520249262432
5242.8 19.170547568259337
5247.0 19.17255844156798
5251.2 19.17455269078632
5255.4 19.1765301407517
5259.6 19.178490619614134
5263.8 19.18043395890763
5268.0 19.18235999361958
5272.2 19.184268562258087
5276.4 19.186159506917242
5280.6 19.188032673340366
5284.8 19.189887910981028
5289.0 19.191725073062017
5293.2 19.19354401663202
5297.4 19.195344602620143
5301.6 19.1971266958881
5305.8 19.198890165280208
5310.0 19.20063488367094
5314.2 19.202360728010213
5318.4 19.20406757936622
5322.6 19.205755322965903
5326.8 19.207423848232914
5331.0 19.209073048823143
5335.2 19.210702822657748
5339.4 19.212313071953577
5343.6 19.21390370325114
5347.8 19.215474627439885
5352.0 19.217025759780945
5356.2 19.2185570199272
5360.4 19.22006833194069
5364.6 19.221559624307368
5368.8 19.223030829949096
5373.0 19.224481886232965
5377.2 19.225912734977836
5381.4 19.227323322458133
5385.6 19.228713599404838
5389.8 19.23008352100366
5394.0 19.231433046890444
5398.2 19.232762141143684
5402.4 19.23407077227421
5406.6 19.235358913212007
5410.8 19.236626541290132
5415.0 19.237873638225796
5419.2 19.23910019009848
5423.4 19.240306187325167
5427.6 19.241491624632655
5431.8 19.24265650102694
5436.0 19.24380081975964
5440.2 19.244924588291532
5444.4 19.24602781825305
5448.6 19.247110525401933
5452.8 19.24817272957785
5457.0 19.249214454654105
5461.2 19.25023572848637
5465.4 19.251236582858485
5469.6 19.252217053425266
5473.8 19.25317717965243
5478.0 19.254117004753507
5482.2 19.25503657562388
5486.4 19.255935942771846
5490.6 19.256815160246784
5494.8 19.257674285564402
5499.0 19.258513379629093
5503.2 19.259332506653386
5507.4 19.260131734074555
5511.6 19.260911132468348
5515.8 19.261670775459866
5520.0 19.262410739631658
5524.2 19.263131104428975
5528.4 19.263831952062255
5532.6 19.264513367406856
5536.8 19.265175437900055
5541.0 19.26581825343531
5545.2 19.266441906253878
5549.4 19.267046490833753
5553.6 19.26763210377598
5557.8 19.268198843688396
5562.0 19.26874681106677
5566.2 19.269276108173482
5570.4 19.269786838913635
5574.6 19.27027910870879
5578.8 19.270753024368247
5583.0 19.27120869395794
5587.2 19.271646226667073
5591.4 19.272065732672377
5595.6 19.27246732300024
5599.8 19.272851109386544
5604.0 19.27321720413444
5608.2 19.273565719969984
5612.4 19.27389676989578
5616.6 19.274210467042625
5620.8 19.2745069245192
5625.0 19.274786255259976
5629.2 19.275048571871224
5633.4 19.275293986475372
5637.6 19.275522610553605
5641.8 19.275734554786915
5646.0 19.275929928895586
5650.2 19.276108841477186
5654.4 19.27627139984321
5658.6 19.27641770985432
5662.8 19.276547875754428
5667.0 19.276662000003505
5671.2 19.27676018310937
5675.4 19.276842523458456
5679.6 19.276909117145596
5683.8 19.27696005780303
5688.0 19.276995436428614
5692.2 19.27701534121339
5696.4 19.277019857368572
5700.6 19.277009066952036
5704.8 19.276983048694472
5709.0 19.276941877825198
5713.2 19.276885625897826
5717.4 19.276814360615834
5721.6 19.27672814565818
5725.8 19.27662704050499
