# lambda zeropoint
5809.8 17.60620714144242
5814.0 17.631577041921094
5818.2 17.65639926591814
5822.4 17.680678239168692
5826.6 17.704418940606082
5830.8 17.7276268616571
5835.0 17.750307967243483
5839.2 17.77246865843762
5843.4 17.794115736721533
5847.6 17.81525636979973
5851.8 17.835898058917373
5856.0 17.856048607636634
5860.2 17.87571609202498
5864.4 17.894908832210568
5868.6 17.913635365260728
5872.8 17.931904419340803
5877.0 17.949724889111515
5881.2 17.967105812324203
5885.4 17.98405634757416
5889.6 18.000585753173404
5893.8 18.016703367105087
5898.0 18.03241858802283
5902.2 18.047740857259072
5906.4 18.062679641807556
5910.6 18.07724441824588
5914.8 18.091444657564995
5919.0 18.105289810873405
5923.2 18.118789295944563
5927.4 18.131952484576903
5931.6 18.144788690736753
5935.8 18.15730715945507
5940.0 18.16951705644983
5944.2 18.181427458446656
5948.4 18.193047344170868
5952.6 18.204385585985182
5956.8 18.215450942147566
5961.0 18.22625204966499
5965.2 18.23679741771896
5969.4 18.2470954216398
5973.6 18.257154297407098
5977.8 18.266982136654473
5982.0 18.276586882157396
5986.2 18.285976323783373
5990.4 18.295158094884602
5994.6 18.3041396691135
5998.8 18.312928357642335
6003.0 18.321531306768684
6007.2 18.329955495888882
6011.4 18.338207735822316
6015.6 18.346294667469913
6019.8 18.354222760790535
6024.0 18.36199831407983
6028.2 18.369627453536108
6032.4 18.37711613309883
6036.6 18.384470134545253
6040.8 18.391695067831638
6045.0 18.398796371665657
6049.2 18.405779314297085
6053.4 18.41264899451442
6057.6 18.41941034283532
6061.8 18.426068122879304
6066.0 18.432626932911436
6070.2 18.439091207546223
6074.4 18.445465219601196
6078.6 18.45175308209017
6082.8 18.457958750346354
6087.0 18.464086024266056
6091.2 18.47013855066382
6095.4 18.47611982573043
6099.6 18.482033197585253
6103.8 18.487881868915014
6108.0 18.49366889969115
6112.2 18.49939720995832
6116.4 18.50506958268693
6120.6 18.510688666682796
6124.8 18.516256979547332
6129.0 18.521776910681957
6133.2 18.52725072433067
6137.4 18.532680562654946
6141.6 18.53806844883546
6145.8 18.543416290195246
6150.0 18.54872588133929
6154.2 18.55399890730566
6158.4 18.559236946723562
6162.6 18.564441474973876
6166.8 18.569613867348036
6171.0 18.57475540220121
6175.2 18.57986726409597
6179.4 18.584950546932873
6183.6 18.59000625706452
6187.8 18.595035316389843
6192.0 18.60003856542558
6196.2 18.605016766351998
6200.4 18.60997060603018
6204.6 18.61490069898827
6208.8 18.619807590374283
6213.0 18.62469175887318
6217.2 18.629553619586147
6221.4 18.63439352687002
6225.6 18.639211777135053
6229.8 18.64400861159932
6234.0 18.64878421899816
6238.2 18.653538738247157
6242.4 18.65827226105735
6246.6 18.662984834501472
6250.8 18.667676463529993
6255.0 18.672347113436043
6259.2 18.676996712268267
6263.4 18.681625153190822
6267.6 18.686232296789715
6271.8 18.690817973324958
6276.0 18.695381984927966
6280.2 18.699924107743673
6284.4 18.704444094017138
6288.6 18.708941674124134
6292.8 18.71341655854577
6297.0 18.71786843978671
6301.2 18.72229699423717
6305.4 18.726701883978446
6309.6 18.73108275853225
6313.8 18.735439256553736
6318.0 18.739771007468594
6322.2 18.74407763305427
6326.4 18.7483587489657
6330.6 18.752613966205814
6334.8 18.756842892541215
6339.0 18.76104513386344
6343.2 18.765220295496302
6347.4 18.76936798344972
6351.6 18.773487805620704
6355.8 18.777579372941975
6360.0 18.781642300478854
6364.2 18.785676208475127
6368.4 18.78968072334844
6372.6 18.793655478636037
6376.8 18.797600115891548
6381.0 18.80151428553348
6385.2 18.805397647646387
6389.4 18.80924987273529
6393.6 18.81307064243436
6397.8 18.816859650170574
6402.0 18.82061660178327
6406.2 18.824341216100414
6410.4 18.828033225472534
6414.6 18.831692376265153
6418.8 18.835318429310636
6423.0 18.83891116032042
6427.2 18.84247036025851
6431.4 18.84599583567713
6435.6 18.849487409015598
6439.8 18.852944918863244
6444.0 18.856368220187363
6448.2 18.859757184527204
6452.4 18.86311170015483
6456.6 18.866431672203955
6460.8 18.869717022767592
6465.0 18.872967690965513
