# lambda zeropoint
7128.6 17.155723866179134
7132.8 17.18501126058701
7137.0 17.21423746814383
7141.2 17.24338628694198
7145.4 17.27244210287436
7149.6 17.301389878076655
7153.8 17.33021513949183
7158.0 17.358903967556337
7162.2 17.387442985007485
7166.4 17.415819345811506
7170.6 17.44402072421175
7174.8 17.47203530389657
7179.0 17.499851767286266
7183.2 17.527459284938704
7187.4 17.554847505073056
7191.6 17.58200654321105
7195.8 17.608926971935333
7200.0 17.63559981076446
7204.2 17.66201651614386
7208.4 17.68816897155233
7212.6 17.71404947772362
7216.8 17.73965074298244
7221.0 17.764965873694585
7225.2 17.789988364830382
7229.4 17.81471209064126
7233.6 17.83913129544868
7237.8 17.86324058454503
7242.0 17.887034915205966
7246.2 17.910509587813657
7250.4 17.933660237090425
7254.6 17.9564828234423
7258.8 17.978973624411893
7263.0 18.001129226240195
7267.2 18.022946515536695
7271.4 18.044422671057337
7275.6 18.065555155589774
7279.8 18.08634170794547
7284.0 18.106780335058072
7288.2 18.126869304187586
7292.4 18.146607135229775
7296.6 18.16599259313035
7300.8 18.185024680403394
7305.0 18.203702629753508
7309.2 18.22202589680117
7313.4 18.239994152910803
7317.6 18.257607278121007
7321.8 18.274865354176494
7326.0 18.291768657661166
7330.2 18.30831765323184
7334.4 18.324512986952115
7338.6 18.34035547972584
7342.8 18.3558461208297
7347.0 18.370986061544407
7351.2 18.38577660888395
7355.4 18.400219219422418
7359.6 18.414315493217867
7363.8 18.428067167832737
7368.0 18.44147611245031
7372.2 18.454544322086633
7376.4 18.467273911897486
7380.6 18.47966711157981
7384.8 18.4917262598671
7389.0 18.503453799118304
7393.2 18.51485226999958
7397.4 18.52592430625858
7401.6 18.5366726295906
7405.8 18.5471000445961
7410.0 18.55720943382922
7414.2 18.567003752936557
7418.4 18.576486025885885
7422.6 18.58565934028419
7426.8 18.594526842784553
7431.0 18.603091734581344
7435.2 18.611357266993263
7439.4 18.619326737133616
7443.6 18.62700348366744
7447.8 18.63439088265484
7452.0 18.641492343480135
7456.2 18.648311304866187
7460.4 18.654851230973534
7464.6 18.66111560758367
7468.8 18.667107938366055
7473.0 18.672831741228336
7477.2 18.678290544749203
7481.4 18.68348788469342
7485.6 18.688427300608552
7489.8 18.693112332502725
7494.0 18.69754651760311
7498.2 18.701733387194476
7502.4 18.70567646353732
7506.6 18.709379256865088
7510.8 18.71284526245999
7515.0 18.716077957806842
7519.2 18.719080799824457
7523.4 18.72185722217406
7527.6 18.724410632644222
7531.8 18.726744410611797
7536.0 18.72886190457834
7540.2 18.730766429781504
7544.4 18.732461265880893
7548.6 18.733949654717858
7552.8 18.735234798148742
7557.0 18.736319855951038
7561.2 18.73720794380193
7565.4 18.73790213132877
7569.6 18.738405440230895
7573.8 18.738720842472354
7578.0 18.73885125854493
7582.2 18.738799555801048
7586.4 18.738568546856
7590.6 18.73816098805896
7594.8 18.73757957803233
7599.0 18.73682695627884
7603.2 18.735905701855945
7607.4 18.734818332116976
7611.6 18.733567301518523
7615.8 18.732155000493545
7620.0 18.730583754389748
7624.2 18.72885582247259
7628.4 18.726973396992552
7632.6 18.724938602316023
7636.8 18.722753494119402
7641.0 18.720420058645825
7645.2 18.71794021202402
7649.4 18.715315799648817
7653.6 18.71254859562274
7657.8 18.709640302258205
7662.0 18.70659254963981
7666.2 18.703406895246196
7670.4 18.700084823630934
7674.6 18.696627746162008
7678.8 18.693037000819274
7683.0 18.689313852049487
7687.2 18.68545949067827
7691.4 18.68147503387865
7695.6 18.677361525195483
7699.8 18.673119934625422
7704.0 18.66875115875179
7708.2 18.664256020933866
7712.4 18.65963527155018
7716.6 18.65488958829511
7720.8 18.650019576528457
7725.0 18.64502576967736
7729.2 18.639908629690083
7733.4 18.634668547541185
7737.6 18.62930584378749
7741.8 18.62382076917442
7746.0 18.618213505292108
7750.2 18.612484165280875
7754.4 18.606632794585405
7758.6 18.60065937175727
7762.8 18.594563809305185
7767.0 18.58834595459251
7771.2 18.582005590781478
7775.4 18.5755424378237
7779.6 18.568956153496256
7783.8 18.56224633448314
7788.0 18.555412517501242
7792.2 18.548454180470575
7796.4 18.54137074372814
7800.6 18.53416157128493
7804.8 18.52682597212555
7809.0 18.519363201549947
7813.2 18.511772462556785
7817.4 18.50405290726783
7821.6 18.496203638392974
7825.8 18.488223710735294
7830.0 18.48011213273564
7834.2 18.47186786805628
7838.4 18.46348983720306
7842.6 18.454976919185548
7846.8 18.446327953214713
7851.0 18.437541740437524
7855.2 18.428617045708073
7859.4 18.41955259939459
7863.6 18.41034709922196
7867.8 18.40099921214913
7872.0 18.391507576280908
7876.2 18.381870802813694
7880.4 18.372087478014585
7884.6 18.362156165233348
7888.8 18.35207540694676
7893.0 18.341843726834753
7897.2 18.331459631887956
7901.4 18.320921614546002
7905.6 18.31022815486615
7909.8 18.299377722721704
7914.0 18.28836878002971
7918.2 18.277199783007422
7922.4 18.26586918445699
7926.6 18.254375436077893
7930.8 18.242716990806652
7935.0 18.230892305183154
7939.2 18.21889984174326
7943.4 18.206738071437012
7947.6 18.19440547607212
7951.8 18.181900550781993
7956.0 18.16922180651796
7960.2 18.15636777256515
7964.4 18.14333699908143
7968.6 18.13012805965898
7972.8 18.116739553907948
7977.0 18.103170110061672
7981.2 18.089418387602993
7985.4 18.075483079911066
7989.6 18.061362916928246
7993.8 18.047056667846494
7998.0 18.032563143812766
8002.2 18.01788120065291
8006.4 18.003009741613543
8010.6 17.9879477201214
8014.8 17.972694142559646
8019.0 17.957248071060597
8023.2 17.941608626314373
8027.4 17.925774990393016
8031.6 17.909746409589435
8035.8 17.893522197270812
8040.0 17.877101736745775
8044.2 17.86048448414508
8048.4 17.843669971314988
8052.6 17.826657808723084
8056.8 17.809447688375858
8061.0 17.792039386747618
8065.2 17.77443276772017
8069.4 17.75662778553282
8073.6 17.73862448774207
8077.8 17.720423018190672
8082.0 17.70202361998532
