# lambda zeropoint
4300.000 16.1967
4350.000 16.3312
4400.000 16.4714
4450.000 16.6152
4500.000 16.7607
4550.000 16.9064
4600.000 17.0508
4650.000 17.1928
4700.000 17.3314
4750.000 17.4658
4800.000 17.5954
4850.000 17.7197
4900.000 17.8382
4950.000 17.9507
5000.000 18.0571
5050.000 18.1572
5100.000 18.2511
5150.000 18.3388
5200.000 18.4205
5250.000 18.4963
5300.000 18.5665
5350.000 18.6313
5400.000 18.6910
5450.000 18.7459
5500.000 18.7962
5550.000 18.8424
5600.000 18.8847
5650.000 18.9235
5700.000 18.9591
5750.000 18.9917
5800.000 19.0218
5850.000 19.0495
5900.000 19.0751
5950.000 19.0989
6000.000 19.1210
6050.000 19.1418
6100.000 19.1614
6150.000 19.1799
6200.000 19.1974
6250.000 19.2141
6300.000 19.2302
6350.000 19.2455
6400.000 19.2602
6450.000 19.2743
6500.000 19.2879
6550.000 19.3008
6600.000 19.3131
6650.000 19.3247
6700.000 19.3357
6750.000 19.3458
6800.000 19.3550
6850.000 19.3634
6900.000 19.3706
6950.000 19.3768
7000.000 19.3817
7050.000 19.3854
7100.000 19.3876
7150.000 19.3884
7200.000 19.3877
7250.000 19.3853
7300.000 19.3812
7350.000 19.3755
7400.000 19.3680
7450.000 19.3588
7500.000 19.3477
7550.000 19.3350
7600.000 19.3205
7650.000 19.3044
7700.000 19.2867
7750.000 19.2675
7800.000 19.2468
7850.000 19.2249
7900.000 19.2018
7950.000 19.1777
8000.000 19.1527
8050.000 19.1271
8100.000 19.1009
8150.000 19.0743
8200.000 19.0476
8250.000 19.0209
8300.000 18.9944
8350.000 18.9681
8400.000 18.9423
8450.000 18.9171
8500.000 18.8925
8550.000 18.8685
8600.000 18.8452
8650.000 18.8225
8700.000 18.8002
8750.000 18.7782
8800.000 18.7562
8850.000 18.7337
8900.000 18.7104
8950.000 18.6856
9000.000 18.6586
9050.000 18.6285
9100.000 18.5942
9150.000 18.5545
9200.000 18.5081
9250.000 18.4534
9300.000 18.3884
9350.000 18.3110
9400.000 18.2191
