# lambda zeropoint
7573.800 18.7648
7578.154 18.7645
7582.508 18.7642
7586.861 18.7639
7591.215 18.7634
7595.569 18.7630
7599.923 18.7624
7604.277 18.7619
7608.630 18.7612
7612.984 18.7606
7617.338 18.7599
7621.692 18.7591
7626.046 18.7583
7630.399 18.7574
7634.753 18.7565
7639.107 18.7556
7643.461 18.7546
7647.815 18.7535
7652.168 18.7525
7656.522 18.7513
7660.876 18.7502
7665.230 18.7490
7669.584 18.7478
7673.937 18.7465
7678.291 18.7452
7682.645 18.7438
7686.999 18.7424
7691.353 18.7410
7695.706 18.7395
7700.060 18.7380
7704.414 18.7365
7708.768 18.7349
7713.122 18.7333
7717.475 18.7317
7721.829 18.7301
7726.183 18.7284
7730.537 18.7267
7734.891 18.7249
7739.245 18.7231
7743.598 18.7213
7747.952 18.7195
7752.306 18.7176
7756.660 18.7157
7761.014 18.7138
7765.367 18.7119
7769.721 18.7099
7774.075 18.7079
7778.429 18.7059
7782.783 18.7039
7787.136 18.7018
7791.490 18.6997
7795.844 18.6976
7800.198 18.6955
7804.552 18.6934
7808.905 18.6912
7813.259 18.6890
7817.613 18.6868
7821.967 18.6846
7826.321 18.6824
7830.674 18.6801
7835.028 18.6779
7839.382 18.6756
7843.736 18.6733
7848.090 18.6710
7852.443 18.6686
7856.797 18.6663
7861.151 18.6640
7865.505 18.6616
7869.859 18.6592
7874.212 18.6568
7878.566 18.6544
7882.920 18.6520
7887.274 18.6496
7891.628 18.6472
7895.981 18.6447
7900.335 18.6423
7904.689 18.6398
7909.043 18.6373
7913.397 18.6349
7917.750 18.6324
7922.104 18.6299
7926.458 18.6274
7930.812 18.6249
7935.166 18.6224
7939.519 18.6199
7943.873 18.6174
7948.227 18.6149
7952.581 18.6124
7956.935 18.6098
7961.288 18.6073
7965.642 18.6048
7969.996 18.6023
7974.350 18.5997
7978.704 18.5972
7983.057 18.5947
7987.411 18.5921
7991.765 18.5896
7996.119 18.5871
8000.473 18.5845
8004.826 18.5820
8009.180 18.5795
8013.534 18.5769
8017.888 18.5744
8022.242 18.5719
8026.595 18.5694
8030.949 18.5668
8035.303 18.5643
8039.657 18.5618
8044.011 18.5593
8048.365 18.5568
8052.718 18.5543
8057.072 18.5518
8061.426 18.5493
8065.780 18.5468
8070.134 18.5444
8074.487 18.5419
8078.841 18.5394
8083.195 18.5370
8087.549 18.5345
8091.903 18.5321
8096.256 18.5296
8100.610 18.5272
8104.964 18.5248
8109.318 18.5224
8113.672 18.5200
8118.025 18.5176
8122.379 18.5152
8126.733 18.5128
8131.087 18.5104
8135.441 18.5081
8139.794 18.5057
8144.148 18.5034
8148.502 18.5010
8152.856 18.4987
8157.210 18.4964
8161.563 18.4941
8165.917 18.4918
8170.271 18.4895
8174.625 18.4872
8178.979 18.4850
8183.332 18.4827
8187.686 18.4805
8192.040 18.4783
8196.394 18.4761
8200.748 18.4739
8205.101 18.4717
8209.455 18.4695
8213.809 18.4673
8218.163 18.4652
8222.517 18.4630
8226.870 18.4609
8231.224 18.4588
8235.578 18.4567
8239.932 18.4546
8244.286 18.4525
8248.639 18.4504
8252.993 18.4484
8257.347 18.4463
8261.701 18.4443
8266.055 18.4423
8270.408 18.4403
8274.762 18.4383
8279.116 18.4363
8283.470 18.4343
