# lambda zeropoint
3126.000 15.2437
3128.474 15.2602
3130.948 15.2807
3133.421 15.3105
3135.895 15.3470
3138.369 15.3881
3140.843 15.4376
3143.316 15.4897
3145.790 15.5479
3148.264 15.6092
3150.738 15.6736
3153.212 15.7419
3155.685 15.8115
3158.159 15.8842
3160.633 15.9580
3163.107 16.0331
3165.580 16.1093
3168.054 16.1858
3170.528 16.2628
3173.002 16.3397
3175.476 16.4164
3177.949 16.4924
3180.423 16.5681
3182.897 16.6422
3185.371 16.7156
3187.844 16.7874
3190.318 16.8578
3192.792 16.9270
3195.266 16.9936
3197.740 17.0592
3200.213 17.1220
3202.687 17.1832
3205.161 17.2424
3207.635 17.2988
3210.109 17.3541
3212.582 17.4055
3215.056 17.4556
3217.530 17.5030
3220.004 17.5478
3222.477 17.5912
3224.951 17.6306
3227.425 17.6688
3229.899 17.7039
3232.373 17.7368
3234.846 17.7678
3237.320 17.7954
3239.794 17.8218
3242.268 17.8448
3244.741 17.8661
3247.215 17.8854
3249.689 17.9017
3252.163 17.9169
3254.637 17.9288
3257.110 17.9393
3259.584 17.9476
3262.058 17.9536
3264.532 17.9585
3267.005 17.9602
3269.479 17.9609
3271.953 17.9594
3274.427 17.9560
3276.901 17.9514
3279.374 17.9441
3281.848 17.9360
3284.322 17.9255
3286.796 17.9137
3289.269 17.9004
3291.743 17.8849
3294.217 17.8687
3296.691 17.8500
3299.165 17.8303
3301.638 17.8090
3304.112 17.7859
3306.586 17.7619
3309.060 17.7354
3311.533 17.7081
3314.007 17.6790
3316.481 17.6483
3318.955 17.6166
3321.429 17.5825
3323.902 17.5475
3326.376 17.5105
3328.850 17.4720
3331.324 17.4321
3333.798 17.3900
3336.271 17.3470
3338.745 17.3014
3341.219 17.3650
3343.693 17.4302
3346.166 17.4929
3348.640 17.5546
3351.114 17.6129
3353.588 17.6701
3356.062 17.7250
3358.535 17.7779
3361.009 17.8295
3363.483 17.8782
3365.957 17.9259
3368.430 17.9711
3370.904 18.0148
3373.378 18.0569
3375.852 18.0966
3378.326 18.1355
3380.799 18.1717
3383.273 18.2068
3385.747 18.2403
3388.221 18.2718
3390.694 18.3024
3393.168 18.3305
3395.642 18.3578
3398.116 18.3834
3400.590 18.4073
3403.063 18.4304
3405.537 18.4513
3408.011 18.4714
