# lambda zeropoint
3613.200 11.7968
3617.400 11.9159
3621.600 12.0326
3625.800 12.1469
3630.000 12.2589
3634.200 12.3686
3638.400 12.4761
3642.600 12.5815
3646.800 12.6846
3651.000 12.7857
3655.200 12.8848
3659.400 12.9818
3663.600 13.0768
3667.800 13.1699
3672.000 13.2611
3676.200 13.3505
3680.400 13.4380
3684.600 13.5237
3688.800 13.6077
3693.000 13.6899
3697.200 13.7705
3701.400 13.8494
3705.600 13.9267
3709.800 14.0024
3714.000 14.0766
3718.200 14.1492
3722.400 14.2204
3726.600 14.2901
3730.800 14.3583
3735.000 14.4252
3739.200 14.4907
3743.400 14.5549
3747.600 14.6177
3751.800 14.6793
3756.000 14.7396
3760.200 14.7987
3764.400 14.8566
3768.600 14.9132
3772.800 14.9688
3777.000 15.0232
3781.200 15.0765
3785.400 15.1287
3789.600 15.1799
3793.800 15.2300
3798.000 15.2791
3802.200 15.3272
3806.400 15.3743
3810.600 15.4205
3814.800 15.4658
3819.000 15.5101
3823.200 15.5536
3827.400 15.5962
3831.600 15.6380
3835.800 15.6789
3840.000 15.7190
3844.200 15.7583
3848.400 15.7969
3852.600 15.8346
3856.800 15.8717
3861.000 15.9080
3865.200 15.9436
3869.400 15.9785
3873.600 16.0128
3877.800 16.0464
3882.000 16.0793
3886.200 16.1116
3890.400 16.1433
3894.600 16.1744
3898.800 16.2049
3903.000 16.2349
3907.200 16.2642
3911.400 16.2931
3915.600 16.3214
3919.800 16.3491
3924.000 16.3764
3928.200 16.4032
3932.400 16.4295
3936.600 16.4553
3940.800 16.4806
3945.000 16.5055
3949.200 16.5300
3953.400 16.5540
3957.600 16.5776
3961.800 16.6009
3966.000 16.6237
3970.200 16.6461
3974.400 16.6681
3978.600 16.6898
3982.800 16.7111
3987.000 16.7321
3991.200 16.7527
3995.400 16.7730
3999.600 16.7930
4003.800 16.8126
4008.000 16.8319
4012.200 16.8510
4016.400 16.8697
4020.600 16.8882
4024.800 16.9064
4029.000 16.9243
4033.200 16.9419
4037.400 16.9593
4041.600 16.9764
4045.800 16.9933
4050.000 17.0100
4054.200 17.0264
4058.400 17.0426
4062.600 17.0585
4066.800 17.0743
4071.000 17.0898
4075.200 17.1052
4079.400 17.1203
4083.600 17.1353
4087.800 17.1500
4092.000 17.1646
4096.200 17.1790
4100.400 17.1933
4104.600 17.2073
4108.800 17.2212
4113.000 17.2349
4117.200 17.2485
4121.400 17.2619
4125.600 17.2752
4129.800 17.2884
4134.000 17.3013
4138.200 17.3142
4142.400 17.3269
4146.600 17.3395
4150.800 17.3520
4155.000 17.3643
4159.200 17.3766
4163.400 17.3887
4167.600 17.4007
4171.800 17.4126
4176.000 17.4243
4180.200 17.4360
4184.400 17.4476
4188.600 17.4591
4192.800 17.4704
4197.000 17.4817
4201.200 17.4929
4205.400 17.5040
4209.600 17.5150
4213.800 17.5260
4218.000 17.5368
4222.200 17.5476
4226.400 17.5582
4230.600 17.5689
4234.800 17.5794
4239.000 17.5898
4243.200 17.6002
4247.400 17.6105
4251.600 17.6208
4255.800 17.6310
4260.000 17.6411
4264.200 17.6511
4268.400 17.6611
4272.600 17.6711
4276.800 17.6809
4281.000 17.6908
4285.200 17.7005
4289.400 17.7102
4293.600 17.7198
4297.800 17.7294
4302.000 17.7390
4306.200 17.7485
4310.400 17.7579
4314.600 17.7673
4318.800 17.7766
4323.000 17.7859
4327.200 17.7951
4331.400 17.8043
4335.600 17.8135
4339.800 17.8226
4344.000 17.8317
4348.200 17.8407
4352.400 17.8496
4356.600 17.8586
4360.800 17.8675
4365.000 17.8763
4369.200 17.8851
4373.400 17.8939
4377.600 17.9026
4381.800 17.9113
4386.000 17.9200
4390.200 17.9286
4394.400 17.9372
4398.600 17.9457
4402.800 17.9542
4407.000 17.9627
4411.200 17.9711
4415.400 17.9795
