# lambda zeropoint
3772.800 16.0850
3777.000 16.1368
3781.200 16.1873
3785.400 16.2367
3789.600 16.2850
3793.800 16.3322
3798.000 16.3783
3802.200 16.4233
3806.400 16.4673
3810.600 16.5103
3814.800 16.5524
3819.000 16.5935
3823.200 16.6337
3827.400 16.6730
3831.600 16.7115
3835.800 16.7491
3840.000 16.7859
3844.200 16.8219
3848.400 16.8571
3852.600 16.8916
3856.800 16.9253
3861.000 16.9583
3865.200 16.9907
3869.400 17.0223
3873.600 17.0533
3877.800 17.0837
3882.000 17.1134
3886.200 17.1426
3890.400 17.1711
3894.600 17.1991
3898.800 17.2265
3903.000 17.2534
3907.200 17.2798
3911.400 17.3056
3915.600 17.3309
3919.800 17.3558
3924.000 17.3802
3928.200 17.4041
3932.400 17.4275
3936.600 17.4505
3940.800 17.4731
3945.000 17.4953
3949.200 17.5170
3953.400 17.5384
3957.600 17.5594
3961.800 17.5800
3966.000 17.6002
3970.200 17.6201
3974.400 17.6396
3978.600 17.6588
3982.800 17.6776
3987.000 17.6961
3991.200 17.7143
3995.400 17.7322
3999.600 17.7498
4003.800 17.7671
4008.000 17.7841
4012.200 17.8008
4016.400 17.8172
4020.600 17.8334
4024.800 17.8493
4029.000 17.8649
4033.200 17.8803
4037.400 17.8955
4041.600 17.9104
4045.800 17.9250
4050.000 17.9394
4054.200 17.9536
4058.400 17.9676
4062.600 17.9814
4066.800 17.9949
4071.000 18.0082
4075.200 18.0214
4079.400 18.0343
4083.600 18.0470
4087.800 18.0595
4092.000 18.0719
4096.200 18.0840
4100.400 18.0960
4104.600 18.1078
4108.800 18.1194
4113.000 18.1308
4117.200 18.1421
4121.400 18.1532
4125.600 18.1641
4129.800 18.1748
4134.000 18.1855
4138.200 18.1959
4142.400 18.2062
4146.600 18.2163
4150.800 18.2263
4155.000 18.2362
4159.200 18.2459
4163.400 18.2554
4167.600 18.2649
4171.800 18.2741
4176.000 18.2833
4180.200 18.2923
4184.400 18.3012
4188.600 18.3099
4192.800 18.3185
4197.000 18.3270
4201.200 18.3354
4205.400 18.3437
4209.600 18.3518
4213.800 18.3598
4218.000 18.3677
4222.200 18.3755
4226.400 18.3832
4230.600 18.3907
4234.800 18.3982
4239.000 18.4055
4243.200 18.4127
4247.400 18.4199
4251.600 18.4269
4255.800 18.4338
4260.000 18.4406
4264.200 18.4474
4268.400 18.4540
4272.600 18.4605
4276.800 18.4670
4281.000 18.4733
4285.200 18.4796
4289.400 18.4857
4293.600 18.4918
4297.800 18.4978
4302.000 18.5037
4306.200 18.5095
4310.400 18.5152
4314.600 18.5209
4318.800 18.5264
4323.000 18.5319
4327.200 18.5374
4331.400 18.5427
4335.600 18.5479
4339.800 18.5531
4344.000 18.5582
4348.200 18.5633
4352.400 18.5683
4356.600 18.5732
4360.800 18.5780
4365.000 18.5828
4369.200 18.5875
4373.400 18.5921
4377.600 18.5967
4381.800 18.6012
4386.000 18.6056
4390.200 18.6100
4394.400 18.6143
4398.600 18.6186
4402.800 18.6228
4407.000 18.6270
4411.200 18.6311
4415.400 18.6352
4419.600 18.6392
4423.800 18.6431
4428.000 18.6470
4432.200 18.6509
4436.400 18.6547
4440.600 18.6585
4444.800 18.6622
4449.000 18.6659
4453.200 18.6695
4457.400 18.6731
4461.600 18.6766
4465.800 18.6801
4470.000 18.6836
4474.200 18.6871
4478.400 18.6905
4482.600 18.6938
4486.800 18.6971
4491.000 18.7004
4495.200 18.7037
4499.400 18.7069
4503.600 18.7101
4507.800 18.7133
4512.000 18.7164
4516.200 18.7195
4520.400 18.7226
4524.600 18.7257
4528.800 18.7287
4533.000 18.7317
4537.200 18.7347
4541.400 18.7377
4545.600 18.7406
4549.800 18.7435
4554.000 18.7464
4558.200 18.7493
4562.400 18.7522
4566.600 18.7550
4570.800 18.7579
4575.000 18.7607
4579.200 18.7635
4583.400 18.7662
4587.600 18.7690
4591.800 18.7718
4596.000 18.7745
4600.200 18.7772
4604.400 18.7800
4608.600 18.7827
4612.800 18.7854
4617.000 18.7880
4621.200 18.7907
4625.400 18.7934
4629.600 18.7961
4633.800 18.7987
4638.000 18.8014
4642.200 18.8040
4646.400 18.8067
4650.600 18.8093
4654.800 18.8119
4659.000 18.8146
4663.200 18.8172
4667.400 18.8198
4671.600 18.8224
4675.800 18.8250
4680.000 18.8277
