# lambda zeropoint
5822.400 17.7170
5826.600 17.7363
5830.800 17.7552
5835.000 17.7739
5839.200 17.7922
5843.400 17.8101
5847.600 17.8278
5851.800 17.8452
5856.000 17.8623
5860.200 17.8790
5864.400 17.8955
5868.600 17.9117
5872.800 17.9277
5877.000 17.9433
5881.200 17.9587
5885.400 17.9739
5889.600 17.9888
5893.800 18.0034
5898.000 18.0178
5902.200 18.0319
5906.400 18.0458
5910.600 18.0595
5914.800 18.0729
5919.000 18.0861
5923.200 18.0991
5927.400 18.1119
5931.600 18.1244
5935.800 18.1368
5940.000 18.1489
5944.200 18.1609
5948.400 18.1726
5952.600 18.1842
5956.800 18.1955
5961.000 18.2067
5965.200 18.2177
5969.400 18.2285
5973.600 18.2392
5977.800 18.2496
5982.000 18.2599
5986.200 18.2701
5990.400 18.2800
5994.600 18.2898
5998.800 18.2995
6003.000 18.3090
6007.200 18.3183
6011.400 18.3275
6015.600 18.3366
6019.800 18.3455
6024.000 18.3543
6028.200 18.3629
6032.400 18.3714
6036.600 18.3798
6040.800 18.3881
6045.000 18.3962
6049.200 18.4042
6053.400 18.4121
6057.600 18.4198
6061.800 18.4275
6066.000 18.4350
6070.200 18.4424
6074.400 18.4497
6078.600 18.4569
6082.800 18.4640
6087.000 18.4710
6091.200 18.4779
6095.400 18.4847
6099.600 18.4914
6103.800 18.4980
6108.000 18.5045
6112.200 18.5109
6116.400 18.5173
6120.600 18.5235
6124.800 18.5297
6129.000 18.5357
6133.200 18.5417
6137.400 18.5476
6141.600 18.5535
6145.800 18.5592
6150.000 18.5649
6154.200 18.5705
6158.400 18.5761
6162.600 18.5815
6166.800 18.5869
6171.000 18.5923
6175.200 18.5975
6179.400 18.6027
6183.600 18.6079
6187.800 18.6129
6192.000 18.6180
6196.200 18.6229
6200.400 18.6278
6204.600 18.6326
6208.800 18.6374
6213.000 18.6421
6217.200 18.6468
6221.400 18.6514
6225.600 18.6560
6229.800 18.6605
6234.000 18.6650
6238.200 18.6694
6242.400 18.6738
6246.600 18.6781
6250.800 18.6824
6255.000 18.6866
6259.200 18.6908
6263.400 18.6950
6267.600 18.6991
6271.800 18.7031
6276.000 18.7072
6280.200 18.7112
6284.400 18.7151
6288.600 18.7190
6292.800 18.7229
6297.000 18.7267
6301.200 18.7305
6305.400 18.7343
6309.600 18.7380
6313.800 18.7417
6318.000 18.7454
6322.200 18.7490
6326.400 18.7526
6330.600 18.7562
6334.800 18.7598
6339.000 18.7633
6343.200 18.7668
6347.400 18.7702
6351.600 18.7736
6355.800 18.7770
6360.000 18.7804
6364.200 18.7838
6368.400 18.7871
6372.600 18.7904
6376.800 18.7937
6381.000 18.7969
6385.200 18.8001
6389.400 18.8033
6393.600 18.8065
6397.800 18.8097
6402.000 18.8128
6406.200 18.8159
6410.400 18.8190
6414.600 18.8221
6418.800 18.8251
6423.000 18.8281
6427.200 18.8311
6431.400 18.8341
6435.600 18.8371
6439.800 18.8400
6444.000 18.8429
6448.200 18.8459
6452.400 18.8487
6456.600 18.8516
6460.800 18.8545
6465.000 18.8573
6469.200 18.8601
6473.400 18.8629
6477.600 18.8657
6481.800 18.8685
6486.000 18.8712
6490.200 18.8740
6494.400 18.8767
6498.600 18.8794
6502.800 18.8821
6507.000 18.8847
6511.200 18.8874
6515.400 18.8900
6519.600 18.8927
6523.800 18.8953
6528.000 18.8979
6532.200 18.9005
6536.400 18.9030
6540.600 18.9056
6544.800 18.9081
6549.000 18.9106
6553.200 18.9132
6557.400 18.9157
6561.600 18.9181
6565.800 18.9206
6570.000 18.9231
6574.200 18.9255
6578.400 18.9279
6582.600 18.9304
6586.800 18.9328
6591.000 18.9352
6595.200 18.9375
6599.400 18.9399
6603.600 18.9423
6607.800 18.9446
6612.000 18.9469
6616.200 18.9493
6620.400 18.9516
6624.600 18.9538
6628.800 18.9561
6633.000 18.9584
6637.200 18.9607
6641.400 18.9629
6645.600 18.9651
6649.800 18.9673
6654.000 18.9695
6658.200 18.9717
6662.400 18.9739
6666.600 18.9761
6670.800 18.9783
6675.000 18.9804
6679.200 18.9825
6683.400 18.9847
6687.600 18.9868
6691.800 18.9889
6696.000 18.9910
6700.200 18.9930
6704.400 18.9951
6708.600 18.9971
6712.800 18.9992
6717.000 19.0012
6721.200 19.0032
