# lambda zeropoint
3331.800 14.4500
3334.322 14.8467
3336.845 15.2282
3339.367 15.5793
3341.890 15.9019
3344.412 16.2101
3346.935 16.4726
3349.457 16.7168
3351.980 16.9254
3354.502 17.0899
3357.024 17.2324
3359.547 17.2967
3362.069 17.3287
3364.592 17.2995
3367.114 17.1971
3369.637 17.0584
3372.159 16.8014
3374.682 16.4990
3377.204 16.7298
3379.727 17.0105
3382.249 17.2644
3384.771 17.4306
3387.294 17.5638
3389.816 17.6372
3392.339 17.6480
3394.861 17.6285
3397.384 17.5243
3399.906 17.3905
3402.429 17.2036
3404.951 16.9600
3407.473 16.8069
3409.996 17.0506
3412.518 17.2728
3415.041 17.4574
3417.563 17.6019
3420.086 17.7271
3422.608 17.7910
3425.131 17.8276
3427.653 17.8175
3430.176 17.7470
3432.698 17.6474
3435.220 17.4557
3437.743 17.2265
3440.265 16.9384
3442.788 17.1938
3445.310 17.4234
3447.833 17.5885
3450.355 17.7304
3452.878 17.8344
3455.400 17.8960
3457.922 17.9377
3460.445 17.9202
3462.967 17.8761
3465.490 17.7891
3468.012 17.6434
3470.535 17.4696
3473.057 17.2025
3475.580 17.2592
3478.102 17.4501
3480.624 17.6078
3483.147 17.7507
3485.669 17.8577
3488.192 17.9475
3490.714 18.0108
3493.237 18.0322
3495.759 18.0330
3498.282 17.9631
3500.804 17.8565
3503.327 17.6944
3505.849 17.4569
3508.371 17.2707
3510.894 17.4932
3513.416 17.6872
3515.939 17.8391
3518.461 17.9479
3520.984 18.0375
3523.506 18.0791
3526.029 18.1001
3528.551 18.0914
3531.073 18.0428
3533.596 17.9756
3536.118 17.8513
3538.641 17.6963
3541.163 17.4975
3543.686 17.3302
3546.208 17.5936
3548.731 17.7887
3551.253 17.9546
3553.776 18.0796
3556.298 18.1557
3558.820 18.2104
3561.343 18.2097
3563.865 18.1846
3566.388 18.1260
3568.910 18.0232
3571.433 17.9005
3573.955 17.7208
3576.478 17.5099
3579.000 17.3451
3581.522 17.5546
3584.045 17.7437
3586.567 17.8862
3589.090 18.0091
3591.612 18.1061
3594.135 18.1680
3596.657 18.2141
3599.180 18.2148
3601.702 18.1899
3604.224 18.1321
3606.747 18.0219
3609.269 17.8878
3611.792 17.6846
3614.314 17.4437
3616.837 17.5463
3619.359 17.7445
3621.882 17.9194
3624.404 18.0404
3626.927 18.1388
3629.449 18.2092
3631.971 18.2445
3634.494 18.2649
3637.016 18.2469
3639.539 18.2076
3642.061 18.1425
3644.584 18.0336
3647.106 17.9042
3649.629 17.7134
3652.151 17.4816
3654.673 17.7064
3657.196 17.8986
3659.718 18.0688
3662.241 18.1865
3664.763 18.2804
3667.286 18.3463
3669.808 18.3766
3672.331 18.3923
3674.853 18.3725
3677.376 18.3334
3679.898 18.2722
3682.420 18.1725
3684.943 18.0547
3687.465 17.8832
3689.988 17.6714
3692.510 17.8385
3695.033 18.0259
3697.555 18.1921
3700.078 18.3095
3702.600 18.4042
3705.122 18.4739
3707.645 18.5105
3710.167 18.5339
3712.690 18.5249
3715.212 18.4968
3717.735 18.4480
3720.257 18.3603
3722.780 18.2542
3725.302 18.0945
3727.824 17.8926
3730.347 17.8963
3732.869 18.0850
3735.392 18.2540
3737.914 18.3790
3740.437 18.4824
3742.959 18.5635
3745.482 18.6113
3748.004 18.6458
3750.527 18.6466
3753.049 18.6259
3755.571 18.5833
3758.094 18.4996
3760.616 18.3978
3763.139 18.2473
3765.661 18.0622
3768.184 17.9173
3770.706 18.1223
3773.229 18.3045
3775.751 18.4371
3778.273 18.5457
3780.796 18.6307
3783.318 18.6829
3785.841 18.7228
3788.363 18.7343
3790.886 18.7287
3793.408 18.7066
3795.931 18.6536
3798.453 18.5870
3800.976 18.4846
3803.498 18.3541
3806.020 18.1971
3808.543 18.0177
3811.065 18.2554
3813.588 18.4309
3816.110 18.5731
3818.633 18.6844
3821.155 18.7517
3823.678 18.8040
3826.200 18.8241
3828.722 18.8281
3831.245 18.8177
3833.767 18.7850
3836.290 18.7434
3838.812 18.6800
3841.335 18.5973
3843.857 18.4975
3846.380 18.3501
3848.902 18.1783
3851.424 18.1813
3853.947 18.3729
3856.469 18.5323
3858.992 18.6426
3861.514 18.7363
3864.037 18.7946
3866.559 18.8339
3869.082 18.8572
3871.604 18.8556
3874.127 18.8450
3876.649 18.8137
3879.171 18.7667
3881.694 18.7063
3884.216 18.6122
3886.739 18.5018
3889.261 18.3480
3891.784 18.1502
3894.306 18.2192
3896.829 18.3952
3899.351 18.5587
3901.873 18.6946
3904.396 18.8108
3906.918 18.9112
3909.441 18.9774
3911.963 19.0296
3914.486 19.0479
3917.008 19.0389
3919.531 19.0084
3922.053 18.9302
3924.576 18.8337
3927.098 18.6946
3929.620 18.5256
3932.143 18.3332
3934.665 18.3111
3937.188 18.5190
3939.710 18.6806
3942.233 18.8144
3944.755 18.9271
3947.278 19.0046
3949.800 19.0709
3952.322 19.1135
3954.845 19.1410
3957.367 19.1573
3959.890 19.1512
3962.412 19.1362
3964.935 19.1008
3967.457 19.0459
3969.980 18.9767
3972.502 18.8659
3975.024 18.7354
3977.547 18.5576
3980.069 18.4699
