# lambda zeropoint
4835.400 12.3704
4838.416 12.6525
4841.432 12.9254
4844.447 13.1892
4847.463 13.4412
4850.479 13.6808
4853.495 13.9112
4856.511 14.1323
4859.526 14.3388
4862.542 14.5354
4865.558 14.7227
4868.574 14.8986
4871.590 15.0612
4874.606 15.2145
4877.621 15.3583
4880.637 15.4878
4883.653 15.6068
4886.669 15.7162
4889.685 15.8146
4892.700 15.8989
4895.716 15.9736
4898.732 16.0389
4901.748 16.0900
4904.764 16.1299
4907.779 16.1601
4910.795 16.1795
4913.811 16.1842
4916.827 16.1791
4919.843 16.1643
4922.858 16.1358
4925.874 16.0951
4928.890 16.0447
4931.906 15.9839
4934.922 15.9075
4937.938 15.8212
4940.953 15.7249
4943.969 15.7848
4946.985 15.9255
4950.001 16.0583
4953.017 16.1830
4956.032 16.2945
4959.048 16.3975
4962.064 16.4921
4965.080 16.5759
4968.096 16.6479
4971.111 16.7111
4974.127 16.7655
4977.143 16.8058
4980.159 16.8364
4983.175 16.8578
4986.191 16.8678
4989.206 16.8644
4992.222 16.8515
4995.238 16.8290
4998.254 16.7917
5001.270 16.7432
5004.285 16.6847
5007.301 16.6145
5010.317 16.5292
5013.333 16.4335
5016.349 16.5078
5019.364 16.6465
5022.380 16.7752
5025.396 16.8954
5028.412 17.0060
5031.428 17.1033
5034.443 17.1918
5037.459 17.2715
5040.475 17.3388
5043.491 17.3949
5046.507 17.4420
5049.523 17.4796
5052.538 17.5025
5055.554 17.5161
5058.570 17.5204
5061.586 17.5122
5064.602 17.4916
5067.617 17.4615
5070.633 17.4218
5073.649 17.3663
5076.665 17.3010
5079.681 17.2258
5082.696 17.1381
5085.712 17.0367
5088.728 16.9253
5091.744 17.0532
5094.760 17.1711
5097.775 17.2802
5100.791 17.3809
5103.807 17.4717
5106.823 17.5506
5109.839 17.6212
5112.855 17.6836
5115.870 17.7334
5118.886 17.7736
5121.902 17.8056
5124.918 17.8278
5127.934 17.8376
5130.949 17.8389
5133.965 17.8318
5136.981 17.8125
5139.997 17.7830
5143.013 17.7451
5146.028 17.6979
5149.044 17.6375
5152.060 17.5685
5155.076 17.4910
5158.092 17.4016
5161.108 17.3015
5164.123 17.1927
5167.139 17.1993
5170.155 17.3121
5173.171 17.4179
5176.187 17.5166
5179.202 17.6058
