# lambda zeropoint
4969.8 17.371871794871804
4974.0 17.669804601195906
4978.2 17.926600486470054
4982.4 18.140372960372932
4986.6 18.311267409173595
4990.8 18.44105858443617
4995.0 18.532748091725207
4999.2 18.59016187931062
5003.4 18.61754772687267
5007.6 18.61917273420706
5011.8 18.598920809929957
5016.0 18.559890160183063
5020.2 18.503990777338597
5024.4 18.431541928704394
5028.6 18.340869645228892
5032.8 18.227904210206265
5037.0 18.085777647981306
5041.2 17.90442121265465
5045.4 17.67016287678762
5049.6 17.365324820107396
5053.8 16.96782091821223
5058.0 16.45075423127594
5062.2 15.782014492753646
4898.4 17.37691871734642
4902.6 17.745245278297755
4906.8 18.0619661999326
4911.0 18.327496280751603
4915.2 18.54392858034484
4919.4 18.714662917492344
4923.6 18.844034368265188
4927.8 18.936941764125944
4932.0 18.998476190029756
4936.2 19.03354948252489
4940.4 19.046522727853613
4944.6 19.0408347600529
4948.8 19.01863065905525
4953.0 18.980390248789416
4957.2 18.924556595281217
4961.4 18.84716450475425
4965.6 18.74146902173069
4969.8 18.597573927132135
4974.0 18.402060236380176
4978.2 18.13761469749742
4982.4 17.78265828920797
4986.6 17.310974719038384
4990.8 16.691338921418712
4831.2 17.477973173993316
4835.4 17.86482124524638
4839.6 18.19966818545234
4843.8 18.482067653605846
4848.0 18.71356893274649
4852.2 18.897298416914637
4856.4 19.03754109810731
4860.6 19.13932205323441
4864.8 19.207987931074516
4869.0 19.24878843923109
4873.2 19.26645783108842
4877.4 19.2647963927676
4881.6 19.246251930082575
4885.8 19.211501255496188
4890.0 19.159031675076136
4894.2 19.08472247545101
4898.4 18.981426410766336
4902.6 18.838551189640494
4906.8 18.64164096212091
4911.0 18.371957806639937
4915.2 18.006063216970787
4919.4 17.515399589183858
4923.6 16.86587170860216
4764.0 17.341624860646615
4768.2 17.77048616600787
4772.4 18.13463925205228
4776.6 18.43896118374383
4780.8 18.688914523691416
4785.0 18.89030236354036
4789.2 19.049023355363182
4793.4 19.17082674305099
4797.6 19.261067393704703
4801.8 19.32446082902605
4806.0 19.364838256708964
4810.2 19.384901601830663
4814.4 19.385978538242842
4818.6 19.36777751996288
4822.8 19.32814281256501
4827.0 19.262809524571555
4831.2 19.165158638844012
4835.4 19.025972043974352
4839.6 18.833187565676106
4843.8 18.571653998175744
4848.0 18.22288613560351
4852.2 17.76481980338505
4856.4 17.171566889632103
4701.0 17.42212354287081
4705.2 17.84310422996948
4709.4 18.204222680662237
4713.6 18.508458815343666
4717.8 18.759899217766918
4722.0 18.963409437916088
4726.2 19.12430629487795
4730.4 19.248030179713723
4734.6 19.339817358331086
4738.8 19.404372274356014
4743.0 19.445539852004707
4747.2 19.465977798955418
4751.4 19.46682890922041
4755.6 19.44739336601777
4759.8 19.40480104464337
4764.0 19.33368381534268
4768.2 19.225847846182745
4772.4 19.069945905923944
4776.6 18.85114966689198
4780.8 18.55082200784988
4785.0 18.146189316869503
4789.2 17.610013794203823
4793.4 16.910265755158754
4638.0 17.213364349372906
4642.2 17.683935906333378
4646.4 18.08704553368072
4650.6 18.426174382726938
4654.8 18.70609911941375
4659.0 18.932515233277375
4663.2 19.11166034641249
4667.4 19.249937522437005
4671.6 19.35353857545629
4675.8 19.42806737902767
4680.0 19.47816317512496
4684.2 19.507123883102746
4688.4 19.516529408660933
4692.6 19.50586495280911
4696.8 19.472144320831024
4701.0 19.409533231249018
4705.2 19.308972624788403
4709.4 19.15780197334202
4713.6 18.939382588934457
4717.8 18.632720932686787
4722.0 18.212091923780818
4726.2 17.646662248423347
4730.4 16.900113668811002
4579.2 17.352856389986822
4583.4 17.80245059288534
4587.6 18.187478260869614
4591.8 18.51115900422996
4596.0 18.778021219055542
4600.2 18.993498623331153
4604.4 19.163526793034666
4608.6 19.2941396982342
4612.8 19.391066239185516
4617.0 19.45932678242922
4621.2 19.502829696888117
4625.4 19.52396788996439
4629.6 19.523215343636934
4633.8 19.498723650558624
4638.0 19.445918550153586
4642.2 19.357096464714456
4646.4 19.22102103549972
4650.6 19.02251965883085
4654.8 18.742080022189853
4659.0 18.355446640316217
4663.2 17.83321739130439
4667.4 17.1404400527009
4520.4 17.279089692915747
4524.6 17.737367588932813
4528.8 18.131322590453063
4533.0 18.463783904882312
4537.2 18.738988494343175
4541.4 18.962154576611947
4545.6 19.139055126055815
4549.8 19.275591374569707
4554.0 19.37736631251371
4558.2 19.4492581896499
4562.4 19.4949940160795
4566.6 19.516723063179935
4570.8 19.51459036454192
4575.0 19.486310216906542
4579.2 19.426739681102323
4583.4 19.32745208298231
4587.6 19.17631051436112
4591.8 18.957041333952056
4596.0 18.648807668304215
4600.2 18.22578291273945
4604.4 17.656724232289534
4608.6 16.904546062632964
4461.6 17.008742880308066
4465.8 17.52010094253575
4470.0 17.958569169960473
4474.2 18.327743717762004
4478.4 18.632721767934548
4482.6 18.87964464341691
4486.8 19.075240922222214
4491.0 19.226369551568375
4495.2 19.339562962007705
4499.4 19.420570181557117
4503.6 19.473899949828073
4507.8 19.502363832156533
4512.0 19.506619333733074
4516.2 19.4847130137328
4520.4 19.431623599445384
4524.6 19.33880510040503
4528.8 19.193729922520596
4533.0 18.979431982205437
4537.2 18.674049820507513
4541.4 18.250369717239284
4545.6 17.67536880510789
4549.8 16.90975818384515
4407.0 17.09232401603004
4411.2 17.6065231770612
4415.4 18.0440921228101
4419.6 18.409372663749277
4423.8 18.708253844560584
4428.0 18.947651739513223
4432.2 19.13498924784117
4436.4 19.27767588912075
4440.6 19.38258759864844
4444.8 19.455546522818313
4449.0 19.500800814499804
4453.2 19.520504428415233
4457.4 19.514196916517466
4461.6 19.478283223367544
4465.8 19.405513481512298
4470.0 19.284462806861974
4474.2 19.099011094067823
4478.4 18.82782281189983
4482.6 18.44382679862413
4486.8 17.913696057380953
4491.0 17.197327551561912
4352.4 16.998225947965143
4356.6 17.528046258089777
4360.8 17.983420231941952
4365.0 18.365870744815776
4369.2 18.679446558556513
4373.4 18.930048853757604
4377.6 19.124757761958055
4381.8 19.271158897839264
4386.0 19.37666989142234
4390.2 19.44786692026508
4394.4 19.489811241659122
4398.6 19.50537572482705
4402.8 19.494571383119492
4407.0 19.453873906212237
4411.2 19.375550192303315
4415.4 19.246984880310173
4419.6 19.050006882066654
4423.8 18.760215914520288
4428.0 18.346309031929213
4432.2 17.769407158059288
4436.4 16.982381618381538
4297.8 16.609155850608882
4302.0 17.202683950730247
4306.2 17.722754272633967
4310.4 18.16626540274993
4314.6 18.534117090826523
4318.8 18.830349209935758
4323.0 19.061280716479285
4327.2 19.234648610193826
4331.4 19.35874689415677
4335.6 19.441565534791955
4339.8 19.489929421875143
4344.0 19.50863732853976
4348.2 19.49960087128246
4352.4 19.460983469968774
4356.6 19.386339307838718
4360.8 19.263752291512468
4365.0 19.074975010995935
4369.2 18.79456769968637
4373.4 18.38903719437817
4377.6 17.815975895268153
4381.8 17.023200725961694
4247.4 16.767444268774685
4251.6 17.337231662159372
4255.8 17.832562221759947
4260.0 18.251702715402747
4264.2 18.596586542909225
4268.4 18.87195079357307
4272.6 19.08447330363809
4276.8 19.24190971377527
4281.0 19.352230526560536
4285.2 19.42275816395208
4289.4 19.459304024767796
4293.6 19.465305542162763
4297.8 19.4409632411067
4302.0 19.382377795861416
4306.2 19.280687087458247
4310.4 19.121203261175506
4314.6 18.882549784015936
4318.8 18.53579850218432
4323.0 18.043606698564567
4327.2 17.35935415019763
4197.0 16.659904347826114
4201.2 17.274163969211532
4205.4 17.794770307190884
4209.6 18.226413629633303
4213.8 18.576060841419984
4218.0 18.85221183119389
4222.2 19.064155818108375
4226.4 19.221227698576804
4230.6 19.332064393021618
4234.8 19.403861192623513
4239.0 19.441628106070812
4243.2 19.44744620630862
4247.4 19.419723977288037
4251.6 19.352453660715376
4255.8 19.234467602801452
4260.0 19.048694601010773
4264.2 18.771416250810688
4268.4 18.371523292420818
4272.6 17.809771957561875
4276.8 17.038040316205535
4146.6 16.347743873517786
4150.8 17.015060079051413
4155.0 17.5863402260592
4159.2 18.0632095914047
4163.4 18.450838502673772
4167.6 18.757000367519616
4171.8 18.991129703006678
4176.0 19.163380164955523
4180.2 19.283682577287212
4184.4 19.360802961367607
4188.6 19.401400565352002
4192.8 19.40908589352945
4197.0 19.383478735667346
4201.2 19.31926619635582
4205.4 19.205260724352172
4209.6 19.023458141925374
4213.8 18.748095674200638
4218.0 18.34470997850358
4222.2 17.76919517370498
4226.4 16.966860869565227
4100.4 16.295445184106477
4104.6 17.10847860758626
4108.8 17.740727798920684
4113.0 18.224001578580204
4117.2 18.58682021112999
4121.4 18.854180851454352
4125.6 19.047322990981314
4129.8 19.183493903906506
4134.0 19.2757140934177
4138.2 19.332542737918967
4142.4 19.357843137254893
4146.6 19.35054815893487
4150.8 19.30442568435735
4155.0 19.207844055034105
4159.2 19.04353751881449
4163.4 18.788371676109627
4167.6 18.413108926116713
4171.8 17.882173913043488
4176.0 17.15341897233204
4054.2 16.579972633108557
4058.4 17.223044258296465
4062.6 17.76401790437085
4066.8 18.20812993029111
4071.0 18.56324006165442
4075.2 18.83887399801076
4079.4 19.045266020176776
4083.6 19.192401597549917
4087.8 19.289059995423095
4092.0 19.341856882298636
4096.2 19.354286937202666
4100.4 19.325766456999375
4104.6 19.250675963705213
4108.8 19.1174028118033
4113.0 18.907383795557518
4117.2 18.594147756326834
4121.4 18.142358189879705
4125.6 17.50685585370792
4129.8 16.631701374341585
4008.0 16.422037306705285
4012.2 17.110587664231435
4016.4 17.68111911958465
4020.6 18.14243329784592
4024.8 18.505466945671603
4029.0 18.78234988505013
4033.2 18.985462967059412
4037.4 19.126496025623773
4041.6 19.215505831271088
4045.8 19.259974044889933
4050.0 19.263865171486668
4054.2 19.226684513942562
4058.4 19.142536126770857
4062.6 18.99918076987395
4066.8 18.7770938623004
4071.0 18.448523436002183
4075.2 17.976548089591578
4079.4 17.314134942098512
3961.8 16.05947868864837
3966.0 16.788756399959507
