# lambda zeropoint
9148.8 17.031192426032497
9153.0 17.134354213442876
9157.2 17.230931743897855
9161.4 17.321079809078007
9165.6 17.404953200664014
9169.8 17.482706710336412
9174.0 17.554495129775876
9178.2 17.620473250662982
9182.4 17.680795864678302
9186.6 17.735617763502503
9190.8 17.78509373881614
9195.0 17.82937858229985
9199.2 17.868627085634248
9203.4 17.902994040499916
9207.6 17.93263423857748
9211.8 17.957702471547535
9216.0 17.978353531090697
9220.2 17.99474220888757
9224.4 18.00702329661875
9228.6 18.015351585964858
9232.8 18.019881868606497
9237.0 18.020768936224272
9241.2 18.018167580498794
9245.4 18.01223259311066
9249.6 18.00311876574049
9253.8 17.990980890068883
9258.0 17.975973757776448
9262.2 17.958252160543783
9266.4 17.937970890051517
9270.6 17.91528473798023
9274.8 17.890348496010557
9279.0 17.863316955823077
9283.2 17.834344909098423
9287.4 17.803587147517188
9291.6 17.77119846275997
9295.8 17.7373336465074
9300.0 17.70214749044005
9304.2 17.665794786238557
9308.4 17.628430325583526
9312.6 17.590208900155545
9316.8 17.55128530163525
9321.0 17.511814321703213
9325.2 17.471950752040076
9329.4 17.431849384326426
9333.6 17.391665010242857
9337.8 17.35155242147001
9342.0 17.311666409688456
9346.2 17.272161766578815
9350.4 17.23319328382172
9354.6 17.19491575309774
9358.8 17.15748396608751
9363.0 17.12105271447161
9367.2 17.08577678993067
9371.4 17.05181098414531
9375.6 17.019310088796086
9379.8 16.988428895563654
9384.0 16.95932219612859
9388.2 16.932144782171505
9392.4 16.907051445373032
9396.6 16.884196977413744
9400.8 16.863736169974278
9405.0 16.845823814735216
9409.2 16.830614703377172
9413.4 16.818263627580777
8909.4 17.600736736381894
8913.6 17.646340432218928
8917.8 17.690359355962197
8922.0 17.73278845928128
8926.2 17.77362269384569
8930.4 17.812857011325004
8934.6 17.850486363388786
8938.8 17.88650570170655
8943.0 17.920909977947908
8947.2 17.953694143782382
8951.4 17.984853150879502
8955.6 18.014381950908877
8959.8 18.04227549554002
8964.0 18.068528736442502
8968.2 18.09313662528588
8972.4 18.116094113739695
8976.6 18.13739615347351
8980.8 18.15703769615688
8985.0 18.175013693459366
8989.2 18.191319097050506
8993.4 18.205948858599864
8997.6 18.218897929776997
9001.8 18.230161262251443
9006.0 18.239733807692783
9010.2 18.247610517770553
9014.4 18.25378634415431
9018.6 18.258256238513614
9022.8 18.261015152518013
9027.0 18.262058037837065
9031.2 18.26137984614032
9035.4 18.258975529097334
9039.6 18.254840038377665
9043.8 18.24896832565087
9048.0 18.241355342586495
9052.2 18.231996040854096
9056.4 18.220885372123238
9060.6 18.20801828806346
9064.8 18.193389740344326
9069.0 18.176994680635385
9073.2 18.15882806060619
9077.4 18.13888483192631
9081.6 18.117159946265286
9085.8 18.093648355292675
9090.0 18.068345010678023
9094.2 18.041244864090903
9098.4 18.01234286720086
9102.6 17.981633971677436
9106.8 17.94911312919022
9111.0 17.914775291408716
9115.2 17.878615410002507
9119.4 17.84062843664118
9123.6 17.800809322994223
9127.8 17.759153020731237
9132.0 17.715654481521767
9136.2 17.67030865703534
9140.4 17.62311049894155
9144.6 17.57405495890994
9148.8 17.52313698861006
9153.0 17.470351539711437
9157.2 17.41569356388368
9161.4 17.35915801279631
9165.6 17.300739838118865
8682.6 17.70601562959046
8686.8 17.763436448396142
8691.0 17.81879811984468
8695.2 17.87210160415318
8699.4 17.923347861538815
8703.6 17.972537852218807
8707.8 18.0196725364103
8712.0 18.064752874330473
8716.2 18.107779826196502
8720.4 18.148754352225552
8724.6 18.18767741263481
8728.8 18.224549967641423
8733.0 18.259372977462597
8737.2 18.292147402315507
8741.4 18.322874202417285
8745.6 18.351554337985146
8749.8 18.378188769236246
8754.0 18.402778456387765
8758.2 18.425324359656873
8762.4 18.445827439260736
8766.6 18.464288655416553
8770.8 18.480708968341467
8775.0 18.495089338252672
8779.2 18.507430725367342
8783.4 18.517734089902632
8787.6 18.526000392075733
8791.8 18.53223059210381
8796.0 18.53642565020405
8800.2 18.53858652659361
8804.4 18.538714181489667
8808.6 18.5368095751094
8812.8 18.532873667669985
8817.0 18.52690741938859
8821.2 18.518911790482388
8825.4 18.50888774116856
8829.6 18.496836231664272
8833.8 18.482758222186707
8838.0 18.466654672953016
8842.2 18.448526544180403
8846.4 18.42837479608603
8850.6 18.40620038888705
8854.8 18.38200428280068
8859.0 18.355787438044054
8863.2 18.32755081483436
8867.4 18.297295373388774
8871.6 18.265022073924467
8875.8 18.230731876658627
8880.0 18.194425741808384
8884.2 18.15610462959096
8888.4 18.115769500223525
8892.6 18.073421313923223
8896.8 18.029061030907247
8901.0 17.98268961139276
8905.2 17.934308015596944
8909.4 17.883917203736974
8913.6 17.831518136030017
8917.8 17.777111772693274
8922.0 17.720699073943873
8926.2 17.662280999998988
8930.4 17.60185851107586
8464.2 17.665759285362828
8468.4 17.7324970068201
8472.6 17.796820385550443
8476.8 17.858735491491107
8481.0 17.918248394579436
8485.2 17.97536516475263
8489.4 18.030091871947974
8493.6 18.082434586102803
8497.8 18.132399377154304
8502.0 18.179992315039815
8506.2 18.22521946969661
8510.4 18.26808691106191
8514.6 18.308600709073037
8518.8 18.34676693366725
8523.0 18.382591654781827
8527.2 18.416080942354036
8531.4 18.447240866321156
8535.6 18.47607749662046
8539.8 18.50259690318921
8544.0 18.526805155964716
8548.2 18.548708324884217
8552.4 18.56831247988499
8556.6 18.585623690904338
8560.8 18.6006480278795
8565.0 18.613391560747772
8569.2 18.62386035944643
8573.4 18.632060493912725
8577.6 18.637998034083953
8581.8 18.641679049897384
8586.0 18.64310961129029
8590.2 18.642295788199945
8594.4 18.63924365056362
8598.6 18.6339592683186
8602.8 18.62644871140215
8607.0 18.61671804975154
8611.2 18.604773353304058
8615.4 18.59062069199698
8619.6 18.574266135767555
8623.8 18.555715754553084
8628.0 18.53497561829083
8632.2 18.512051796918055
8636.4 18.486950360372067
8640.6 18.459677378590108
8644.8 18.430238921509467
8649.0 18.398641059067412
8653.2 18.364889861201224
8657.4 18.32899139784817
8661.6 18.29095173894553
8665.8 18.250776954430595
8670.0 18.20847311424059
8674.2 18.164046288312832
8678.4 18.117502546584603
8682.6 18.068847958993118
8686.8 18.01808859547573
8691.0 17.96523052596966
8695.2 17.910279820412168
8699.4 17.853242548740603
8703.6 17.79412478089217
8258.4 17.59311761327087
8262.6 17.667103625787945
8266.8 17.738309775715
8271.0 17.80674827768183
8275.2 17.872431346318155
8279.4 17.935371196253687
8283.6 17.995580042118224
8287.8 18.05307009854143
8292.0 18.107853580153147
8296.2 18.159942701583063
8300.4 18.209349677460903
8304.6 18.25608672241645
8308.8 18.300166051079405
8313.0 18.34159987807955
8317.2 18.3804004180466
8321.4 18.416579885610293
8325.6 18.45015049540039
8329.8 18.481124462046616
8334.0 18.50951400017873
8338.2 18.535331324426465
8342.4 18.558588649419548
8346.6 18.57929818978775
8350.8 18.597472160160784
8355.0 18.613122775168417
8359.2 18.626262249440376
8363.4 18.636902797606407
8367.6 18.645056634296253
8371.8 18.650735974139646
8376.0 18.653953031766342
8380.2 18.65472002180607
8384.4 18.653049158888585
8388.6 18.64895265764362
8392.8 18.64244273270092
8397.0 18.63353159869022
8401.2 18.62223147024127
8405.4 18.608554561983823
8409.6 18.59251308854759
8413.8 18.57411926456234
8418.0 18.553385304657795
8422.2 18.53032342346371
8426.4 18.504945835609828
8430.6 18.477264755725876
8434.8 18.44729239844162
8439.0 18.415040978386774
8443.2 18.380522710191094
8447.4 18.343749808484336
8451.6 18.304734487896212
8455.8 18.263488963056492
8460.0 18.220025448594892
8464.2 18.174356159141162
8468.4 18.12649330932507
8472.6 18.076449113776313
8476.8 18.02423578712468
8481.0 17.969865543999866
8485.2 17.913350599031638
8489.4 17.854703166849752
8493.6 17.793935462083915
8061.0 17.651495411989764
8065.2 17.72190335895367
8069.4 17.78969810069295
8073.6 17.854882998291874
8077.8 17.917461412834754
8082.0 17.977436705405868
8086.2 18.03481223708952
8090.4 18.08959136896998
8094.6 18.141777462131596
8098.8 18.191373877658602
8103.0 18.2383839766353
8107.2 18.282811120146015
8111.4 18.32465866927502
8115.6 18.36392998510662
8119.8 18.400628428725067
8124.0 18.4347573612147
8128.2 18.46632014365979
8132.4 18.495320137144635
8136.6 18.52176070275353
8140.8 18.54564520157076
8145.0 18.56697699468063
8149.2 18.58575944316742
8153.4 18.60199590811542
8157.6 18.615689750608944
8161.8 18.626844331732265
8166.0 18.635463012569684
8170.2 18.64154915420549
8174.4 18.645106117723977
8178.6 18.64613726420944
8182.8 18.64464595474617
8187.0 18.64063555041846
8191.2 18.634109412310604
8195.4 18.62507090150689
8199.6 18.613523379091614
8203.8 18.599470206149082
8208.0 18.582914743763553
8212.2 18.563860353019347
8216.4 18.542310395000765
8220.6 18.51826823079206
8224.8 18.491737221477575
8229.0 18.46272072814155
8233.2 18.43122211186832
8237.4 18.397244733742177
8241.6 18.360791954847368
8245.8 18.321867136268246
8250.0 18.280473639089067
8254.2 18.236614824394106
8258.4 18.190294053267724
8262.6 18.14151468679415
8266.8 18.090280086057714
8271.0 18.03659361214266
8275.2 17.980458626133327
8279.4 17.921878489113997
8283.6 17.860856562168962
8287.8 17.797396206382533
7876.2 17.665787116447508
7880.4 17.748935069123746
7884.6 17.828653442993083
7888.8 17.904962033896556
7893.0 17.97788063767533
7897.2 18.04742905017046
7901.4 18.11362706722307
7905.6 18.176494484674297
7909.8 18.2360510983652
7914.0 18.29231670413692
7918.2 18.34531109783053
7922.4 18.395054075287145
7926.6 18.441565432347907
7930.8 18.484864964853866
7935.0 18.52497246864616
7939.2 18.561907739565903
7943.4 18.595690573454167
7947.6 18.626340766152094
7951.8 18.65387811350076
7956.0 18.678322411341277
7960.2 18.69969345551477
7964.4 18.71801104186232
7968.6 18.73329496622505
7972.8 18.745565024444048
7977.0 18.754841012360437
7981.2 18.76114272581531
7985.4 18.764489960649783
7989.6 18.764902512704953
7993.8 18.762400177821934
7998.0 18.75700275184182
8002.2 18.748730030605728
8006.4 18.737601809954754
