# lambda zeropoint
4050.000 16.43
4101.596 16.78
4153.191 17.06
4204.787 17.23
4256.383 17.40
4307.979 17.55
4359.574 17.82
4411.170 18.00
4462.766 18.13
4514.362 18.27
4565.957 18.40
4617.553 18.51
4669.149 18.61
4720.745 18.72
4772.340 18.80
4823.936 18.87
4875.532 18.98
4927.128 19.07
4978.723 19.11
5030.319 19.15
5081.915 19.20
5133.511 19.24
5185.106 19.27
5236.702 19.31
5288.298 19.34
5339.894 19.36
5391.489 19.38
5443.085 19.40
5494.681 19.41
5546.277 19.43
5597.872 19.43
5649.468 19.45
5701.064 19.46
5752.660 19.47
5804.255 19.48
5855.851 19.49
5907.447 19.50
5959.043 19.51
6010.638 19.52
6062.234 19.53
6113.830 19.54
6165.426 19.55
6217.021 19.55
6268.617 19.55
6320.213 19.55
6371.809 19.56
6423.404 19.56
6475.000 19.55
6526.596 19.54
6578.191 19.55
6629.787 19.56
6681.383 19.56
6732.979 19.57
6784.574 19.59
6836.170 19.60
6887.766 19.62
6939.362 19.59
6990.957 19.56
7042.553 19.55
7094.149 19.54
7145.745 19.52
7197.340 19.54
7248.936 19.52
7300.532 19.51
7352.128 19.48
7403.723 19.46
7455.319 19.44
7506.915 19.44
7558.511 19.40
7610.106 19.37
7661.702 19.44
7713.298 19.32
7764.894 19.29
7816.489 19.27
7868.085 19.26
7919.681 19.25
7971.277 19.23
8022.872 19.20
8074.468 19.17
8126.064 19.14
8177.660 19.10
8229.255 19.07
8280.851 19.04
8332.447 19.01
8384.043 18.99
8435.638 18.97
8487.234 18.96
8538.830 18.93
8590.426 18.90
8642.021 18.83
8693.617 18.74
8745.213 18.68
8796.809 18.66
8848.404 18.68
8900.000 18.64
