# lambda zeropoint
6100.000 19.45
6160.870 19.45
6221.739 19.45
6282.609 19.46
6343.478 19.47
6404.348 19.47
6465.217 19.46
6526.087 19.43
6586.957 19.43
6647.826 19.42
6708.696 19.41
6769.565 19.40
6830.435 19.39
6891.304 19.38
6952.174 19.37
7013.043 19.36
7073.913 19.37
7134.783 19.38
7195.652 19.38
7256.522 19.37
7317.391 19.35
7378.261 19.34
7439.130 19.32
7500.000 19.28
7560.870 19.24
7621.739 19.21
7682.609 19.14
7743.478 19.10
7804.348 19.06
7865.217 19.03
7926.087 19.01
7986.957 18.99
8047.826 18.95
8108.696 18.92
8169.565 18.89
8230.435 18.83
8291.304 18.79
8352.174 18.76
8413.043 18.74
8473.913 18.72
8534.783 18.70
8595.652 18.69
8656.522 18.65
8717.391 18.61
8778.261 18.55
8839.130 18.51
8900.000 18.43
