# lambda zeropoint
4450.000 15.14
4501.744 15.60
4553.488 15.99
4605.233 16.35
4656.977 16.63
4708.721 16.86
4760.465 17.09
4812.209 17.30
4863.953 17.49
4915.698 17.69
4967.442 17.83
5019.186 17.97
5070.930 18.09
5122.674 18.20
5174.419 18.30
5226.163 18.40
5277.907 18.48
5329.651 18.55
5381.395 18.62
5433.140 18.68
5484.884 18.73
5536.628 18.79
5588.372 18.83
5640.116 18.87
5691.860 18.91
5743.605 18.95
5795.349 18.98
5847.093 19.01
5898.837 19.04
5950.581 19.07
6002.326 19.06
6054.070 19.08
6105.814 19.10
6157.558 19.12
6209.302 19.15
6261.047 19.18
6312.791 19.21
6364.535 19.23
6416.279 19.25
6468.023 19.26
6519.767 19.28
6571.512 19.28
6623.256 19.28
6675.000 19.30
6726.744 19.32
6778.488 19.33
6830.233 19.34
6881.977 19.35
6933.721 19.35
6985.465 19.35
7037.209 19.35
7088.953 19.34
7140.698 19.35
7192.442 19.35
7244.186 19.35
7295.930 19.35
7347.674 19.33
7399.419 19.32
7451.163 19.31
7502.907 19.31
7554.651 19.30
7606.395 19.27
7658.140 19.25
7709.884 19.22
7761.628 19.21
7813.372 19.19
7865.116 19.18
7916.860 19.18
7968.605 19.18
8020.349 19.14
8072.093 19.12
8123.837 19.08
8175.581 19.05
8227.326 19.02
8279.070 19.01
8330.814 19.01
8382.558 18.99
8434.302 18.99
8486.047 18.98
8537.791 18.96
8589.535 18.93
8641.279 18.87
8693.023 18.79
8744.767 18.72
8796.512 18.70
8848.256 18.73
8900.000 18.70
