# lambda zeropoint
4230.000 19.13
4232.000 19.13
4234.000 19.14
4236.000 19.15
4238.000 19.15
4240.000 19.16
4242.000 19.16
4244.000 19.17
4246.000 19.17
4248.000 19.18
4250.000 19.18
4252.000 19.19
4254.000 19.19
4256.000 19.20
4258.000 19.20
4260.000 19.21
4262.000 19.21
4264.000 19.21
4266.000 19.22
4268.000 19.22
4270.000 19.23
4272.000 19.23
4274.000 19.24
4276.000 19.24
4278.000 19.25
4280.000 19.25
4282.000 19.26
4284.000 19.26
4286.000 19.26
4288.000 19.27
4290.000 19.27
4292.000 19.28
4294.000 19.28
4296.000 19.29
4298.000 19.29
4300.000 19.29
4302.000 19.30
4304.000 19.30
4306.000 19.31
4308.000 19.31
4310.000 19.31
4312.000 19.32
4314.000 19.32
4316.000 19.33
4318.000 19.33
4320.000 19.33
4322.000 19.34
4324.000 19.34
4326.000 19.35
4328.000 19.35
4330.000 19.35
4332.000 19.36
4334.000 19.36
4336.000 19.36
4338.000 19.37
4340.000 19.37
4342.000 19.37
4344.000 19.38
4346.000 19.38
4348.000 19.38
4350.000 19.39
4352.000 19.39
4354.000 19.40
4356.000 19.40
4358.000 19.40
4360.000 19.40
4362.000 19.41
4364.000 19.41
4366.000 19.41
4368.000 19.42
4370.000 19.42
4372.000 19.42
4374.000 19.43
4376.000 19.43
4378.000 19.43
4380.000 19.44
4382.000 19.44
4384.000 19.44
4386.000 19.45
4388.000 19.45
4390.000 19.45
4392.000 19.45
4394.000 19.46
4396.000 19.46
4398.000 19.46
4400.000 19.46
4402.000 19.47
4404.000 19.47
4406.000 19.47
4408.000 19.48
4410.000 19.48
4412.000 19.48
4414.000 19.48
4416.000 19.49
4418.000 19.49
4420.000 19.49
4422.000 19.49
4424.000 19.50
4426.000 19.50
4428.000 19.50
4430.000 19.50
4432.000 19.51
4434.000 19.51
4436.000 19.51
4438.000 19.51
4440.000 19.51
4442.000 19.52
4444.000 19.52
4446.000 19.52
4448.000 19.52
4450.000 19.53
4452.000 19.53
4454.000 19.53
4456.000 19.53
4458.000 19.53
4460.000 19.54
4462.000 19.54
4464.000 19.54
4466.000 19.54
4468.000 19.54
4470.000 19.55
4472.000 19.55
4474.000 19.55
4476.000 19.55
4478.000 19.55
4480.000 19.56
4482.000 19.56
4484.000 19.56
4486.000 19.56
4488.000 19.56
4490.000 19.56
4492.000 19.57
4494.000 19.57
4496.000 19.57
4498.000 19.57
4500.000 19.57
4502.000 19.57
4504.000 19.58
4506.000 19.58
4508.000 19.58
4510.000 19.58
4512.000 19.58
4514.000 19.58
4516.000 19.59
4518.000 19.59
4520.000 19.59
4522.000 19.59
4524.000 19.59
4526.000 19.59
4528.000 19.59
4530.000 19.60
4532.000 19.60
4534.000 19.60
4536.000 19.60
4538.000 19.60
4540.000 19.60
4542.000 19.60
4544.000 19.61
4546.000 19.61
4548.000 19.61
4550.000 19.61
4552.000 19.61
4554.000 19.61
4556.000 19.61
4558.000 19.61
4560.000 19.62
4562.000 19.62
4564.000 19.62
4566.000 19.62
4568.000 19.62
4570.000 19.62
4572.000 19.62
4574.000 19.62
4576.000 19.62
4578.000 19.62
4580.000 19.63
4582.000 19.63
4584.000 19.63
4586.000 19.63
4588.000 19.63
4590.000 19.63
4592.000 19.63
4594.000 19.63
4596.000 19.63
4598.000 19.63
4600.000 19.63
4602.000 19.64
4604.000 19.64
4606.000 19.64
4608.000 19.64
4610.000 19.64
4612.000 19.64
4614.000 19.64
4616.000 19.64
4618.000 19.64
4620.000 19.64
4622.000 19.64
4624.000 19.64
4626.000 19.64
4628.000 19.65
4630.000 19.65
4632.000 19.65
4634.000 19.65
4636.000 19.65
4638.000 19.65
4640.000 19.65
4642.000 19.65
4644.000 19.65
4646.000 19.65
4648.000 19.65
4650.000 19.65
4652.000 19.65
4654.000 19.65
