# lambda zeropoint
3300.000 18.13
3330.625 17.77
3361.250 17.89
3391.875 18.26
3422.500 18.51
3453.125 18.69
3483.750 18.57
3514.375 18.31
3545.000 18.21
3575.625 18.56
3606.250 18.82
3636.875 18.93
3667.500 18.91
3698.125 18.80
3728.750 18.47
3759.375 18.42
3790.000 18.80
3820.625 19.04
3851.250 19.19
3881.875 19.18
3912.500 19.12
3943.125 18.97
3973.750 18.65
4004.375 18.72
4035.000 19.04
4065.625 19.27
4096.250 19.41
4126.875 19.45
4157.500 19.43
4188.125 19.29
4218.750 19.07
4249.375 18.81
4280.000 18.79
4310.625 19.13
4341.250 19.36
4371.875 19.52
4402.500 19.64
4433.125 19.63
4463.750 19.57
4494.375 19.44
4525.000 19.23
4555.625 18.98
4586.250 18.79
4616.875 19.10
4647.500 19.33
4678.125 19.47
4708.750 19.57
4739.375 19.60
4770.000 19.59
4800.625 19.56
4831.250 19.43
4861.875 19.28
4892.500 19.11
4923.125 18.87
4953.750 18.74
4984.375 18.99
5015.000 19.20
5045.625 19.36
5076.250 19.46
5106.875 19.54
5137.500 19.56
5168.125 19.56
5198.750 19.54
5229.375 19.47
5260.000 19.38
5290.625 19.25
5321.250 19.07
5351.875 18.87
5382.500 18.74
5413.125 18.98
5443.750 19.17
5474.375 19.31
5505.000 19.42
5535.625 19.50
5566.250 19.55
5596.875 19.59
5627.500 19.58
5658.125 19.56
5688.750 19.50
5719.375 19.43
5750.000 19.34
5780.625 19.21
5811.250 19.06
5841.875 18.89
5872.500 18.66
5903.125 18.75
5933.750 18.95
5964.375 19.12
5995.000 19.26
6025.625 19.34
6056.250 19.41
6086.875 19.47
6117.500 19.49
6148.125 19.50
6178.750 19.48
6209.375 19.46
6240.000 19.41
6270.625 19.35
6301.250 19.28
6331.875 19.17
6362.500 19.06
6393.125 18.93
6423.750 18.77
6454.375 18.60
6485.000 18.40
6515.625 18.42
6546.250 18.58
6576.875 18.74
6607.500 18.89
6638.125 18.99
6668.750 19.07
6699.375 19.13
6730.000 19.17
6760.625 19.19
6791.250 19.20
6821.875 19.19
6852.500 19.18
6883.125 19.17
6913.750 19.15
6944.375 19.09
6975.000 19.02
7005.625 18.96
7036.250 18.89
7066.875 18.81
7097.500 18.73
7128.125 18.61
7158.750 18.50
7189.375 18.37
7220.000 18.23
7250.625 18.08
7281.250 18.02
7311.875 18.19
7342.500 18.35
7373.125 18.50
7403.750 18.64
7434.375 18.75
7465.000 18.84
7495.625 18.91
7526.250 18.95
7556.875 18.96
7587.500 18.93
7618.125 18.96
7648.750 19.03
7679.375 18.92
7710.000 18.82
7740.625 18.75
7771.250 18.67
7801.875 18.60
7832.500 18.52
7863.125 18.44
7893.750 18.35
7924.375 18.26
7955.000 18.16
7985.625 18.07
8016.250 17.97
8046.875 17.86
8077.500 17.77
8108.125 17.67
8138.750 17.58
8169.375 17.48
8200.000 17.38
