# lambda zeropoint
3650.000 13.30
3699.615 14.36
3749.231 15.19
3798.846 15.85
3848.462 16.34
3898.077 16.72
3947.692 16.97
3997.308 17.25
4046.923 17.43
4096.538 17.61
4146.154 17.80
4195.769 17.96
4245.385 18.11
4295.000 18.24
4344.615 18.34
4394.231 18.46
4443.846 18.55
4493.462 18.65
4543.077 18.73
4592.692 18.80
4642.308 18.88
4691.923 18.96
4741.538 19.02
4791.154 19.09
4840.769 19.13
4890.385 19.18
4940.000 19.24
4989.615 19.29
5039.231 19.33
5088.846 19.37
5138.462 19.40
5188.077 19.42
5237.692 19.43
5287.308 19.46
5336.923 19.51
5386.538 19.54
5436.154 19.56
5485.769 19.58
5535.385 19.58
5585.000 19.60
5634.615 19.61
5684.231 19.62
5733.846 19.63
5783.462 19.64
5833.077 19.64
5882.692 19.64
5932.308 19.65
5981.923 19.66
6031.538 19.67
6081.154 19.68
6130.769 19.69
6180.385 19.68
6230.000 19.69
6279.615 19.68
6329.231 19.64
6378.846 19.64
6428.462 19.65
6478.077 19.64
6527.692 19.63
6577.308 19.63
6626.923 19.64
6676.538 19.64
6726.154 19.64
6775.769 19.63
6825.385 19.63
6875.000 19.63
6924.615 19.63
6974.231 19.62
7023.846 19.61
7073.462 19.60
7123.077 19.60
7172.692 19.58
7222.308 19.57
7271.923 19.55
7321.538 19.54
7371.154 19.53
7420.769 19.51
7470.385 19.49
7520.000 19.47
7569.615 19.48
7619.231 19.47
7668.846 19.41
7718.462 19.38
7768.077 19.36
7817.692 19.34
7867.308 19.32
7916.923 19.29
7966.538 19.27
8016.154 19.24
8065.769 19.22
8115.385 19.21
8165.000 19.19
8214.615 19.16
8264.231 19.14
8313.846 19.13
8363.462 19.11
8413.077 19.09
8462.692 19.08
8512.308 19.07
8561.923 19.05
8611.538 19.04
8661.154 19.02
8710.769 19.01
8760.385 19.00
8810.000 18.99
8859.615 18.98
8909.231 18.96
8958.846 18.95
9008.462 18.92
9058.077 18.90
9107.692 18.87
9157.308 18.87
9206.923 18.84
9256.538 18.82
9306.154 18.82
9355.769 18.77
9405.385 18.69
9455.000 18.68
9504.615 18.62
9554.231 18.54
9603.846 18.50
9653.462 18.42
9703.077 18.35
9752.692 18.28
9802.308 18.19
9851.923 18.07
9901.538 17.95
9951.154 17.86
10000.769 17.68
10050.385 17.57
10100.000 17.34
