# lambda zeropoint
6000.000 18.64
6050.000 18.78
6100.000 18.90
6150.000 18.97
6200.000 19.04
6250.000 19.11
6300.000 19.15
6350.000 19.21
6400.000 19.25
6450.000 19.30
6500.000 19.34
6550.000 19.37
6600.000 19.41
6650.000 19.44
6700.000 19.47
6750.000 19.49
6800.000 19.51
6850.000 19.53
6900.000 19.55
6950.000 19.56
7000.000 19.57
7050.000 19.58
7100.000 19.60
7150.000 19.61
7200.000 19.62
7250.000 19.62
7300.000 19.62
7350.000 19.63
7400.000 19.63
7450.000 19.63
7500.000 19.63
7550.000 19.63
7600.000 19.68
7650.000 19.62
7700.000 19.60
7750.000 19.60
7800.000 19.59
7850.000 19.58
7900.000 19.57
7950.000 19.56
8000.000 19.56
8050.000 19.54
8100.000 19.54
8150.000 19.54
8200.000 19.54
8250.000 19.52
8300.000 19.52
8350.000 19.52
8400.000 19.51
8450.000 19.51
8500.000 19.51
8550.000 19.51
8600.000 19.51
8650.000 19.51
8700.000 19.52
8750.000 19.52
8800.000 19.52
8850.000 19.53
8900.000 19.52
8950.000 19.53
9000.000 19.52
9050.000 19.50
9100.000 19.50
9150.000 19.51
9200.000 19.50
9250.000 19.50
9300.000 19.51
9350.000 19.49
9400.000 19.45
9450.000 19.44
9500.000 19.42
9550.000 19.37
9600.000 19.35
9650.000 19.30
9700.000 19.24
9750.000 19.20
9800.000 19.14
9850.000 19.02
9900.000 18.92
9950.000 18.84
10000.000 18.67
10050.000 18.57
10100.000 18.35
