# lambda zeropoint
3331.800 13.99
3334.335 14.64
3336.870 15.23
3339.404 15.71
3341.939 16.10
3344.474 16.45
3347.009 16.70
3349.544 16.93
3352.078 17.11
3354.613 17.22
3357.148 17.29
3359.683 17.32
3362.218 17.31
3364.752 17.25
3367.287 17.14
3369.822 17.00
3372.357 16.78
3374.892 16.63
3377.426 16.91
3379.961 17.13
3382.496 17.33
3385.031 17.46
3387.566 17.55
3390.100 17.61
3392.635 17.60
3395.170 17.57
3397.705 17.50
3400.240 17.38
3402.774 17.21
3405.309 16.99
3407.844 16.98
3410.379 17.23
3412.914 17.45
3415.448 17.62
3417.983 17.73
3420.518 17.82
3423.053 17.85
3425.588 17.85
3428.122 17.80
3430.657 17.72
3433.192 17.61
3435.727 17.43
3438.262 17.20
3440.796 17.12
3443.331 17.36
3445.866 17.56
3448.401 17.70
3450.936 17.82
3453.470 17.92
3456.005 17.95
3458.540 17.95
3461.075 17.93
3463.610 17.85
3466.144 17.75
3468.679 17.59
3471.214 17.40
3473.749 17.16
3476.284 17.40
3478.819 17.62
3481.353 17.78
3483.888 17.92
3486.423 18.00
3488.958 18.05
3491.493 18.08
3494.027 18.07
3496.562 18.02
3499.097 17.92
3501.632 17.79
3504.167 17.65
3506.701 17.43
3509.236 17.41
3511.771 17.63
3514.306 17.81
3516.841 17.97
3519.375 18.08
3521.910 18.16
3524.445 18.20
3526.980 18.18
3529.515 18.13
3532.049 18.08
3534.584 18.00
3537.119 17.88
3539.654 17.70
3542.189 17.49
3544.723 17.51
3547.258 17.73
3549.793 17.92
3552.328 18.02
3554.863 18.11
3557.397 18.20
3559.932 18.24
3562.467 18.25
3565.002 18.21
3567.537 18.16
3570.071 18.06
3572.606 17.93
3575.141 17.77
3577.676 17.54
3580.211 17.56
3582.745 17.74
3585.280 17.89
3587.815 18.00
3590.350 18.13
3592.885 18.23
3595.419 18.27
3597.954 18.27
3600.489 18.26
3603.024 18.21
3605.559 18.15
3608.093 18.04
3610.628 17.86
3613.163 17.65
3615.698 17.48
3618.233 17.73
3620.767 17.92
3623.302 18.07
3625.837 18.19
3628.372 18.27
3630.907 18.31
3633.441 18.28
3635.976 18.30
3638.511 18.34
3641.046 18.28
3643.581 18.20
3646.115 18.08
3648.650 17.90
3651.185 17.69
3653.720 17.64
3656.255 17.86
3658.789 18.04
3661.324 18.18
3663.859 18.30
3666.394 18.38
3668.929 18.43
3671.463 18.45
3673.998 18.46
3676.533 18.44
3679.068 18.37
3681.603 18.30
3684.137 18.21
3686.672 18.03
3689.207 17.83
3691.742 17.79
3694.277 17.99
3696.811 18.17
3699.346 18.32
3701.881 18.44
3704.416 18.43
3706.951 18.47
3709.485 18.58
3712.020 18.57
3714.555 18.55
3717.090 18.53
3719.625 18.42
3722.159 18.25
3724.694 18.15
3727.229 18.04
3729.764 17.90
3732.299 18.03
3734.833 18.08
3737.368 18.32
3739.903 18.54
3742.438 18.69
3744.973 18.72
3747.507 18.68
3750.042 18.55
3752.577 18.50
3755.112 18.63
3757.647 18.66
3760.181 18.64
3762.716 18.49
3765.251 18.28
3767.786 17.95
3770.321 17.84
3772.856 17.93
3775.390 18.27
3777.925 18.54
3780.460 18.70
3782.995 18.81
3785.530 18.89
3788.064 18.93
3790.599 18.91
3793.134 18.82
3795.669 18.59
3798.204 18.33
3800.738 18.34
3803.273 18.33
3805.808 18.27
3808.343 18.14
3810.878 18.24
3813.412 18.42
3815.947 18.52
3818.482 18.53
3821.017 18.68
3823.552 18.85
3826.086 18.95
3828.621 18.96
3831.156 18.87
3833.691 18.63
3836.226 18.40
3838.760 18.49
3841.295 18.52
3843.830 18.49
3846.365 18.37
3848.900 18.21
3851.434 18.15
3853.969 18.32
3856.504 18.48
3859.039 18.63
3861.574 18.76
3864.108 18.84
3866.643 18.88
3869.178 18.91
3871.713 18.94
3874.248 18.96
3876.782 18.96
3879.317 18.92
3881.852 18.84
3884.387 18.63
3886.922 18.36
3889.456 17.97
3891.991 17.82
3894.526 18.16
3897.061 18.40
3899.596 18.60
3902.130 18.73
3904.665 18.83
3907.200 18.91
3909.735 18.96
3912.270 19.01
3914.804 19.02
3917.339 19.00
3919.874 18.96
3922.409 18.91
3924.944 18.82
3927.478 18.67
3930.013 18.54
3932.548 18.42
3935.083 18.24
3937.618 18.38
3940.152 18.58
3942.687 18.72
3945.222 18.85
3947.757 18.96
3950.292 19.05
3952.826 19.13
3955.361 19.18
3957.896 19.22
3960.431 19.23
3962.966 19.18
3965.500 19.04
3968.035 18.74
3970.570 18.46
3973.105 18.51
3975.640 18.50
3978.174 18.43
3980.709 18.42
3983.244 18.61
3985.779 18.76
3988.314 18.90
3990.848 19.00
