# lambda zeropoint
4831.200 11.27
4834.165 12.41
4837.130 13.01
4840.095 13.23
4843.060 13.46
4846.025 13.68
4848.990 13.91
4851.955 14.13
4854.920 14.28
4857.885 14.31
4860.850 14.28
4863.815 14.77
4866.781 15.05
4869.746 15.22
4872.711 15.37
4875.676 15.50
4878.641 15.62
4881.606 15.73
4884.571 15.82
4887.536 15.89
4890.501 15.96
4893.466 16.10
4896.431 16.18
4899.396 16.23
4902.361 16.26
4905.326 16.31
4908.291 16.33
4911.256 16.32
4914.221 16.37
4917.186 16.32
4920.151 16.27
4923.116 16.37
4926.081 16.33
4929.046 16.25
4932.012 16.16
4934.977 16.10
4937.942 16.01
4940.907 15.92
4943.872 16.01
4946.837 16.15
4949.802 16.28
4952.767 16.39
4955.732 16.44
4958.697 16.54
4961.662 16.69
4964.627 16.74
4967.592 16.80
4970.557 16.87
4973.522 16.93
4976.487 16.96
4979.452 16.97
4982.417 16.94
4985.382 17.00
4988.347 17.02
4991.312 17.03
4994.277 17.01
4997.242 16.96
5000.208 16.91
5003.173 16.85
5006.138 16.80
5009.103 16.73
5012.068 16.63
5015.033 16.58
5017.998 16.73
5020.963 16.89
5023.928 17.02
5026.893 17.10
5029.858 17.19
5032.823 17.31
5035.788 17.35
5038.753 17.38
5041.718 17.42
5044.683 17.54
5047.648 17.55
5050.613 17.55
5053.578 17.61
5056.543 17.62
5059.508 17.62
5062.473 17.60
5065.439 17.55
5068.404 17.53
5071.369 17.51
5074.334 17.46
5077.299 17.36
5080.264 17.28
5083.229 17.23
5086.194 17.14
5089.159 17.09
5092.124 17.21
5095.089 17.31
5098.054 17.38
5101.019 17.46
5103.984 17.57
5106.949 17.60
5109.914 17.67
5112.879 17.77
5115.844 17.81
5118.809 17.83
5121.774 17.85
5124.739 17.83
5127.704 17.85
5130.669 17.88
5133.635 17.89
5136.600 17.83
5139.565 17.81
5142.530 17.79
5145.495 17.76
5148.460 17.71
5151.425 17.66
5154.390 17.59
5157.355 17.53
5160.320 17.45
5163.285 17.33
5166.250 17.17
5169.215 17.26
5172.180 17.41
5175.145 17.64
5178.110 17.73
5181.075 17.74
5184.040 17.66
5187.005 17.84
5189.970 17.91
5192.935 17.92
5195.900 17.96
5198.866 18.01
5201.831 18.04
5204.796 18.02
5207.761 18.02
5210.726 18.03
5213.691 18.05
5216.656 18.00
5219.621 17.99
5222.586 17.96
5225.551 17.83
5228.516 17.82
5231.481 17.78
5234.446 17.68
5237.411 17.64
5240.376 17.56
5243.341 17.46
5246.306 17.47
5249.271 17.55
5252.236 17.65
5255.201 17.75
5258.166 17.83
5261.131 17.87
5264.097 17.88
5267.062 17.93
5270.027 18.03
5272.992 18.11
5275.957 18.13
5278.922 18.14
5281.887 18.15
5284.852 18.14
5287.817 18.17
5290.782 18.17
5293.747 18.14
5296.712 18.07
5299.677 18.05
5302.642 18.04
5305.607 17.99
5308.572 17.95
5311.537 17.88
5314.502 17.78
5317.467 17.74
5320.432 17.65
5323.397 17.53
5326.362 17.39
5329.327 17.53
5332.293 17.65
5335.258 17.73
5338.223 17.77
5341.188 17.84
5344.153 17.91
5347.118 17.95
5350.083 18.00
5353.048 18.05
5356.013 18.10
5358.978 18.10
5361.943 18.10
5364.908 18.11
5367.873 18.09
5370.838 18.09
5373.803 18.11
5376.768 18.10
5379.733 18.06
5382.698 18.03
5385.663 18.02
5388.628 17.96
5391.593 17.90
5394.558 17.84
5397.524 17.75
5400.489 17.69
5403.454 17.62
5406.419 17.53
5409.384 17.42
5412.349 17.47
5415.314 17.57
5418.279 17.66
5421.244 17.72
5424.209 17.78
5427.174 17.84
5430.139 17.91
5433.104 17.97
5436.069 18.00
5439.034 18.06
5441.999 18.07
5444.964 18.06
5447.929 18.12
5450.894 18.13
5453.859 18.12
5456.824 18.11
5459.789 18.11
5462.754 18.11
5465.720 18.11
5468.685 18.09
5471.650 18.04
5474.615 17.98
5477.580 17.93
5480.545 17.89
5483.510 17.85
5486.475 17.79
5489.440 17.72
5492.405 17.64
5495.370 17.55
5498.335 17.53
5501.300 17.63
5504.265 17.72
5507.230 17.79
5510.195 17.86
5513.160 17.94
5516.125 18.02
5519.090 18.07
5522.055 18.11
5525.020 18.14
5527.985 18.16
5530.951 18.20
5533.916 18.24
5536.881 18.27
5539.846 18.28
5542.811 18.29
5545.776 18.28
5548.741 18.29
5551.706 18.27
5554.671 18.24
5557.636 18.23
5560.601 18.20
5563.566 18.16
5566.531 18.12
5569.496 18.04
5572.461 18.00
5575.426 17.96
5578.391 17.91
5581.356 17.82
5584.321 17.71
5587.286 17.65
5590.251 17.77
5593.216 17.87
5596.181 17.95
5599.147 18.01
5602.112 18.08
5605.077 18.15
5608.042 18.23
5611.007 18.26
5613.972 18.28
5616.937 18.30
5619.902 18.36
5622.867 18.38
5625.832 18.39
5628.797 18.43
5631.762 18.42
5634.727 18.41
5637.692 18.40
5640.657 18.40
5643.622 18.40
5646.587 18.38
5649.552 18.36
5652.517 18.32
5655.482 18.26
5658.447 18.19
5661.412 18.16
5664.378 18.12
5667.343 18.05
5670.308 18.00
5673.273 17.92
5676.238 17.83
5679.203 17.76
5682.168 17.83
5685.133 17.90
5688.098 17.98
5691.063 18.07
5694.028 18.14
5696.993 18.20
5699.958 18.24
5702.923 18.28
5705.888 18.31
5708.853 18.32
5711.818 18.37
5714.783 18.41
5717.748 18.43
5720.713 18.45
5723.678 18.46
5726.643 18.46
5729.608 18.45
5732.574 18.45
5735.539 18.44
5738.504 18.42
5741.469 18.40
5744.434 18.37
5747.399 18.33
5750.364 18.28
5753.329 18.24
5756.294 18.19
5759.259 18.15
5762.224 18.10
5765.189 18.03
5768.154 17.95
5771.119 17.87
5774.084 17.78
5777.049 17.84
5780.014 17.92
5782.979 17.99
5785.944 18.06
5788.909 18.12
5791.874 18.19
5794.839 18.24
5797.805 18.29
5800.770 18.33
5803.735 18.36
5806.700 18.39
5809.665 18.43
5812.630 18.44
5815.595 18.46
5818.560 18.48
5821.525 18.49
5824.490 18.49
5827.455 18.49
5830.420 18.49
5833.385 18.48
5836.350 18.46
5839.315 18.44
5842.280 18.42
5845.245 18.39
5848.210 18.35
5851.175 18.30
5854.140 18.24
5857.105 18.18
5860.070 18.13
5863.036 18.08
5866.001 18.02
5868.966 17.94
5871.931 17.85
5874.896 17.87
5877.861 17.95
5880.826 18.03
5883.791 18.11
