# lambda zeropoint
3900.000 14.12
3901.638 14.17
3903.277 15.21
3904.915 16.21
3906.554 16.78
3908.192 17.07
3909.831 17.34
3911.469 17.56
3913.108 17.73
3914.746 17.86
3916.385 17.97
3918.023 18.04
3919.661 18.09
3921.300 18.08
3922.938 18.05
3924.577 18.03
3926.215 18.02
3927.854 17.96
3929.492 17.88
3931.131 17.76
3932.769 17.51
3934.407 17.37
3936.046 17.57
3937.684 17.80
3939.323 17.96
3940.961 18.09
3942.600 18.19
3944.238 18.27
3945.877 18.31
3947.515 18.32
3949.154 18.32
3950.792 18.30
3952.430 18.23
3954.069 18.16
3955.707 18.06
3957.346 17.92
3958.984 17.73
3960.623 17.65
3962.261 17.84
3963.900 17.97
3965.538 18.07
3967.177 18.11
3968.815 18.09
3970.453 18.09
3972.092 18.25
3973.730 18.32
3975.369 18.34
3977.007 18.32
3978.646 18.27
3980.284 18.19
3981.923 18.05
3983.561 17.92
3985.200 17.73
3986.838 17.75
3988.476 17.94
3990.115 18.10
3991.753 18.22
3993.392 18.31
3995.030 18.38
3996.669 18.43
3998.307 18.45
3999.946 18.46
4001.584 18.44
4003.222 18.38
4004.861 18.30
4006.499 18.23
4008.138 18.12
4009.776 17.97
4011.415 17.79
4013.053 17.82
4014.692 18.00
4016.330 18.14
4017.969 18.27
4019.607 18.34
4021.245 18.40
4022.884 18.40
4024.522 18.36
4026.161 18.30
4027.799 18.39
4029.438 18.40
4031.076 18.37
4032.715 18.30
4034.353 18.21
4035.992 18.07
4037.630 17.91
4039.268 17.86
4040.907 18.05
4042.545 18.20
4044.184 18.33
4045.822 18.43
4047.461 18.50
4049.099 18.56
4050.738 18.59
4052.376 18.60
4054.015 18.60
4055.653 18.56
4057.291 18.46
4058.930 18.39
4060.568 18.33
4062.207 18.20
4063.845 18.04
4065.484 17.87
4067.122 18.04
4068.761 18.20
4070.399 18.34
4072.037 18.46
4073.676 18.52
4075.314 18.58
4076.953 18.63
4078.591 18.66
4080.230 18.66
4081.868 18.63
4083.507 18.60
4085.145 18.54
4086.784 18.45
4088.422 18.33
4090.060 18.20
4091.699 18.03
4093.337 17.95
4094.976 18.11
4096.614 18.19
4098.253 18.22
4099.891 18.27
4101.530 18.28
4103.168 18.40
4104.807 18.56
4106.445 18.67
4108.083 18.70
4109.722 18.71
4111.360 18.67
4112.999 18.60
4114.637 18.52
4116.276 18.41
4117.914 18.27
4119.553 18.09
4121.191 18.04
4122.830 18.22
4124.468 18.36
4126.106 18.47
4127.745 18.56
4129.383 18.63
4131.022 18.68
4132.660 18.70
4134.299 18.72
4135.937 18.71
4137.576 18.68
4139.214 18.64
4140.852 18.58
4142.491 18.48
4144.129 18.37
4145.768 18.25
4147.406 18.10
4149.045 18.01
4150.683 18.18
4152.322 18.32
4153.960 18.44
4155.599 18.53
4157.237 18.61
4158.875 18.66
4160.514 18.70
4162.152 18.72
4163.791 18.73
4165.429 18.71
4167.068 18.67
4168.706 18.61
4170.345 18.54
4171.983 18.45
4173.622 18.33
4175.260 18.18
4176.898 18.02
4178.537 18.13
4180.175 18.28
4181.814 18.40
4183.452 18.51
4185.091 18.58
4186.729 18.64
4188.368 18.69
4190.006 18.71
4191.644 18.71
4193.283 18.69
4194.921 18.64
4196.560 18.55
4198.198 18.42
4199.837 18.26
4201.475 18.22
4203.114 18.16
4204.752 18.06
4206.391 17.99
4208.029 18.17
4209.667 18.31
4211.306 18.42
4212.944 18.52
4214.583 18.62
4216.221 18.66
4217.860 18.71
4219.498 18.73
4221.137 18.73
4222.775 18.71
4224.414 18.68
4226.052 18.65
4227.690 18.57
4229.329 18.49
4230.967 18.39
4232.606 18.26
4234.244 18.11
4235.883 18.08
4237.521 18.23
4239.160 18.36
4240.798 18.48
4242.437 18.57
4244.075 18.64
4245.713 18.70
4247.352 18.73
4248.990 18.75
4250.629 18.76
4252.267 18.74
4253.906 18.70
4255.544 18.66
4257.183 18.59
4258.821 18.51
4260.459 18.42
4262.098 18.30
4263.736 18.15
4265.375 18.10
4267.013 18.25
4268.652 18.38
4270.290 18.49
4271.929 18.58
4273.567 18.65
4275.206 18.71
4276.844 18.75
4278.482 18.78
4280.121 18.79
4281.759 18.77
4283.398 18.75
4285.036 18.71
4286.675 18.64
4288.313 18.56
4289.952 18.45
4291.590 18.34
4293.229 18.22
4294.867 18.08
4296.505 18.24
4298.144 18.38
4299.782 18.49
4301.421 18.59
4303.059 18.67
4304.698 18.73
4306.336 18.77
4307.975 18.81
4309.613 18.82
4311.252 18.82
4312.890 18.79
4314.528 18.76
4316.167 18.72
4317.805 18.66
4319.444 18.57
4321.082 18.46
4322.721 18.35
4324.359 18.22
4325.998 18.23
4327.636 18.37
4329.274 18.49
4330.913 18.59
4332.551 18.66
4334.190 18.71
4335.828 18.72
4337.467 18.64
4339.105 18.56
4340.744 18.57
4342.382 18.68
4344.021 18.77
4345.659 18.76
4347.297 18.72
4348.936 18.66
4350.574 18.57
4352.213 18.47
4353.851 18.35
4355.490 18.20
4357.128 18.25
4358.767 18.39
