# lambda zeropoint
4050.000 16.07
4102.151 16.08
4154.301 16.17
4206.452 16.15
4258.602 16.19
4310.753 16.26
4362.903 16.49
4415.054 16.66
4467.204 16.82
4519.355 16.99
4571.505 17.15
4623.656 17.33
4675.806 17.51
4727.957 17.66
4780.108 17.80
4832.258 17.93
4884.409 18.10
4936.559 18.21
4988.710 18.30
5040.860 18.39
5093.011 18.48
5145.161 18.54
5197.312 18.62
5249.462 18.69
5301.613 18.74
5353.763 18.80
5405.914 18.85
5458.065 18.90
5510.215 18.94
5562.366 18.98
5614.516 19.01
5666.667 19.05
5718.817 19.08
5770.968 19.11
5823.118 19.14
5875.269 19.18
5927.419 19.21
5979.570 19.23
6031.720 19.24
6083.871 19.25
6136.022 19.26
6188.172 19.29
6240.323 19.32
6292.473 19.35
6344.624 19.37
6396.774 19.39
6448.925 19.40
6501.075 19.41
6553.226 19.42
6605.376 19.42
6657.527 19.44
6709.677 19.46
6761.828 19.47
6813.978 19.48
6866.129 19.50
6918.280 19.50
6970.430 19.49
7022.581 19.49
7074.731 19.49
7126.882 19.47
7179.032 19.48
7231.183 19.48
7283.333 19.48
7335.484 19.42
7387.634 19.39
7439.785 19.39
7491.935 19.38
7544.086 19.38
7596.237 19.38
7648.387 19.53
7700.538 19.38
7752.688 19.36
7804.839 19.34
7856.989 19.33
7909.140 19.32
7961.290 19.31
8013.441 19.28
8065.591 19.26
8117.742 19.23
8169.892 19.21
8222.043 19.18
8274.194 19.16
8326.344 19.13
8378.495 19.11
8430.645 19.10
8482.796 19.09
8534.946 19.07
8587.097 19.04
8639.247 18.98
8691.398 18.89
8743.548 18.83
8795.699 18.81
8847.849 18.85
8900.000 18.80
