# lambda zeropoint
4050.000 18.62
4104.348 18.70
4158.696 18.83
4213.043 18.94
4267.391 19.06
4321.739 19.16
4376.087 19.23
4430.435 19.30
4484.783 19.36
4539.130 19.42
4593.478 19.47
4647.826 19.53
4702.174 19.57
4756.522 19.58
4810.870 19.64
4865.217 19.67
4919.565 19.70
4973.913 19.65
5028.261 19.61
5082.609 19.67
5136.957 19.69
5191.304 19.69
5245.652 19.69
5300.000 19.69
5354.348 19.68
5408.696 19.68
5463.043 19.67
5517.391 19.66
5571.739 19.65
5626.087 19.64
5680.435 19.63
5734.783 19.63
5789.130 19.62
5843.478 19.60
5897.826 19.57
5952.174 19.56
6006.522 19.55
6060.870 19.53
6115.217 19.53
6169.565 19.51
6223.913 19.50
6278.261 19.48
6332.609 19.47
6386.957 19.46
6441.304 19.45
6495.652 19.42
6550.000 19.39
