# lambda zeropoint
3650.000 13.35
3700.000 14.38
3750.000 15.27
3800.000 15.92
3850.000 16.39
3900.000 16.77
3950.000 17.03
4000.000 17.33
4050.000 17.52
4100.000 17.67
4150.000 17.88
4200.000 18.03
4250.000 18.18
4300.000 18.31
4350.000 18.42
4400.000 18.54
4450.000 18.63
4500.000 18.73
4550.000 18.80
4600.000 18.87
4650.000 18.95
4700.000 19.01
4750.000 19.08
4800.000 19.13
4850.000 19.17
4900.000 19.24
4950.000 19.30
5000.000 19.35
5050.000 19.40
5100.000 19.45
5150.000 19.48
5200.000 19.48
5250.000 19.50
5300.000 19.55
5350.000 19.60
5400.000 19.63
5450.000 19.64
5500.000 19.66
5550.000 19.69
5600.000 19.69
5650.000 19.70
5700.000 19.71
5750.000 19.72
5800.000 19.73
5850.000 19.73
5900.000 19.73
5950.000 19.74
6000.000 19.75
6050.000 19.76
6100.000 19.77
6150.000 19.77
6200.000 19.78
6250.000 19.72
6300.000 19.73
6350.000 19.73
6400.000 19.74
6450.000 19.73
6500.000 19.74
6550.000 19.73
6600.000 19.74
6650.000 19.73
6700.000 19.73
6750.000 19.73
6800.000 19.73
6850.000 19.71
6900.000 19.72
6950.000 19.71
7000.000 19.70
7050.000 19.69
7100.000 19.69
7150.000 19.68
7200.000 19.66
7250.000 19.66
7300.000 19.65
7350.000 19.64
7400.000 19.62
7450.000 19.61
7500.000 19.59
7550.000 19.56
7600.000 19.60
7650.000 19.51
7700.000 19.50
7750.000 19.50
7800.000 19.47
7850.000 19.45
7900.000 19.42
7950.000 19.39
8000.000 19.38
8050.000 19.36
8100.000 19.33
8150.000 19.31
8200.000 19.28
8250.000 19.26
8300.000 19.23
8350.000 19.22
8400.000 19.21
8450.000 19.19
8500.000 19.17
8550.000 19.17
8600.000 19.15
8650.000 19.14
8700.000 19.12
8750.000 19.11
8800.000 19.09
8850.000 19.08
8900.000 19.07
8950.000 19.04
9000.000 19.00
9050.000 18.97
9100.000 18.96
9150.000 18.94
9200.000 18.91
9250.000 18.90
9300.000 18.90
9350.000 18.82
9400.000 18.72
9450.000 18.64
9500.000 18.64
9550.000 18.54
9600.000 18.50
9650.000 18.39
9700.000 18.40
9750.000 18.27
9800.000 18.20
9850.000 18.12
9900.000 17.94
