# lambda zeropoint
3850.000 17.34
3900.000 17.72
3950.000 18.00
4000.000 18.26
4050.000 18.43
4100.000 18.57
4150.000 18.74
4200.000 18.84
4250.000 18.93
4300.000 19.01
4350.000 19.06
4400.000 19.13
4450.000 19.17
4500.000 19.21
4550.000 19.25
4600.000 19.29
4650.000 19.33
4700.000 19.37
4750.000 19.39
4800.000 19.43
4850.000 19.44
4900.000 19.50
4950.000 19.52
5000.000 19.55
5050.000 19.58
5100.000 19.61
5150.000 19.63
5200.000 19.66
5250.000 19.68
5300.000 19.70
5350.000 19.72
5400.000 19.73
5450.000 19.74
5500.000 19.75
5550.000 19.75
5600.000 19.76
5650.000 19.76
5700.000 19.76
5750.000 19.76
5800.000 19.76
5850.000 19.75
5900.000 19.74
5950.000 19.74
6000.000 19.73
6050.000 19.71
6100.000 19.70
6150.000 19.65
