# lambda zeropoint
6350.000 17.81
6352.000 17.84
6354.000 17.88
6356.000 17.91
6358.000 17.94
6360.000 17.97
6362.000 18.00
6364.000 18.03
6366.000 18.06
6368.000 18.09
6370.000 18.11
6372.000 18.14
6374.000 18.17
6376.000 18.20
6378.000 18.22
6380.000 18.25
6382.000 18.27
6384.000 18.30
6386.000 18.32
6388.000 18.35
6390.000 18.37
6392.000 18.39
6394.000 18.42
6396.000 18.44
6398.000 18.46
6400.000 18.48
6402.000 18.50
6404.000 18.52
6406.000 18.54
6408.000 18.56
6410.000 18.58
6412.000 18.60
6414.000 18.62
6416.000 18.64
6418.000 18.66
6420.000 18.67
6422.000 18.69
6424.000 18.71
6426.000 18.73
6428.000 18.74
6430.000 18.76
6432.000 18.77
6434.000 18.79
6436.000 18.80
6438.000 18.82
6440.000 18.83
6442.000 18.84
6444.000 18.86
6446.000 18.87
6448.000 18.88
6450.000 18.90
6452.000 18.91
6454.000 18.92
6456.000 18.93
6458.000 18.94
6460.000 18.95
6462.000 18.96
6464.000 18.97
6466.000 18.98
6468.000 18.99
6470.000 19.00
6472.000 19.01
6474.000 19.02
6476.000 19.03
6478.000 19.04
6480.000 19.04
6482.000 19.05
6484.000 19.06
6486.000 19.07
6488.000 19.07
6490.000 19.08
6492.000 19.09
6494.000 19.09
6496.000 19.10
6498.000 19.11
6500.000 19.11
6502.000 19.12
6504.000 19.12
6506.000 19.12
6508.000 19.13
6510.000 19.14
6512.000 19.14
6514.000 19.14
6516.000 19.15
6518.000 19.15
6520.000 19.16
6522.000 19.16
6524.000 19.16
6526.000 19.17
6528.000 19.17
6530.000 19.17
6532.000 19.17
6534.000 19.17
6536.000 19.18
6538.000 19.18
6540.000 19.18
6542.000 19.18
6544.000 19.18
6546.000 19.19
6548.000 19.19
6550.000 19.19
6552.000 19.19
6554.000 19.19
6556.000 19.19
6558.000 19.19
6560.000 19.19
6562.000 19.19
6564.000 19.19
6566.000 19.17
6568.000 19.19
6570.000 19.19
6572.000 19.19
6574.000 19.19
6576.000 19.19
6578.000 19.19
6580.000 19.19
6582.000 19.19
6584.000 19.19
6586.000 19.19
6588.000 19.19
6590.000 19.19
6592.000 19.19
6594.000 19.19
6596.000 19.19
6598.000 19.19
6600.000 19.19
6602.000 19.18
6604.000 19.18
6606.000 19.18
6608.000 19.18
6610.000 19.18
6612.000 19.18
6614.000 19.18
6616.000 19.18
6618.000 19.18
6620.000 19.17
6622.000 19.17
6624.000 19.17
6626.000 19.17
6628.000 19.17
6630.000 19.17
6632.000 19.17
6634.000 19.17
6636.000 19.17
6638.000 19.17
6640.000 19.16
6642.000 19.16
6644.000 19.16
6646.000 19.16
6648.000 19.16
6650.000 19.16
6652.000 19.16
6654.000 19.16
6656.000 19.16
6658.000 19.16
6660.000 19.16
6662.000 19.16
6664.000 19.15
6666.000 19.15
6668.000 19.15
6670.000 19.15
6672.000 19.15
6674.000 19.15
6676.000 19.15
6678.000 19.15
6680.000 19.15
6682.000 19.15
6684.000 19.15
6686.000 19.15
6688.000 19.15
6690.000 19.15
6692.000 19.15
6694.000 19.15
6696.000 19.15
6698.000 19.15
6700.000 19.15
6702.000 19.15
6704.000 19.15
6706.000 19.15
6708.000 19.14
6710.000 19.14
6712.000 19.14
6714.000 19.14
6716.000 19.14
6718.000 19.14
6720.000 19.14
6722.000 19.14
6724.000 19.14
6726.000 19.14
6728.000 19.14
6730.000 19.14
6732.000 19.14
6734.000 19.14
6736.000 19.14
6738.000 19.14
6740.000 19.14
6742.000 19.14
6744.000 19.14
6746.000 19.14
