# lambda zeropoint
3300.000 14.05
3337.363 15.04
3374.725 16.04
3412.088 17.03
3449.451 18.03
3486.813 17.82
3524.176 17.31
3561.538 17.91
3598.901 18.41
3636.264 18.54
3673.626 18.46
3710.989 18.20
3748.352 17.96
3785.714 18.53
3823.077 18.86
3860.440 19.00
3897.802 19.00
3935.165 18.70
3972.527 18.32
4009.890 18.64
4047.253 19.04
4084.615 19.24
4121.978 19.30
4159.341 19.23
4196.703 19.04
4234.066 18.70
4271.429 18.51
4308.791 18.93
4346.154 19.21
4383.516 19.36
4420.879 19.42
4458.242 19.38
4495.604 19.25
4532.967 19.02
4570.330 18.68
4607.692 18.94
4645.055 19.22
4682.418 19.40
4719.780 19.51
4757.143 19.54
4794.505 19.48
4831.868 19.30
4869.231 19.11
4906.593 18.89
4943.956 18.60
4981.319 18.91
5018.681 19.14
5056.044 19.31
5093.407 19.40
5130.769 19.44
5168.132 19.44
5205.495 19.41
5242.857 19.31
5280.220 18.94
5317.582 18.73
5354.945 18.72
5392.308 18.75
5429.670 19.00
5467.033 19.20
5504.396 19.34
5541.758 19.43
5579.121 19.48
5616.484 19.50
5653.846 19.48
5691.209 19.42
5728.571 19.32
5765.934 19.18
5803.297 19.02
5840.659 18.80
5878.022 18.54
5915.385 18.81
5952.747 19.03
5990.110 19.17
6027.473 19.27
6064.835 19.34
6102.198 19.38
6139.560 19.40
6176.923 19.38
6214.286 19.35
6251.648 19.31
6289.011 19.22
6326.374 19.12
6363.736 18.98
6401.099 18.82
6438.462 18.63
6475.824 18.40
6513.187 18.46
6550.549 18.63
6587.912 18.80
6625.275 18.94
6662.637 19.03
6700.000 19.10
6737.363 19.14
6774.725 19.18
6812.088 19.20
6849.451 19.21
6886.813 19.21
6924.176 19.19
6961.538 19.14
6998.901 19.09
7036.264 19.02
7073.626 18.92
7110.989 18.80
7148.352 18.66
7185.714 18.51
7223.077 18.32
7260.440 18.33
7297.802 18.49
7335.165 18.59
7372.527 18.69
7409.890 18.79
7447.253 18.86
7484.615 18.90
7521.978 18.92
7559.341 18.91
7596.703 18.88
7634.066 18.93
7671.429 18.90
7708.791 18.82
7746.154 18.77
7783.516 18.70
7820.879 18.64
7858.242 18.57
7895.604 18.49
7932.967 18.39
7970.330 18.29
8007.692 18.18
8045.055 18.06
8082.418 17.92
8119.780 17.79
8157.143 17.64
8194.505 17.44
8231.868 0.00
8269.231 17.99
8306.593 18.06
8343.956 18.12
8381.319 18.17
8418.681 18.21
8456.044 18.24
8493.407 18.27
8530.769 18.30
8568.132 18.30
8605.495 18.29
8642.857 18.26
8680.220 18.23
8717.582 18.20
8754.945 18.17
8792.308 18.13
8829.670 18.08
8867.033 18.05
8904.396 18.03
8941.758 17.99
8979.121 17.97
9016.484 17.91
9053.846 17.82
9091.209 17.77
9128.571 17.69
9165.934 17.57
9203.297 17.43
9240.659 17.32
9278.022 17.23
9315.385 17.22
9352.747 0.00
9390.110 0.00
9427.473 0.00
9464.835 0.00
9502.198 0.00
9539.560 0.00
9576.923 0.00
9614.286 0.00
9651.648 0.00
9689.011 0.00
9726.374 17.26
9763.736 16.96
9801.099 16.67
9838.462 16.46
9875.824 16.14
9913.187 15.79
9950.549 15.46
9987.912 15.11
10025.275 14.78
10062.637 14.42
10100.000 13.96
