# lambda zeropoint
3315.000 15.65
3317.563 16.10
3320.127 16.42
3322.690 16.51
3325.254 16.61
3327.817 16.71
3330.381 16.76
3332.944 16.70
3335.508 16.52
3338.071 16.38
3340.635 16.25
3343.198 16.10
3345.762 16.31
3348.325 16.45
3350.889 16.69
3353.452 16.91
3356.016 17.00
3358.579 16.96
3361.142 16.83
3363.706 16.96
3366.269 16.98
3368.833 16.78
3371.396 16.58
3373.960 16.38
3376.523 16.42
3379.087 16.66
3381.650 16.87
3384.214 17.05
3386.777 17.21
3389.341 17.25
3391.904 17.27
3394.468 17.27
3397.031 17.30
3399.595 17.27
3402.158 17.04
3404.721 16.81
3407.285 16.57
3409.848 16.73
3412.412 16.99
3414.975 17.16
3417.539 17.34
3420.102 17.52
3422.666 17.48
3425.229 17.48
3427.793 17.54
3430.356 17.46
3432.920 17.34
3435.483 17.22
3438.047 16.97
3440.610 16.61
3443.174 16.80
3445.737 17.12
3448.300 17.42
3450.864 17.57
3453.427 17.60
3455.991 17.61
3458.554 17.61
3461.118 17.60
3463.681 17.56
3466.245 17.52
3468.808 17.36
3471.372 17.15
3473.935 16.85
3476.499 16.97
3479.062 17.30
3481.626 17.44
3484.189 17.58
3486.753 17.73
3489.316 17.73
3491.879 17.70
3494.443 17.63
3497.006 17.64
3499.570 17.70
3502.133 17.54
3504.697 17.35
3507.260 17.14
3509.824 17.02
3512.387 17.24
3514.951 17.47
3517.514 17.65
3520.078 17.75
3522.641 17.72
3525.205 17.66
3527.768 17.81
3530.332 17.85
3532.895 17.75
3535.458 17.68
3538.022 17.59
3540.585 17.38
3543.149 17.15
3545.712 17.22
3548.276 17.47
3550.839 17.66
3553.403 17.72
3555.966 17.82
3558.530 17.95
3561.093 18.02
3563.657 18.00
3566.220 17.83
3568.784 17.71
3571.347 17.61
3573.911 17.55
3576.474 17.40
3579.037 17.14
3581.601 17.17
3584.164 17.37
3586.728 17.52
3589.291 17.72
3591.855 17.97
3594.418 18.04
3596.982 18.06
3599.545 18.03
3602.109 17.95
3604.672 17.83
3607.236 17.69
3609.799 17.57
3612.363 17.48
3614.926 17.26
3617.489 17.20
3620.053 17.49
3622.616 17.74
3625.180 17.92
3627.743 17.95
3630.307 17.93
3632.870 17.96
3635.434 18.02
3637.997 18.09
3640.561 18.00
3643.124 17.88
3645.688 17.75
3648.251 17.62
3650.815 17.49
3653.378 17.32
3655.942 17.58
3658.505 17.77
3661.068 17.90
3663.632 18.00
3666.195 18.06
3668.759 18.12
3671.322 18.20
3673.886 18.21
3676.449 18.18
3679.013 18.09
3681.576 18.00
3684.140 17.92
3686.703 17.77
3689.267 17.60
3691.830 17.52
3694.394 17.75
3696.957 17.93
3699.521 18.09
3702.084 18.19
3704.647 18.14
3707.211 18.20
3709.774 18.34
3712.338 18.42
3714.901 18.44
3717.465 18.34
3720.028 18.15
3722.592 17.94
3725.155 17.97
3727.719 17.89
3730.282 17.72
3732.846 17.69
3735.409 17.69
3737.973 18.17
3740.536 18.41
3743.100 18.44
3745.663 18.32
3748.226 18.25
3750.790 18.40
3753.353 18.49
3755.917 18.55
3758.480 18.41
3761.044 18.29
3763.607 18.19
3766.171 17.91
3768.734 17.55
3771.298 17.76
3773.861 18.06
3776.425 18.28
3778.988 18.44
3781.552 18.58
3784.115 18.63
3786.679 18.64
3789.242 18.61
3791.805 18.54
3794.369 18.43
3796.932 18.20
3799.496 18.22
3802.059 18.41
3804.623 18.26
3807.186 18.11
3809.750 17.98
3812.313 18.10
3814.877 18.16
3817.440 18.33
3820.004 18.49
3822.567 18.63
3825.131 18.60
3827.694 18.53
3830.258 18.56
3832.821 18.47
3835.384 18.26
3837.948 18.32
3840.511 18.41
3843.075 18.44
3845.638 18.36
3848.202 18.20
3850.765 18.02
3853.329 18.16
3855.892 18.23
3858.456 18.35
3861.019 18.48
3863.583 18.62
3866.146 18.72
3868.710 18.77
3871.273 18.75
3873.837 18.71
3876.400 18.71
3878.963 18.69
3881.527 18.64
3884.090 18.42
3886.654 18.17
3889.217 18.01
3891.781 17.91
3894.344 18.06
3896.908 18.26
3899.471 18.43
3902.035 18.55
3904.598 18.65
3907.162 18.73
3909.725 18.83
3912.289 18.90
3914.852 18.94
3917.416 18.92
3919.979 18.87
3922.542 18.88
3925.106 18.77
3927.669 18.52
3930.233 17.85
3932.796 17.24
3935.360 17.54
3937.923 18.03
3940.487 18.55
3943.050 18.71
3945.614 18.81
3948.177 18.91
3950.741 18.99
3953.304 19.06
3955.868 19.10
3958.431 19.09
3960.995 19.01
3963.558 18.68
3966.121 18.26
3968.685 18.12
3971.248 18.18
3973.812 18.52
3976.375 18.56
3978.939 18.48
3981.502 18.40
3984.066 18.53
3986.629 18.68
3989.193 18.80
3991.756 18.91
3994.320 18.94
3996.883 19.00
3999.447 19.06
